status,task_type,dataset,model,clip_model,num_clients,beta,seed,method,merge_weight_mode,eval_json,merged_deleted,seconds,test_acc,test_loss,updated_at,error
SKIP,small,bloodmnist_224,convnext,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/my_merge/eval.json,,0.0,0.19467991815258695,2.494236261445296,2026-05-15T17:32:39,
SKIP,small,bloodmnist_224,convnext,,3,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_3/beta_0p01/seed_42/my_merge/eval.json,,0.0,0.1373867290266004,2.1084152069470923,2026-05-15T17:32:39,
SKIP,small,bloodmnist_224,convnext,,3,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_3/beta_0p1/seed_42/my_merge/eval.json,,0.0,0.19467991815258695,2.3846904790321313,2026-05-15T17:32:39,
SKIP,small,bloodmnist_224,convnext,,5,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_5/beta_0/seed_42/my_merge/eval.json,,0.0,0.19467991815258695,14.42079557030217,2026-05-15T17:32:39,
SKIP,small,bloodmnist_224,convnext,,5,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_5/beta_0p01/seed_42/my_merge/eval.json,,0.0,0.19467991815258695,4.974788253330341,2026-05-15T17:32:39,
OK,small,bloodmnist_224,convnext,,5,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_5/beta_0p1/seed_42/my_merge/eval.json,True,393.1,0.19467991815258695,4.023523271728489,2026-05-15T17:39:12,
OK,small,bloodmnist_224,convnext,,7,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_7/beta_0/seed_42/my_merge/eval.json,True,424.34,0.19467991815258695,13.919859285418731,2026-05-15T17:46:17,
OK,small,bloodmnist_224,convnext,,7,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_7/beta_0p01/seed_42/my_merge/eval.json,True,422.53,0.19467991815258695,2.0765776234877387,2026-05-15T17:53:19,
OK,small,bloodmnist_224,convnext,,7,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/convnext/clients_7/beta_0p1/seed_42/my_merge/eval.json,True,424.12,0.19467991815258695,7.16500616561457,2026-05-15T18:00:23,
OK,small,bloodmnist_224,resnet,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/full/eval/small/bloodmnist_224/resnet/clients_3/beta_0/seed_42/my_merge/eval.json,True,354.25,0.4156679333528208,1.4541307909382049,2026-05-15T18:06:18,
