task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_index,client_name,seen_classes,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph,acc_A,medical_acc_M,hard_acc_H,margin_Q,focal_acc_F
small,bloodmnist_224,convnext,,3,0.0,42,avg,0,client_0.pt,3 7 5,0.33333333,0.14914969,0.11814976,0.00000000,0.00000000,0.00000000,0.08546142,0.00000000
small,bloodmnist_224,convnext,,3,0.0,42,avg,1,client_1.pt,4 6 0,0.33333333,0.45631996,0.41284373,0.31250000,0.27876022,0.00000000,0.23951770,0.12623961
small,bloodmnist_224,convnext,,3,0.0,42,avg,2,client_2.pt,2 1,0.33333333,0.39453030,0.46900645,0.18750000,0.21976346,0.42857143,0.19758366,0.08091398
small,bloodmnist_224,convnext,,3,0.01,42,avg,0,client_0.pt,6 7,0.33333333,0.38688806,0.33628592,0.18750000,0.14048733,0.00000000,0.14048782,0.03165521
small,bloodmnist_224,convnext,,3,0.01,42,avg,1,client_1.pt,1 4 5,0.33333333,0.26447818,0.29124364,0.06250000,0.07016671,0.14285715,0.07068390,0.01490243
small,bloodmnist_224,convnext,,3,0.01,42,avg,2,client_2.pt,0 2 3 5,0.33333333,0.34863383,0.37247044,0.12500000,0.11751112,0.14285715,0.12037361,0.06686558
small,bloodmnist_224,convnext,,3,0.1,42,morphology,0,client_0.pt,0 2 3 4 5 6 7,0.33333333,0.28754514,0.27178892,0.18750000,0.14048733,0.00000000,0.14036730,0.03169849
small,bloodmnist_224,convnext,,3,0.1,42,morphology,1,client_1.pt,0 1 3 4 5 6,0.33333333,0.42489347,0.45641327,0.31250000,0.27876022,0.00000000,0.29198310,0.15238684
small,bloodmnist_224,convnext,,3,0.1,42,morphology,2,client_2.pt,0 3 7,0.33333333,0.28756142,0.27179781,0.18750000,0.14048733,0.00000000,0.14048196,0.03165539
small,bloodmnist_224,convnext,,5,0.0,42,specialist_client,0,client_0.pt,3 1,0.20000000,0.23200920,0.28731784,0.18750000,0.21976346,0.42857143,0.13572589,0.10554866
small,bloodmnist_224,convnext,,5,0.0,42,specialist_client,1,client_1.pt,4 5,0.20000000,0.13134532,0.13640429,0.06250000,0.07016671,0.14285715,0.07017871,0.01486962
