task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_index,client_name,seen_classes,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph,acc_A,medical_acc_M,hard_acc_H,margin_Q,focal_acc_F
small,bloodmnist_224,convnext,,3,0.0,42,avg,0,client_0.pt,3 7 5,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.0,42,avg,1,client_1.pt,4 6 0,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.0,42,avg,2,client_2.pt,2 1,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.01,42,avg,0,client_0.pt,6 7,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.01,42,avg,1,client_1.pt,1 4 5,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.01,42,avg,2,client_2.pt,0 2 3 5,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.1,42,avg,0,client_0.pt,0 2 3 4 5 6 7,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.1,42,avg,1,client_1.pt,0 1 3 4 5 6,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,3,0.1,42,avg,2,client_2.pt,0 3 7,0.33333333,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
small,bloodmnist_224,convnext,,5,0.0,42,morph_anchor,0,client_0.pt,3 1,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
