status,task_type,dataset,model,clip_model,num_clients,beta,seed,method,merge_weight_mode,eval_json,merged_deleted,seconds,test_acc,test_loss,updated_at,error
SKIP,small,bloodmnist_224,convnext,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/my_merge/eval.json,,0.0,0.19467991815258695,2.494236261445296,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,3,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_3/beta_0p01/seed_42/my_merge/eval.json,,0.0,0.1373867290266004,2.1084152069470923,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,3,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_3/beta_0p1/seed_42/my_merge/eval.json,,0.0,0.1373867290266004,2.43682330040094,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,5,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_5/beta_0/seed_42/my_merge/eval.json,,0.0,0.08301666179479684,2.1656671629004993,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,5,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_5/beta_0p01/seed_42/my_merge/eval.json,,0.0,0.0710318620286466,2.1355724231571664,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,5,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_5/beta_0p1/seed_42/my_merge/eval.json,,0.0,0.1824028061970184,2.1624365050135492,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,7,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_7/beta_0/seed_42/my_merge/eval.json,,0.0,0.1373867290266004,2.120319455034445,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,7,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_7/beta_0p01/seed_42/my_merge/eval.json,,0.0,0.19467991815258695,2.0765776234877387,2026-05-16T12:54:07,
SKIP,small,bloodmnist_224,convnext,,7,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/convnext/clients_7/beta_0p1/seed_42/my_merge/eval.json,,0.0,0.08301666179479684,2.1271752377275623,2026-05-16T12:54:07,
OK,small,bloodmnist_224,resnet,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_3/beta_0/seed_42/my_merge/eval.json,True,196.71,0.4612686349020754,1.3690548325030993,2026-05-16T12:57:24,
OK,small,bloodmnist_224,resnet,,3,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_3/beta_0p01/seed_42/my_merge/eval.json,True,192.26,0.45571470330312774,1.4563768346279693,2026-05-16T13:00:36,
OK,small,bloodmnist_224,resnet,,3,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_3/beta_0p1/seed_42/my_merge/eval.json,True,185.28,0.8526746565331774,0.76062785350799,2026-05-16T13:03:42,
OK,small,bloodmnist_224,resnet,,5,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_5/beta_0/seed_42/my_merge/eval.json,True,211.42,0.253434668225665,1.9755034805981955,2026-05-16T13:07:13,
OK,small,bloodmnist_224,resnet,,5,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_5/beta_0p01/seed_42/my_merge/eval.json,True,215.9,0.22566501023092664,1.9122967321041278,2026-05-16T13:10:49,
OK,small,bloodmnist_224,resnet,,5,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_5/beta_0p1/seed_42/my_merge/eval.json,True,240.61,0.6018707980122772,1.479542093470723,2026-05-16T13:14:49,
OK,small,bloodmnist_224,resnet,,7,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_7/beta_0/seed_42/my_merge/eval.json,True,331.43,0.22683425898859982,2.0101187910053753,2026-05-16T13:20:21,
OK,small,bloodmnist_224,resnet,,7,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_7/beta_0p01/seed_42/my_merge/eval.json,True,326.22,0.4036831335866706,1.9566941171039514,2026-05-16T13:25:47,
OK,small,bloodmnist_224,resnet,,7,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/resnet/clients_7/beta_0p1/seed_42/my_merge/eval.json,True,270.83,0.4349605378544285,1.6763960038734018,2026-05-16T13:30:18,
OK,small,bloodmnist_224,swin_tiny,,3,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/swin_tiny/clients_3/beta_0/seed_42/my_merge/eval.json,True,226.84,0.19467991815258695,2.218725583595827,2026-05-16T13:34:05,
OK,small,bloodmnist_224,swin_tiny,,3,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/swin_tiny/clients_3/beta_0p01/seed_42/my_merge/eval.json,True,233.86,0.1373867290266004,2.256554421190977,2026-05-16T13:37:59,
OK,small,bloodmnist_224,swin_tiny,,3,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/swin_tiny/clients_3/beta_0p1/seed_42/my_merge/eval.json,True,225.85,0.1373867290266004,2.298662118136761,2026-05-16T13:41:45,
OK,small,bloodmnist_224,swin_tiny,,5,0.0,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/swin_tiny/clients_5/beta_0/seed_42/my_merge/eval.json,True,246.1,0.0912014030985092,2.079992399617128,2026-05-16T13:45:51,
OK,small,bloodmnist_224,swin_tiny,,5,0.01,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/swin_tiny/clients_5/beta_0p01/seed_42/my_merge/eval.json,True,255.3,0.19321835720549546,2.1238164002698126,2026-05-16T13:50:06,
OK,small,bloodmnist_224,swin_tiny,,5,0.1,42,my_merge,equal,/data/liyapeng_grp/program/MedMNISTMerge/outputs/my_merge_ablation_three_module_full_20260515_170100/no_fusion_selection/eval/small/bloodmnist_224/swin_tiny/clients_5/beta_0p1/seed_42/my_merge/eval.json,True,233.77,0.07132417421806489,2.192212559054101,2026-05-16T13:54:00,
