task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_weights,plot_path,status,image
small,bloodmnist_224,convnext,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.14914969, alpha_morph=0.11814976, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.08546142, F=0.00000000<br>client_1.pt: pi=0.33333333, alpha_all=0.45631996, alpha_morph=0.41284373, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.23951770, F=0.12623961<br>client_2.pt: pi=0.33333333, alpha_all=0.39453030, alpha_morph=0.46900645, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.19758366, F=0.08091398",,not_plotted,
small,bloodmnist_224,convnext,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.38688806, alpha_morph=0.33628592, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048782, F=0.03165521<br>client_1.pt: pi=0.33333333, alpha_all=0.26447818, alpha_morph=0.29124364, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07068390, F=0.01490243<br>client_2.pt: pi=0.33333333, alpha_all=0.34863383, alpha_morph=0.37247044, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.12037361, F=0.06686558",,not_plotted,
small,bloodmnist_224,convnext,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.28754514, alpha_morph=0.27178892, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14036730, F=0.03169849<br>client_1.pt: pi=0.33333333, alpha_all=0.42489347, alpha_morph=0.45641327, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.29198310, F=0.15238684<br>client_2.pt: pi=0.33333333, alpha_all=0.28756142, alpha_morph=0.27179781, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048196, F=0.03165539",,not_plotted,
small,bloodmnist_224,convnext,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.23200920, alpha_morph=0.28731784, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.13572589, F=0.10554866<br>client_1.pt: pi=0.20000000, alpha_all=0.13134532, alpha_morph=0.13640429, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07017871, F=0.01486962<br>client_2.pt: pi=0.20000000, alpha_all=0.16922349, alpha_morph=0.16791368, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11747486, F=0.02595012<br>client_3.pt: pi=0.20000000, alpha_all=0.19223554, alpha_morph=0.15756562, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048733, F=0.03165519<br>client_4.pt: pi=0.20000000, alpha_all=0.27518642, alpha_morph=0.25079846, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876019, F=0.07175371",,not_plotted,
small,bloodmnist_224,convnext,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.15142044, alpha_morph=0.16234358, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.06887940, F=0.01513526<br>client_1.pt: pi=0.20000000, alpha_all=0.15678237, alpha_morph=0.18539228, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.10052613, F=0.02175072<br>client_2.pt: pi=0.20000000, alpha_all=0.15232794, alpha_morph=0.16589394, A=0.06250000, M=0.07451712, H=0.14285715, Q=0.07451712, F=0.01584819<br>client_3.pt: pi=0.20000000, alpha_all=0.31759241, alpha_morph=0.29869422, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876014, F=0.07175371<br>client_4.pt: pi=0.20000000, alpha_all=0.22187690, alpha_morph=0.18767592, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14057675, F=0.03170177",,not_plotted,
small,bloodmnist_224,convnext,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.14245230, alpha_morph=0.13854295, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.10255802, F=0.02469560<br>client_1.pt: pi=0.20000000, alpha_all=0.29515436, alpha_morph=0.26002565, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.26615649, F=0.17292569<br>client_2.pt: pi=0.20000000, alpha_all=0.14203916, alpha_morph=0.15339962, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.09627553, F=0.02931587<br>client_3.pt: pi=0.20000000, alpha_all=0.17690091, alpha_morph=0.16480659, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11836254, F=0.02607166<br>client_4.pt: pi=0.20000000, alpha_all=0.24345328, alpha_morph=0.28322518, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.13895379, F=0.11271042",,not_plotted,
small,bloodmnist_224,convnext,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.06687752, alpha_morph=0.05445040, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.02267453, F=0.00000000<br>client_1.pt: pi=0.14285714, alpha_all=0.10734432, alpha_morph=0.11156785, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07016671, F=0.01486793<br>client_2.pt: pi=0.14285714, alpha_all=0.13830629, alpha_morph=0.13734376, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11751516, F=0.02594107<br>client_3.pt: pi=0.14285714, alpha_all=0.15710998, alpha_morph=0.12887754, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048733, F=0.03165519<br>client_4.pt: pi=0.14285714, alpha_all=0.22490394, alpha_morph=0.20513541, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876016, F=0.07175371<br>client_5.pt: pi=0.14285714, alpha_all=0.19463515, alpha_morph=0.23548549, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.21976349, F=0.05332840<br>client_6.pt: pi=0.14285714, alpha_all=0.11082281, alpha_morph=0.12713960, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.09879407, F=0.02145447",,not_plotted,
small,bloodmnist_224,convnext,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.08550778, alpha_morph=0.10006699, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.09879415, F=0.02145447<br>client_1.pt: pi=0.14285714, alpha_all=0.15713863, alpha_morph=0.19476900, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.25756192, F=0.12310742<br>client_2.pt: pi=0.14285714, alpha_all=0.18237270, alpha_morph=0.17273107, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.33576190, F=0.14736487<br>client_3.pt: pi=0.14285714, alpha_all=0.17352957, alpha_morph=0.16145466, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876022, F=0.07175371<br>client_4.pt: pi=0.14285714, alpha_all=0.10671291, alpha_morph=0.10809801, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11751112, F=0.02594090<br>client_5.pt: pi=0.14285714, alpha_all=0.12122218, alpha_morph=0.10143533, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14049333, F=0.03165597<br>client_6.pt: pi=0.14285714, alpha_all=0.17351629, alpha_morph=0.16144490, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27858147, F=0.07177458",,not_plotted,
small,bloodmnist_224,convnext,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.19247195, alpha_morph=0.17561029, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27851793, F=0.07183725<br>client_1.pt: pi=0.14285714, alpha_all=0.13446404, alpha_morph=0.11033712, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14040974, F=0.03174055<br>client_2.pt: pi=0.14285714, alpha_all=0.11837221, alpha_morph=0.11758154, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11751541, F=0.02594115<br>client_3.pt: pi=0.14285714, alpha_all=0.12001058, alpha_morph=0.12217518, A=0.06250000, M=0.07451712, H=0.14285715, Q=0.35428965, F=0.05753704<br>client_4.pt: pi=0.14285714, alpha_all=0.13446367, alpha_morph=0.11204254, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.12009241, F=0.06108208<br>client_5.pt: pi=0.14285714, alpha_all=0.13041706, alpha_morph=0.15404029, A=0.12500000, M=0.15655752, H=0.28571430, Q=0.15522647, F=0.03842928<br>client_6.pt: pi=0.14285714, alpha_all=0.16980046, alpha_morph=0.20821306, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.20765084, F=0.12264164",,not_plotted,
small,bloodmnist_224,resnet,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.32983831, alpha_morph=0.33468765, A=0.25000000, M=0.23928139, H=0.14285715, Q=0.20502861, F=0.08142674<br>client_1.pt: pi=0.33333333, alpha_all=0.44021106, alpha_morph=0.43686429, A=0.37500000, M=0.34892696, H=0.14285715, Q=0.35540950, F=0.10081125<br>client_2.pt: pi=0.33333333, alpha_all=0.22995070, alpha_morph=0.22844812, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.14037183, F=0.02666533",,not_plotted,
