task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_index,client_name,seen_classes,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph,acc_A,medical_acc_M,hard_acc_H,margin_Q,focal_acc_F
small,bloodmnist_224,convnext,,3,0.0,42,avg,0,client_0.pt,3 7 5,0.33333333,0.14729038,0.11592712,0.00000000,0.00000000,0.00000000,0.08789053,0.00000000
small,bloodmnist_224,convnext,,3,0.0,42,avg,1,client_1.pt,4 6 0,0.33333333,0.49066511,0.50533324,0.31250000,0.29701259,0.28571430,0.25481257,0.13702026
small,bloodmnist_224,convnext,,3,0.0,42,avg,2,client_2.pt,2 1,0.33333333,0.36204451,0.37873968,0.18750000,0.18243525,0.28571430,0.17108924,0.06531939
small,bloodmnist_224,convnext,,3,0.01,42,avg,0,client_0.pt,6 7,0.33333333,0.39997232,0.37262532,0.18750000,0.15959905,0.00000000,0.15959952,0.03659186
small,bloodmnist_224,convnext,,3,0.01,42,avg,1,client_1.pt,1 4 5,0.33333333,0.24338458,0.22860111,0.06250000,0.06076554,0.00000000,0.06118840,0.01280192
small,bloodmnist_224,convnext,,3,0.01,42,avg,2,client_2.pt,0 2 3 5,0.33333333,0.35664311,0.39877361,0.12500000,0.13001344,0.14285715,0.12129378,0.07408467
small,bloodmnist_224,convnext,,3,0.1,42,morphology,0,client_0.pt,0 2 3 4 5 6 7,0.33333333,0.27992994,0.25533578,0.18750000,0.15959905,0.00000000,0.15944929,0.03664251
small,bloodmnist_224,convnext,,3,0.1,42,morphology,1,client_1.pt,0 1 3 4 5 6,0.33333333,0.44012013,0.48931789,0.31250000,0.29701259,0.28571430,0.28730604,0.16107747
small,bloodmnist_224,convnext,,3,0.1,42,morphology,2,client_2.pt,0 3 7,0.33333333,0.27994993,0.25534624,0.18750000,0.15959905,0.00000000,0.15959288,0.03659207
small,bloodmnist_224,convnext,,5,0.0,42,morphology,0,client_0.pt,3 1,0.20000000,0.21567082,0.23597620,0.18750000,0.18243525,0.28571430,0.11269497,0.08549477
small,bloodmnist_224,convnext,,5,0.0,42,morphology,1,client_1.pt,4 5,0.20000000,0.11849761,0.10423532,0.06250000,0.06076554,0.00000000,0.06077407,0.01277544
small,bloodmnist_224,convnext,,5,0.0,42,morphology,2,client_2.pt,2 0,0.20000000,0.17083989,0.17587042,0.12500000,0.13001344,0.14285715,0.12998140,0.02903204
small,bloodmnist_224,convnext,,5,0.0,42,morphology,3,client_3.pt,7,0.20000000,0.19482706,0.16998194,0.18750000,0.15959905,0.00000000,0.15959905,0.03659183
small,bloodmnist_224,convnext,,5,0.0,42,morphology,4,client_4.pt,6,0.20000000,0.30016458,0.31393608,0.31250000,0.29701259,0.28571430,0.29701256,0.07791620
small,bloodmnist_224,convnext,,5,0.01,42,morphology,0,client_0.pt,3 4,0.20000000,0.13446090,0.11831555,0.06250000,0.06076554,0.00000000,0.05965197,0.01300427
small,bloodmnist_224,convnext,,5,0.01,42,morphology,1,client_1.pt,4 5 6,0.20000000,0.15063225,0.16094694,0.06250000,0.07822976,0.14285715,0.08020716,0.01692066
small,bloodmnist_224,convnext,,5,0.01,42,morphology,2,client_2.pt,0,0.20000000,0.15263432,0.17101449,0.06250000,0.09194430,0.14285715,0.09194430,0.01984885
