dataset,setting,mean_acc,num_rows
bloodmnist_224,stats1_eval1_bn0,0.4494462307967131,9
bloodmnist_224,stats2_eval1_bn0,0.4494462307967131,9
bloodmnist_224,stats4_eval2_bn1,0.4494462307967131,9
bloodmnist_224,stats4_eval4_bn2,0.4494462307967131,9
chaoshengmnist_224,stats1_eval1_bn0,0.2200259558750125,9
chaoshengmnist_224,stats2_eval1_bn0,0.2200259558750125,9
chaoshengmnist_224,stats4_eval2_bn1,0.2200259558750125,9
chaoshengmnist_224,stats4_eval4_bn2,0.2200259558750125,9
dermamnist_224,stats1_eval1_bn0,0.7086173455250763,9
dermamnist_224,stats2_eval1_bn0,0.7086173455250763,9
dermamnist_224,stats4_eval2_bn1,0.7086173455250763,9
dermamnist_224,stats4_eval4_bn2,0.7086173455250763,9
organcmnist_224,stats1_eval1_bn0,0.3891323163475062,9
organcmnist_224,stats2_eval1_bn0,0.3891323163475062,9
organcmnist_224,stats4_eval2_bn1,0.3891323163475062,9
organcmnist_224,stats4_eval4_bn2,0.3891323163475062,9
