ablation,dataset,cases,mean_acc,mean_abs_delta_all,mean_abs_delta_morph,mean_max_alpha_all,mean_max_alpha_morph,mean_entropy_alpha_all,mean_entropy_alpha_morph
avg_only,bloodmnist_224,45,0.17258111663256348,,,,,,
avg_only,chaoshengmnist_224,45,0.1550963362284117,,,,,,
avg_only,dermamnist_224,45,0.5058354114713219,,,,,,
avg_only,organcmnist_224,45,0.1331061343719571,,,,,,
avg_only,organsmnist_224,45,0.1468574953111035,,,,,,
full,bloodmnist_224,45,0.3164441846113872,0.041064737734670884,0.04570547651420104,0.28706696066591475,0.2973659846517775,0.9823968320636484,0.9778307500613418
full,chaoshengmnist_224,45,0.14141958670260546,0.13720482574313556,0.1592290267673607,0.4716834386189779,0.5182236244281133,0.8385537971887629,0.7824382976795418
full,dermamnist_224,45,0.6784704904405656,0.14121634593970173,0.13664099929335136,0.4716912382178836,0.46212238073349,0.8385871731503657,0.8458333370189296
full,organcmnist_224,45,0.2939711132749107,0.04846537017360476,0.06816338211836366,0.30907608535554676,0.34265544646316104,0.9756264695562065,0.9524264645573882
full,organsmnist_224,45,0.28146973301612477,0.04464754367093952,0.06340999928327046,0.3020013759533564,0.34105869366063013,0.9793523596224765,0.9585045229475333
no_client_information,bloodmnist_224,45,0.28383513592516796,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,chaoshengmnist_224,45,0.15707297594090036,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,dermamnist_224,45,0.6132779163203106,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,organcmnist_224,45,0.28277885967759375,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,organsmnist_224,45,0.27172941605931294,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_fusion_selection,bloodmnist_224,45,0.17258111663256348,0.041064737734670884,0.04570547651420104,0.28706696066591475,0.2973659846517775,0.9823968320636484,0.9778307500613418
no_fusion_selection,chaoshengmnist_224,45,0.1550963362284117,0.13720482574313556,0.1592290267673607,0.4716834386189779,0.5182236244281133,0.8385537971887629,0.7824382976795418
no_fusion_selection,dermamnist_224,45,0.5058354114713219,0.14121634593970173,0.13664099929335136,0.4716912382178836,0.46212238073349,0.8385871731503657,0.8458333370189296
no_fusion_selection,organcmnist_224,45,0.1331061343719571,0.04846537017360476,0.06816338211836366,0.30907608535554676,0.34265544646316104,0.9756264695562065,0.9524264645573882
no_fusion_selection,organsmnist_224,45,0.1468574953111035,0.04464754367093952,0.06340999928327046,0.3020013759533564,0.34105869366063013,0.9793523596224765,0.9585045229475333
