ablation,task_type,model,cases,mean_acc,mean_abs_delta_all,mean_abs_delta_morph,mean_max_alpha_all,mean_max_alpha_morph,mean_entropy_alpha_all,mean_entropy_alpha_morph
avg_only,small,convnext,45,0.19850705864398324,,,,,,
avg_only,small,resnet,45,0.29328412924243336,,,,,,
avg_only,small,swin_tiny,45,0.203089708505253,,,,,,
avg_only,small,vit_t,45,0.18671888442533408,,,,,,
avg_only,vlm,clip-vit-base-patch32,45,0.23187671319835362,,,,,,
full,small,convnext,45,0.27475359254145865,0.0774385198021031,0.09106735928996768,0.36050684650739034,0.38951046499941083,0.9328836310579013,0.9105214330160583
full,small,resnet,45,0.4320246018074902,0.08598372254561014,0.09532620710751351,0.36337023940351276,0.37669708099630145,0.9245669735778965,0.9084795254765213
full,small,swin_tiny,45,0.28949353693822977,0.0805135179656178,0.09195145898481465,0.3599332143863042,0.38521174026860133,0.921787845112974,0.9052432967358226
full,small,vit_t,45,0.31750670723829916,0.08132979494154556,0.09570298544019197,0.37343960172600216,0.4034527129597134,0.9267540616251602,0.9048035947947116
full,vlm,clip-vit-base-patch32,45,0.3979966695201153,0.08733326800717577,0.0991008731540594,0.38426919678846994,0.40655413071314495,0.9085241202075278,0.8879855222416208
no_client_information,small,convnext,45,0.2384817629819544,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,small,resnet,45,0.42584251393869366,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,small,swin_tiny,45,0.2718687764497868,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,small,vit_t,45,0.32054595828504473,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_client_information,vlm,clip-vit-base-patch32,45,0.35195529226780564,0.0,0.0,0.22539682539682537,0.22539682539682537,1.0,1.0
no_fusion_selection,small,convnext,45,0.19850705864398324,0.0774385198021031,0.09106735928996768,0.36050684650739034,0.38951046499941083,0.9328836310579013,0.9105214330160583
no_fusion_selection,small,resnet,45,0.29328412924243336,0.08598372254561014,0.09532620710751351,0.36337023940351276,0.37669708099630145,0.9245669735778965,0.9084795254765213
no_fusion_selection,small,swin_tiny,45,0.203089708505253,0.0805135179656178,0.09195145898481465,0.3599332143863042,0.38521174026860133,0.921787845112974,0.9052432967358226
no_fusion_selection,small,vit_t,45,0.18671888442533408,0.08132979494154556,0.09570298544019197,0.37343960172600216,0.4034527129597134,0.9267540616251602,0.9048035947947116
no_fusion_selection,vlm,clip-vit-base-patch32,45,0.23187671319835362,0.08733326800717577,0.0991008731540594,0.38426919678846994,0.40655413071314495,0.9085241202075278,0.8879855222416208
