ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,test_acc,delta_acc_vs_full,mean_abs_delta_all,mean_abs_delta_morph,max_alpha_all,max_alpha_morph,entropy_alpha_all,entropy_alpha_morph
full,small,bloodmnist_224,convnext,3,0.0,42,avg,0.19467991815258695,0.0,0.01760349008772109,0.01570175753699408,0.3568447530269623,0.35688596963882446,0.9982728308111682,0.9987288860787855
full,small,bloodmnist_224,convnext,3,0.01,42,morphology,0.16924875767319497,0.0,0.045664154820972025,0.04451671573850844,0.3795205056667328,0.3844546973705292,0.9896521822901287,0.9897310073484106
full,small,bloodmnist_224,convnext,3,0.1,42,morphology,0.19467991815258695,0.0,0.04536586668756273,0.06305155820316738,0.4013821482658386,0.4279106855392456,0.9907939239932226,0.9823840862322032
full,small,bloodmnist_224,convnext,5,0.0,42,specialist_client,0.19467991815258695,0.0,0.04791205286979675,0.06050123512744904,0.2616928517818451,0.29394614696502686,0.9778010976554524,0.9671875305172808
full,small,bloodmnist_224,convnext,5,0.01,42,morphology,0.19467991815258695,0.0,0.03239508807659149,0.023682320713996886,0.270869642496109,0.24999861419200897,0.9891994898717504,0.9933307594698577
full,small,bloodmnist_224,convnext,5,0.1,42,specialist_client,0.19467991815258695,0.0,0.05334181129932404,0.05555474519729614,0.27363529801368713,0.2811240255832672,0.9761938370134917,0.9687806227030039
full,small,bloodmnist_224,convnext,7,0.0,42,specialist_client,0.19467991815258695,0.0,0.029645340631202777,0.033768391882886696,0.18825846910476685,0.19766154885292053,0.9858639059452899,0.9807858980088416
full,small,bloodmnist_224,convnext,7,0.01,42,avg,0.19467991815258695,0.0,0.03006484024986929,0.03098065178005063,0.1755882352590561,0.19073604047298431,0.9859461395498909,0.9831631223970888
full,small,bloodmnist_224,convnext,7,0.1,42,morphology,0.1824028061970184,0.0,0.021444707196585984,0.02883212283557775,0.17955167591571808,0.2018648236989975,0.9901600907238697,0.984542731616624
full,small,bloodmnist_224,resnet,3,0.0,42,avg,0.4606840105232388,0.0,0.12021611465348138,0.13717256817552778,0.4452696144580841,0.458892822265625,0.9228576391293403,0.8968489478543697
full,small,bloodmnist_224,resnet,3,0.01,42,avg,0.45074539608301667,0.0,0.05450272891256545,0.03832822375827366,0.4098595678806305,0.3631877899169922,0.9825376541939116,0.99300513746773
full,small,bloodmnist_224,resnet,3,0.1,42,avg,0.8529669687225957,0.0,0.07165408962302738,0.060167549384964845,0.4214814603328705,0.41338247060775757,0.971909326663629,0.9794491224545876
full,small,bloodmnist_224,resnet,5,0.0,42,avg,0.2540192926045016,0.0,0.035061401724815366,0.038206831216812134,0.2612866759300232,0.2516740560531616,0.9863151079740502,0.9836039378292909
full,small,bloodmnist_224,resnet,5,0.01,42,consensus,0.31072785735165154,0.0,0.034584318995475774,0.038386390805244454,0.28175684809684753,0.2959659695625305,0.9824574508628432,0.9825883898574597
full,small,bloodmnist_224,resnet,5,0.1,42,avg,0.5980707395498392,0.0,0.059951990246772766,0.07141077160835266,0.31463444232940674,0.3512727618217468,0.9645154534481016,0.950139657301652
full,small,bloodmnist_224,resnet,7,0.0,42,avg,0.22712657117801813,0.0,0.028121713929030363,0.03327438113640766,0.18743184208869934,0.19710953533649445,0.9868652292844019,0.981675932989421
full,small,bloodmnist_224,resnet,7,0.01,42,consensus,0.4539608301666179,0.0,0.026961915651146244,0.0339454640539325,0.22245971858501434,0.2581327557563782,0.9836902251006909,0.973131999357553
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,0.5954399298450745,0.0,0.04132039191163316,0.04680201396041987,0.225210502743721,0.23666226863861084,0.9681835157008511,0.9614249585050023
full,small,bloodmnist_224,swin_tiny,3,0.0,42,prototype_head,0.19467991815258695,0.0,0.03323900037341648,0.055197689268324114,0.3654373586177826,0.3942853510379791,0.9946356936343755,0.9843250823192886
full,small,bloodmnist_224,swin_tiny,3,0.01,42,prototype_head,0.1373867290266004,0.0,0.04484695527288649,0.04177864723735386,0.38078123331069946,0.37543532252311707,0.9898941385829856,0.991375899037957
full,small,bloodmnist_224,swin_tiny,3,0.1,42,specialist_client,0.19467991815258695,0.0,0.047907011376486876,0.06713222132788764,0.40519386529922485,0.4340316653251648,0.9897483108284616,0.9800704677040242
full,small,bloodmnist_224,swin_tiny,5,0.0,42,prototype_head,0.3002046185325928,0.0,0.04751207888126373,0.05901600360870361,0.26258864998817444,0.28812527656555176,0.9782464293075361,0.9688450112713554
full,small,bloodmnist_224,swin_tiny,5,0.01,42,prototype_head,0.19964922537269805,0.0,0.027379140853881833,0.016151726841926572,0.22448302805423737,0.23371082544326782,0.9918524241844463,0.9965019105415522
full,small,bloodmnist_224,swin_tiny,5,0.1,42,specialist_client,0.24378836597486114,0.0,0.03845030725002289,0.05345312118530273,0.24980852007865906,0.28279730677604675,0.9831865391095309,0.9705837371285304
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,0.2619117217187957,0.0,0.029717098237300406,0.03386255551357659,0.18811319768428802,0.19745194911956787,0.9858292792601449,0.9807103267671334
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,0.19467991815258695,0.0,0.03405852737475414,0.03409703303964771,0.19743382930755615,0.19504603743553162,0.9825436591082545,0.9817660678962914
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,0.19467991815258695,0.0,0.018297839833765612,0.028969888632394827,0.178199902176857,0.20370332896709442,0.991624921403534,0.9848226035778902
full,small,bloodmnist_224,vit_t,3,0.0,42,prototype_head,0.3592516807950892,0.0,0.05742753214306301,0.04702633288171556,0.41947466135025024,0.4038728177547455,0.9853264400023599,0.9897898494821704
full,small,bloodmnist_224,vit_t,3,0.01,42,prototype_head,0.1891259865536393,0.0,0.0577655898200141,0.04734151230918036,0.4199817180633545,0.4043456017971039,0.9851417615156018,0.9896046255355357
full,small,bloodmnist_224,vit_t,3,0.1,42,prototype_head,0.323881905875475,0.0,0.042080627547370054,0.03342478142844305,0.3964542746543884,0.3834705054759979,0.9895407459402845,0.994636417787232
full,small,bloodmnist_224,vit_t,5,0.0,42,specialist_client,0.19467991815258695,0.0,0.043922934532165524,0.05056114435195923,0.27094414830207825,0.2715204656124115,0.9812184033491141,0.9762753064203028
full,small,bloodmnist_224,vit_t,5,0.01,42,prototype_head,0.3300204618532593,0.0,0.04128737986087799,0.03498447477817536,0.28339168429374695,0.2668902277946472,0.9833113557747859,0.9869523690507048
full,small,bloodmnist_224,vit_t,5,0.1,42,prototype_head,0.259280912014031,0.0,0.029660624861717222,0.03527511119842529,0.23704855144023895,0.25096139311790466,0.9914112388262383,0.988682123965231
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,0.2616194095293774,0.0,0.029557828240248624,0.033513459624076376,0.18842463195323944,0.19822026789188385,0.985905851627194,0.9809776251251129
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,0.22157263957907045,0.0,0.018354305807425055,0.022174791718015865,0.1869252324104309,0.18408486247062683,0.9917595609790935,0.9896703471740634
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,0.3121894182987431,0.0,0.01279623091829067,0.026075142226657085,0.1715562790632248,0.1997198462486267,0.9942070677866899,0.987121606502571
full,small,chaoshengmnist_224,convnext,3,0.0,42,morphology,0.1087151841868823,0.0,0.2510768986410565,0.29864280339744353,0.7099486589431763,0.781297504901886,0.7301756443752726,0.6153877287353915
full,small,chaoshengmnist_224,convnext,3,0.01,42,morphology,0.1087151841868823,0.0,0.23042594061957464,0.26526645239856506,0.6789722442626953,0.7312330007553101,0.7693186775361033,0.6956609356899711
full,small,chaoshengmnist_224,convnext,3,0.1,42,morphology,0.1087151841868823,0.0,0.07129439380433823,0.07039317157533433,0.4402749538421631,0.4389231204986572,0.977425016741161,0.9779830951012161
full,small,chaoshengmnist_224,convnext,5,0.0,42,morphology,0.1087151841868823,0.0,0.13532250791788103,0.16299971014261244,0.5383062958717346,0.6074993014335632,0.8242959568096233,0.7524364653217194
full,small,chaoshengmnist_224,convnext,5,0.01,42,morphology,0.1087151841868823,0.0,0.11799388051033022,0.15287954777479174,0.4949846863746643,0.5821988582611084,0.8545826273967002,0.7714505464826868
full,small,chaoshengmnist_224,convnext,5,0.1,42,morph_anchor,0.1087151841868823,0.0,0.1368883290886879,0.15295444071292877,0.3817758560180664,0.4238136112689972,0.8452400322541246,0.8017006228516312
full,small,chaoshengmnist_224,convnext,7,0.0,42,morphology,0.1087151841868823,0.0,0.0878434976448818,0.11347960437438924,0.4503093957901001,0.5400357842445374,0.8572789389203527,0.7760244204808617
full,small,chaoshengmnist_224,convnext,7,0.01,42,morphology,0.1087151841868823,0.0,0.09553571729635706,0.11493640332197656,0.4009885787963867,0.47151991724967957,0.8621045230650357,0.7969610703370054
full,small,chaoshengmnist_224,convnext,7,0.1,42,morphology,0.1087151841868823,0.0,0.016902750548051324,0.016665421882454227,0.19270311295986176,0.19200322031974792,0.9945150474371565,0.9946632590635939
full,small,chaoshengmnist_224,resnet,3,0.0,42,consensus,0.32075471698113206,0.0,0.15534580333365336,0.1710373072160615,0.47978639602661133,0.48171448707580566,0.8623546494164481,0.8282089759092621
full,small,chaoshengmnist_224,resnet,3,0.01,42,morphology,0.16352201257861634,0.0,0.2454593545860714,0.2709987925158606,0.7015223503112793,0.7398315072059631,0.7235943745110216,0.6585068198894691
full,small,chaoshengmnist_224,resnet,3,0.1,42,morphology,0.5094339622641509,0.0,0.1427682497435146,0.15432554814550611,0.4861997067928314,0.5197715163230896,0.8838947816765687,0.8560768333919732
full,small,chaoshengmnist_224,resnet,5,0.0,42,consensus,0.15992812219227315,0.0,0.14451868027448653,0.1667986997961998,0.39890816807746887,0.4390881061553955,0.8316583661792133,0.7709973677782982
full,small,chaoshengmnist_224,resnet,5,0.01,42,consensus,0.12578616352201258,0.0,0.08478571116924286,0.10051674783229828,0.34380754828453064,0.38137948513031006,0.9332515249387551,0.9067682437215862
full,small,chaoshengmnist_224,resnet,5,0.1,42,consensus,0.1320754716981132,0.0,0.12832152336835861,0.14407055020332335,0.36300840973854065,0.39908480644226074,0.8635167260915261,0.8257486209504511
full,small,chaoshengmnist_224,resnet,7,0.0,42,morphology,0.13387241689128482,0.0,0.09750657680691506,0.1140712855421767,0.32283875346183777,0.37164491415023804,0.865003104299109,0.8146711921386749
full,small,chaoshengmnist_224,resnet,7,0.01,42,morphology,0.18598382749326145,0.0,0.10039666234230506,0.12075285020531437,0.31920117139816284,0.3682364821434021,0.8612262733428834,0.801493303242508
full,small,chaoshengmnist_224,resnet,7,0.1,42,specialist_client,0.34321653189577717,0.0,0.06156021425006341,0.07066188528373533,0.24588562548160553,0.25376224517822266,0.9335022733138596,0.9139168866408741
full,small,chaoshengmnist_224,swin_tiny,3,0.0,42,specialist_client,0.1087151841868823,0.0,0.2481481846835878,0.2980957544512219,0.7055556178092957,0.780476987361908,0.7361579429170239,0.6166258733056944
full,small,chaoshengmnist_224,swin_tiny,3,0.01,42,prototype_head,0.1087151841868823,0.0,0.22575575278864965,0.2609056300587124,0.6719669699668884,0.7246917486190796,0.776596666750559,0.7039648830845259
full,small,chaoshengmnist_224,swin_tiny,3,0.1,42,prototype_head,0.1087151841868823,0.0,0.1513237746225463,0.167874953813023,0.5603190064430237,0.5851457715034485,0.8478419470825851,0.809677862713562
full,small,chaoshengmnist_224,swin_tiny,5,0.0,42,morph_anchor,0.1087151841868823,0.0,0.14804437547922134,0.16900643050670622,0.3857001066207886,0.428712397813797,0.8235796513186353,0.7654389033956538
full,small,chaoshengmnist_224,swin_tiny,5,0.01,42,specialist_client,0.1087151841868823,0.0,0.11293023586273195,0.12443437635898591,0.30119770765304565,0.3369118273258209,0.8779475089175603,0.8449408931676367
full,small,chaoshengmnist_224,swin_tiny,5,0.1,42,specialist_client,0.1087151841868823,0.0,0.1359188014268875,0.1522919224202633,0.38421308994293213,0.4249957203865051,0.8470345823330365,0.8028756085370934
full,small,chaoshengmnist_224,swin_tiny,7,0.0,42,prototype_head,0.12309074573225516,0.0,0.10237876052150921,0.11889377281982072,0.3420790731906891,0.38772690296173096,0.8532976430299766,0.8004867679157619
full,small,chaoshengmnist_224,swin_tiny,7,0.01,42,specialist_client,0.1087151841868823,0.0,0.09050513317390364,0.10685024456102019,0.37059420347213745,0.42894142866134644,0.8730713485191699,0.819554284866502
full,small,chaoshengmnist_224,swin_tiny,7,0.1,42,prototype_head,0.1087151841868823,0.0,0.019518450358692478,0.025804484985312633,0.17974555492401123,0.2082458883523941,0.9930271288642198,0.987906551385503
full,small,chaoshengmnist_224,vit_t,3,0.0,42,prototype_head,0.11859838274932614,0.0,0.23918728199270034,0.28531554010179305,0.6921142339706421,0.761306643486023,0.7562346312724009,0.6508380883958178
