status,error,seconds,source,task_type,dataset,model,num_clients,beta,seed,method,base_method,ablation_mode,client_id,split,accuracy,balanced_accuracy,macro_auc,macro_f1,mean_precision,loss,num_samples,num_classes,num_total_classes,num_eval_classes,true_majority_class,true_majority_ratio,pred_majority_class,collapse_ratio,collapse_over_true_majority,collapse_excess,effective_predicted_classes,pred_nonzero_classes,pred_entropy_norm,prob_entropy_norm,mean_max_probability,pred_true_tv,prob_true_tv,per_class_recall,per_class_precision,per_class_f1,true_counts,predicted_class_counts,prob_mean,confusion_matrix_json,checkpoint_path,merged_dir,updated_at
OK,,21.90,merge,small,bloodmnist_224,convnext,3,0,42,head_avg,head_avg,,,test,0.2785735165156387,0.1880102960248479,0.5953984034286941,0.12498586373899845,0.16092797962840164,1.977770286009208,3421,8,8,8,6,0.19467991815258695,6,0.5051154633148203,2.594594594594595,0.3104355451622333,2.5600576807731823,6,0.45205877200581424,0.9807650415938979,0.19880426045016078,0.5448699210757089,0.09774480124459409,0.000000 0.871795 0.000000 0.129534 0.000000 0.000000 0.498498 0.004255,0.000000 0.381487 0.000000 0.313808 0.000000 0.000000 0.192130 0.400000,0.000000 0.530732 0.000000 0.183374 0.000000 0.000000 0.277360 0.008421,244 624 311 579 243 284 666 470,22 1426 0 239 1 0 1728 5,0.115937 0.177186 0.074076 0.142563 0.109060 0.098120 0.179663 0.103394,"[[0,93,0,23,0,0,128,0],[1,544,0,6,0,0,73,0],[1,108,0,18,0,0,181,3],[18,180,0,75,1,0,305,0],[0,67,0,28,0,0,148,0],[0,70,0,32,0,0,182,0],[1,322,0,11,0,0,332,0],[1,42,0,46,0,0,379,2]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_avg/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_avg,2026-07-24T18:15:09
OK,,21.11,merge,small,bloodmnist_224,convnext,3,0,42,head_ties,head_ties,,,test,0.18941829874305757,0.1293529106029106,0.5909966635459047,0.0545420211259809,0.035429861937201705,3.0335943494683573,3421,8,8,8,6,0.19467991815258695,1,0.7334112832505115,3.7672672672672673,0.5387313650979246,1.7898301877860598,3,0.2799409055392871,0.7067939623524999,0.4280181233557439,0.6226249634609763,0.39786070090436587,0.000000 0.980769 0.000000 0.000000 0.000000 0.000000 0.054054 0.000000,0.000000 0.243922 0.000000 0.000000 0.000000 0.000000 0.039517 0.000000,0.000000 0.390680 0.000000 0.000000 0.000000 0.000000 0.045656 0.000000,244 624 311 579 243 284 666 470,0 2509 0 0 1 0 911 0,0.078698 0.406812 0.061825 0.005290 0.136712 0.013048 0.295078 0.002538,"[[0,219,0,0,0,0,25,0],[0,612,0,0,0,0,12,0],[0,182,0,0,0,0,129,0],[0,430,0,0,0,0,149,0],[0,151,0,0,0,0,92,0],[0,223,0,0,0,0,61,0],[0,630,0,0,0,0,36,0],[0,62,0,0,1,0,407,0]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_ties/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_ties,2026-07-24T18:15:31
OK,,21.07,merge,small,bloodmnist_224,convnext,3,0,42,head_dare_linear,head_dare_linear,,,test,0.22157263957907045,0.16379874141588568,0.5768236861869873,0.12576290695654524,0.18104964676246116,1.9895095892100263,3421,8,8,8,6,0.19467991815258695,1,0.41888336743642207,2.1516516516516515,0.22420344928383512,3.8888218563126515,8,0.6531110492095593,0.9785672177100875,0.2134198699210757,0.4016369482607424,0.10111642361130893,0.090164 0.645833 0.003215 0.388601 0.000000 0.000000 0.108108 0.074468,0.054054 0.281228 0.200000 0.229358 0.000000 0.000000 0.136882 0.546875,0.067588 0.391833 0.006329 0.288462 0.000000 0.000000 0.120805 0.131086,244 624 311 579 243 284 666 470,407 1433 5 981 4 1 526 64,0.148389 0.183793 0.088910 0.173262 0.089680 0.081350 0.131041 0.103575,"[[22,87,0,128,0,0,7,0],[71,403,0,138,0,0,8,4],[12,167,1,31,0,0,87,13],[137,189,3,225,1,1,23,0],[3,116,1,109,0,0,13,1],[26,69,0,170,3,0,15,1],[118,343,0,123,0,0,72,10],[18,59,0,57,0,0,301,35]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_dare_linear/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_dare_linear,2026-07-24T18:15:52
OK,,21.24,merge,small,bloodmnist_224,convnext,3,0,42,head_dare_ties,head_dare_ties,,,test,0.1826951183864367,0.12718921600441788,0.6069823679147681,0.04819041546361911,0.03973991450822749,3.0207442099920527,3421,8,8,8,6,0.19467991815258695,1,0.8950599239988307,4.597597597597598,0.7003800058462437,1.5938715582885443,5,0.22417845827336277,0.6931533482071277,0.5114732534346682,0.7126571178018123,0.4561804297177755,0.000000 0.980769 0.022508 0.000000 0.008230 0.000000 0.006006 0.000000,0.000000 0.199869 0.055118 0.000000 0.015873 0.000000 0.047059 0.000000,0.000000 0.332067 0.031963 0.000000 0.010840 0.000000 0.010652 0.000000,244 624 311 579 243 284 666 470,21 3062 127 0 126 0 85 0,0.061811 0.500730 0.158457 0.009199 0.141337 0.009862 0.115884 0.002720,"[[0,231,9,0,1,0,3,0],[0,612,7,0,4,0,1,0],[0,297,7,0,5,0,2,0],[14,490,21,0,42,0,12,0],[0,227,12,0,2,0,2,0],[7,199,21,0,44,0,13,0],[0,656,1,0,5,0,4,0],[0,350,49,0,23,0,48,0]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_dare_ties/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_dare_ties,2026-07-24T18:16:13
OK,,84.84,merge,small,bloodmnist_224,convnext,3,0,42,head_regmean,head_regmean,,,test,0.17655656240865245,0.12416957833728903,0.5324964004985486,0.06676611165209466,0.20406053660739892,2.119445212017685,3421,8,8,8,6,0.19467991815258695,3,0.6790412160187079,3.487987987987988,0.484361297866121,1.9442602223042094,5,0.3197404413459854,0.980100366812629,0.16995670125694243,0.6293481438175972,0.20035619979072994,0.000000 0.001603 0.000000 0.640760 0.000000 0.003521 0.345345 0.002128,0.000000 1.000000 0.000000 0.159707 0.000000 0.200000 0.213953 0.058824,0.000000 0.003200 0.000000 0.255686 0.000000 0.006920 0.264216 0.004107,244 624 311 579 243 284 666 470,0 1 0 2323 0 5 1075 17,0.128228 0.067600 0.070525 0.159868 0.127525 0.151994 0.138892 0.155368,"[[0,0,0,140,0,0,99,5],[0,1,0,399,0,0,220,4],[0,0,0,292,0,0,19,0],[0,0,0,371,0,1,202,5],[0,0,0,175,0,2,65,1],[0,0,0,58,0,1,224,1],[0,0,0,436,0,0,230,0],[0,0,0,452,0,1,16,1]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_regmean/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_regmean,2026-07-24T18:16:35
FAIL,"CUDA out of memory. Tried to allocate 148.00 MiB. GPU 0 has a total capacity of 10.75 GiB of which 120.75 MiB is free. Process 1259853 has 294.00 MiB memory in use. Process 4169139 has 154.00 MiB memory in use. Process 4169138 has 154.00 MiB memory in use. Including non-PyTorch memory, this process has 9.88 GiB memory in use. Process 4169135 has 154.00 MiB memory in use. Of the allocated memory 9.67 GiB is allocated by PyTorch, and 27.96 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",18.31,merge,small,bloodmnist_224,convnext,3,0,42,head_fisher,head_fisher,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-24T18:18:00
OK,,21.00,merge,small,bloodmnist_224,convnext,3,0,42,head_breadcrumbs,head_breadcrumbs,,,test,0.22712657117801813,0.15278111346301093,0.5310015582205914,0.08983649954491021,0.07542845971479514,2.0518846999689417,3421,8,8,8,6,0.19467991815258695,1,0.4633148202280035,2.37987987987988,0.26863490207541657,2.7099319509661695,7,0.47941887485156603,0.976166568708021,0.2209697456883952,0.546039169833382,0.13541453750091148,0.008197 0.769231 0.000000 0.000000 0.000000 0.000000 0.438438 0.006383,0.018182 0.302839 0.000000 0.000000 0.000000 0.000000 0.185633 0.096774,0.011299 0.434586 0.000000 0.000000 0.000000 0.000000 0.260831 0.011976,244 624 311 579 243 284 666 470,110 1585 0 4 113 5 1573 31,0.121892 0.186558 0.069299 0.089521 0.127132 0.107609 0.188008 0.109982,"[[2,118,0,2,8,0,114,0],[4,480,0,1,12,0,127,0],[9,55,0,0,2,0,228,17],[58,246,0,0,76,3,193,3],[8,119,0,1,0,0,113,2],[4,168,0,0,12,0,94,6],[0,372,0,0,2,0,292,0],[25,27,0,0,1,2,412,3]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_breadcrumbs/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_breadcrumbs,2026-07-24T18:18:18
OK,,21.03,merge,small,bloodmnist_224,convnext,3,0,42,head_model_stock,head_model_stock,,,test,0.26366559485530544,0.17813715624098897,0.5662537868828127,0.12095625370556476,0.14322178198490798,2.0036716009573223,3421,8,8,8,6,0.19467991815258695,6,0.5144694533762058,2.6426426426426426,0.3197895352236188,2.8754638908946233,6,0.5079315736544684,0.9856924659342138,0.18994811458637825,0.5223618824904999,0.11651899831314944,0.008197 0.810897 0.000000 0.086356 0.000000 0.000000 0.509009 0.010638,0.016393 0.384207 0.000000 0.314465 0.000000 0.000000 0.192614 0.238095,0.010929 0.521381 0.000000 0.135501 0.000000 0.000000 0.279472 0.020367,244 624 311 579 243 284 666 470,122 1317 0 159 42 0 1760 21,0.128465 0.165378 0.077000 0.132896 0.117200 0.096227 0.172609 0.110225,"[[2,78,0,26,0,0,138,0],[11,506,0,9,0,0,98,0],[4,71,0,15,0,0,210,11],[65,170,0,50,31,0,263,0],[5,65,0,15,0,0,157,1],[9,91,0,12,8,0,161,3],[12,302,0,10,2,0,339,1],[14,34,0,22,1,0,394,5]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_model_stock/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_model_stock,2026-07-24T18:18:39
OK,,20.99,merge,small,bloodmnist_224,convnext,3,0,42,head_from,head_from,,,test,0.24349605378544284,0.16343085874335875,0.6040310517873003,0.08847871677039851,0.06068880182010683,2.2788501283433207,3421,8,8,8,6,0.19467991815258695,1,0.5057000876936568,2.5975975975975976,0.31102016954106987,2.01641312648885,3,0.3372637503923991,0.8649637677205064,0.30048779596609176,0.6217480268927214,0.29170475295213527,0.000000 0.899038 0.000000 0.000000 0.000000 0.000000 0.408408 0.000000,0.000000 0.324277 0.000000 0.000000 0.000000 0.000000 0.161233 0.000000,0.000000 0.476636 0.000000 0.000000 0.000000 0.000000 0.231194 0.000000,244 624 311 579 243 284 666 470,4 1730 0 0 0 0 1687 0,0.133895 0.275334 0.090918 0.036829 0.135382 0.037558 0.266523 0.023560,"[[0,115,0,0,0,0,129,0],[0,561,0,0,0,0,63,0],[1,197,0,0,0,0,113,0],[2,205,0,0,0,0,372,0],[0,88,0,0,0,0,155,0],[0,63,0,0,0,0,221,0],[0,394,0,0,0,0,272,0],[1,107,0,0,0,0,362,0]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_from/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_from,2026-07-24T18:19:00
OK,,21.02,merge,small,bloodmnist_224,convnext,3,0,42,head_iso_c,head_iso_c,,,test,0.2809120140309851,0.1906977063184,0.6024349524710589,0.13802997999855546,0.1613357950765948,1.9715172601213096,3421,8,8,8,6,0.19467991815258695,6,0.5647471499561532,2.900900900900901,0.3700672318035662,2.6508878686678443,5,0.4688252153873637,0.9777944530016578,0.19783140894475298,0.5314235603624671,0.08939170289353934,0.000000 0.818910 0.000000 0.117444 0.000000 0.000000 0.536036 0.053191,0.000000 0.434524 0.000000 0.298246 0.000000 0.000000 0.184783 0.373134,0.000000 0.567778 0.000000 0.168525 0.000000 0.000000 0.274827 0.093110,244 624 311 579 243 284 666 470,18 1176 0 228 0 0 1932 67,0.115003 0.171621 0.061382 0.141935 0.103770 0.095991 0.181795 0.128502,"[[0,57,0,23,0,0,164,0],[2,511,0,8,0,0,100,3],[1,82,0,18,0,0,183,27],[13,128,0,68,0,0,369,1],[0,39,0,25,0,0,175,4],[0,46,0,32,0,0,202,4],[1,295,0,10,0,0,357,3],[1,18,0,44,0,0,382,25]]",/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_iso_c/merged.pt,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/head_only_baselines_20260724_v5/shard_0/merged/small/bloodmnist_224/convnext/clients_3/beta_0/seed_42/head_iso_c,2026-07-24T18:19:21
