module,parameter,symbol,value,root,raw_cells,raw_mean_acc,raw_min_acc,raw_max_acc,client_average_cells,client_average_mean_acc,client_average_min_acc,client_average_max_acc
M1,prototype head scale,s,5.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_5,180,0.6042283347826013,0.32826192794547226,0.8526746565331774,60,0.6042283347826013,0.33609217786432977,0.8517002825684498
M1,prototype head scale,s,7.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_7,180,0.6131456273149444,0.37453268381103433,0.8526746565331774,60,0.6131456273149444,0.3797817302971942,0.8517002825684498
M1,prototype head scale,s,10.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_10,180,0.6190346923662943,0.40341419586702604,0.8526746565331774,60,0.6190346923662943,0.4171907756813417,0.8517002825684498
M1,prototype head scale,s,12.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_12,180,0.620375302386565,0.40341419586702604,0.8526746565331774,60,0.620375302386565,0.4198861934710991,0.8517002825684498
M1,prototype head scale,s,15.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_15,180,0.6205557342379685,0.40341419586702604,0.8526746565331774,60,0.6205557342379685,0.4189877208745133,0.8517002825684498
M1,prototype head scale,s,17.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_17,180,0.6209037323191596,0.4025157232704403,0.8526746565331774,60,0.6209037323191595,0.41898772087451336,0.8517002825684498
M1,prototype head scale,s,20.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_20,180,0.6209296643068226,0.40341419586702604,0.8526746565331774,60,0.6209296643068226,0.4171907756813417,0.8517002825684498
M1,prototype head scale,s,22.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_22,180,0.6204888160541353,0.40431266846361186,0.8526746565331774,60,0.6204888160541353,0.4192872117400419,0.8517002825684498
M1,prototype head scale,s,25.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_25,180,0.6196761033347736,0.40341419586702604,0.8526746565331774,60,0.6196761033347736,0.41778975741239893,0.8517002825684498
M1,prototype head scale,s,27.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_27,180,0.6191565094569115,0.4025157232704403,0.8526746565331774,60,0.6191565094569115,0.41838873914345615,0.8517002825684498
M1,prototype head scale,s,30.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_30,180,0.618105003125986,0.40341419586702604,0.8526746565331774,60,0.618105003125986,0.4189877208745133,0.8517002825684498
M1,prototype head scale,s,32.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_32,180,0.6174527138366086,0.4025157232704403,0.8526746565331774,60,0.6174527138366086,0.41898772087451336,0.8517002825684498
M1,prototype head scale,s,35.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_35,180,0.6167597463543175,0.40341419586702604,0.8526746565331774,60,0.6167597463543175,0.4192872117400419,0.8517002825684498
M1,prototype head scale,s,37.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_37,180,0.6161315085250192,0.4025157232704403,0.8526746565331774,60,0.6161315085250192,0.41898772087451336,0.8517002825684498
M1,prototype head scale,s,40.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/scale_40,180,0.6153891962071614,0.40341419586702604,0.8526746565331774,60,0.6153891962071614,0.4171907756813417,0.8517002825684498
M2,long-tail calibration strength,lambda,2.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/lambda_2,180,0.6131019874513414,0.40341419586702604,0.8526746565331774,60,0.6131019874513414,0.4171907756813417,0.8517002825684498
M2,long-tail calibration strength,lambda,3.0,outputs/lamp_merge_hparam_full_20260708_overnight_hparam_tau5_client_stats/lambda_3,180,0.6172575170453781,0.40341419586702604,0.8526746565331774,60,0.6172575170453781,0.4171907756813417,0.8517002825684498
