module,parameter,symbol,value,dataset,client_average_cells,client_average_mean_acc
M1,prototype head scale,s,5.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,5.0,chaoshengmnist_224,12,0.45744733952281125
M1,prototype head scale,s,5.0,dermamnist_224,12,0.6771543363812691
M1,prototype head scale,s,5.0,organcmnist_224,12,0.5512110516066212
M1,prototype head scale,s,5.0,organsmnist_224,12,0.5179185076092293
M1,prototype head scale,s,7.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,7.0,chaoshengmnist_224,12,0.4576220425277029
M1,prototype head scale,s,7.0,dermamnist_224,12,0.6706428373510668
M1,prototype head scale,s,7.0,organcmnist_224,12,0.5826706696959861
M1,prototype head scale,s,7.0,organsmnist_224,12,0.5373821482068905
M1,prototype head scale,s,10.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,10.0,chaoshengmnist_224,12,0.45744733952281125
M1,prototype head scale,s,10.0,dermamnist_224,12,0.6614574674425048
M1,prototype head scale,s,10.0,organcmnist_224,12,0.6050051390241263
M1,prototype head scale,s,10.0,organsmnist_224,12,0.5538530770489534
M1,prototype head scale,s,12.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,12.0,chaoshengmnist_224,12,0.4583208545472697
M1,prototype head scale,s,12.0,dermamnist_224,12,0.6533388750346356
M1,prototype head scale,s,12.0,organcmnist_224,12,0.6130213404738721
M1,prototype head scale,s,12.0,organsmnist_224,12,0.5597850030839722
M1,prototype head scale,s,15.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,15.0,chaoshengmnist_224,12,0.4576220425277029
M1,prototype head scale,s,15.0,dermamnist_224,12,0.641701302299806
M1,prototype head scale,s,15.0,organcmnist_224,12,0.620560829817159
M1,prototype head scale,s,15.0,organsmnist_224,12,0.565484057752099
M1,prototype head scale,s,17.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,17.0,chaoshengmnist_224,12,0.4578965758211041
M1,prototype head scale,s,17.0,dermamnist_224,12,0.6357162648933222
M1,prototype head scale,s,17.0,organcmnist_224,12,0.6235867683652494
M1,prototype head scale,s,17.0,organsmnist_224,12,0.5699086137230467
M1,prototype head scale,s,20.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,20.0,chaoshengmnist_224,12,0.45744733952281125
M1,prototype head scale,s,20.0,dermamnist_224,12,0.6286367414796342
M1,prototype head scale,s,20.0,organcmnist_224,12,0.6270251812182193
M1,prototype head scale,s,20.0,organsmnist_224,12,0.5741286205203731
M1,prototype head scale,s,22.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,22.0,chaoshengmnist_224,12,0.45752221223919337
M1,prototype head scale,s,22.0,dermamnist_224,12,0.6230811859240787
M1,prototype head scale,s,22.0,organcmnist_224,12,0.6280327004219409
M1,prototype head scale,s,22.0,organsmnist_224,12,0.5763975428923882
M1,prototype head scale,s,25.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,25.0,chaoshengmnist_224,12,0.4577468303883398
M1,prototype head scale,s,25.0,dermamnist_224,12,0.6155029093931838
M1,prototype head scale,s,25.0,organcmnist_224,12,0.629101076490317
M1,prototype head scale,s,25.0,organsmnist_224,12,0.5786192616089523
M1,prototype head scale,s,27.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,27.0,chaoshengmnist_224,12,0.4581711091145053
M1,prototype head scale,s,27.0,dermamnist_224,12,0.6110141313383208
M1,prototype head scale,s,27.0,organcmnist_224,12,0.6297840257492157
M1,prototype head scale,s,27.0,organsmnist_224,12,0.5794028422894402
M1,prototype head scale,s,30.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,30.0,chaoshengmnist_224,12,0.4576220425277029
M1,prototype head scale,s,30.0,dermamnist_224,12,0.6044195067885841
M1,prototype head scale,s,30.0,organcmnist_224,12,0.63061911716975
M1,prototype head scale,s,30.0,organsmnist_224,12,0.5804539103508175
M1,prototype head scale,s,32.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,32.0,chaoshengmnist_224,12,0.4577717879604672
M1,prototype head scale,s,32.0,dermamnist_224,12,0.6006927126627875
M1,prototype head scale,s,32.0,organcmnist_224,12,0.6305413556204695
M1,prototype head scale,s,32.0,organsmnist_224,12,0.5808472741462432
M1,prototype head scale,s,35.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,35.0,chaoshengmnist_224,12,0.4579714485374863
M1,prototype head scale,s,35.0,dermamnist_224,12,0.5960099750623441
M1,prototype head scale,s,35.0,organcmnist_224,12,0.6311127339608352
M1,prototype head scale,s,35.0,organsmnist_224,12,0.5812941354178467
M1,prototype head scale,s,37.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,37.0,chaoshengmnist_224,12,0.45784666067684937
M1,prototype head scale,s,37.0,dermamnist_224,12,0.5928927680798005
M1,prototype head scale,s,37.0,organcmnist_224,12,0.6310687817808072
M1,prototype head scale,s,37.0,organsmnist_224,12,0.5814388932945633
M1,prototype head scale,s,40.0,bloodmnist_224,12,0.8174104387930754
M1,prototype head scale,s,40.0,chaoshengmnist_224,12,0.45744733952281125
M1,prototype head scale,s,40.0,dermamnist_224,12,0.5889304516486561
M1,prototype head scale,s,40.0,organcmnist_224,12,0.6317314454181543
M1,prototype head scale,s,40.0,organsmnist_224,12,0.5814263056531097
M2,long-tail calibration strength,lambda,2.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,2.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,2.0,dermamnist_224,12,0.5781934053754503
M2,long-tail calibration strength,lambda,2.0,organcmnist_224,12,0.63118035269934
M2,long-tail calibration strength,lambda,2.0,organsmnist_224,12,0.5812784008660297
M2,long-tail calibration strength,lambda,3.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,3.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,3.0,dermamnist_224,12,0.5991410362981435
M2,long-tail calibration strength,lambda,3.0,organcmnist_224,12,0.630997782105377
M2,long-tail calibration strength,lambda,3.0,organsmnist_224,12,0.5812909885074833
M2,long-tail calibration strength,lambda,4.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,4.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,4.0,dermamnist_224,12,0.6168467719589914
M2,long-tail calibration strength,lambda,4.0,organcmnist_224,12,0.6291416477334199
M2,long-tail calibration strength,lambda,4.0,organsmnist_224,12,0.5781786941580755
M2,long-tail calibration strength,lambda,5.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,5.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,5.0,dermamnist_224,12,0.6286367414796342
M2,long-tail calibration strength,lambda,5.0,organcmnist_224,12,0.6270251812182193
M2,long-tail calibration strength,lambda,5.0,organsmnist_224,12,0.5741286205203731
M2,long-tail calibration strength,lambda,6.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,6.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,6.0,dermamnist_224,12,0.6366444998614574
M2,long-tail calibration strength,lambda,6.0,organcmnist_224,12,0.6229680569079303
M2,long-tail calibration strength,lambda,6.0,organsmnist_224,12,0.5691942650705537
M2,long-tail calibration strength,lambda,7.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,7.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,7.0,dermamnist_224,12,0.6451648656137434
M2,long-tail calibration strength,lambda,7.0,organcmnist_224,12,0.6190055988315482
M2,long-tail calibration strength,lambda,7.0,organsmnist_224,12,0.5641529146683786
M2,long-tail calibration strength,lambda,8.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,8.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,8.0,dermamnist_224,12,0.651551676364644
M2,long-tail calibration strength,lambda,8.0,organcmnist_224,12,0.6146137617656605
M2,long-tail calibration strength,lambda,8.0,organsmnist_224,12,0.5605024986468286
M2,long-tail calibration strength,lambda,10.0,bloodmnist_224,12,0.8174104387930754
M2,long-tail calibration strength,lambda,10.0,chaoshengmnist_224,12,0.45744733952281125
M2,long-tail calibration strength,lambda,10.0,dermamnist_224,12,0.6614574674425048
M2,long-tail calibration strength,lambda,10.0,organcmnist_224,12,0.6050051390241263
M2,long-tail calibration strength,lambda,10.0,organsmnist_224,12,0.5538530770489534
