module,parameter,symbol,value,task_type,dataset,model,num_clients,client_average_acc
M1,prototype head scale,s,5.0,small,bloodmnist_224,convnext,3,0.8479976615024847
M1,prototype head scale,s,5.0,small,bloodmnist_224,convnext,5,0.8476079119165936
M1,prototype head scale,s,5.0,small,bloodmnist_224,convnext,7,0.8487771606742668
M1,prototype head scale,s,5.0,small,bloodmnist_224,resnet,3,0.7999610250414109
M1,prototype head scale,s,5.0,small,bloodmnist_224,resnet,5,0.7986943388872649
M1,prototype head scale,s,5.0,small,bloodmnist_224,resnet,7,0.7984020266978467
M1,prototype head scale,s,5.0,small,bloodmnist_224,swin_tiny,3,0.7730683036149274
M1,prototype head scale,s,5.0,small,bloodmnist_224,swin_tiny,5,0.7715093052713631
M1,prototype head scale,s,5.0,small,bloodmnist_224,swin_tiny,7,0.7701451817207444
M1,prototype head scale,s,5.0,small,bloodmnist_224,vit_t,3,0.8517002825684498
M1,prototype head scale,s,5.0,small,bloodmnist_224,vit_t,5,0.8511156581896132
M1,prototype head scale,s,5.0,small,bloodmnist_224,vit_t,7,0.84994640943194
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,convnext,3,0.4285714285714286
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,convnext,5,0.4282719377059
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,convnext,7,0.4171907756813417
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,resnet,3,0.4809823300389338
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,resnet,5,0.46480982330038934
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,resnet,7,0.47259658580413294
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,swin_tiny,3,0.472596585804133
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,swin_tiny,5,0.4833782569631626
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,swin_tiny,7,0.4794848757112908
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,vit_t,3,0.4588200059898173
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,vit_t,5,0.4531296795447739
M1,prototype head scale,s,5.0,small,chaoshengmnist_224,vit_t,7,0.4495357891584307
