module,parameter,value,root,task_type,dataset,model,num_clients,beta,rows,mean_acc,min_acc,max_acc
M2,long-tail bias strength,2,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_2_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6718204488778055,0.6718204488778055,0.6718204488778055
M2,long-tail bias strength,3,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_3_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6768079800498753,0.6768079800498753,0.6768079800498753
M2,long-tail bias strength,4,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_4_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6758104738154613,0.6758104738154613,0.6758104738154613
M2,long-tail bias strength,5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_5_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6763092269326684,0.6763092269326684,0.6763092269326684
M2,long-tail bias strength,6,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_6_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6723192019950125,0.6723192019950125,0.6723192019950125
M2,long-tail bias strength,7,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_7_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6683291770573566,0.6683291770573566,0.6683291770573566
M2,long-tail bias strength,8,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_8_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6683291770573566,0.6683291770573566,0.6683291770573566
M2,long-tail bias strength,10,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_tau_10_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6688279301745635,0.6688279301745635,0.6688279301745635
M1,prototype head scale,5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_5_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6688279301745635,0.6688279301745635,0.6688279301745635
M1,prototype head scale,7,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_7_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6688279301745635,0.6688279301745635,0.6688279301745635
M1,prototype head scale,10,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_10_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6688279301745635,0.6688279301745635,0.6688279301745635
M1,prototype head scale,12,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_12_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6688279301745635,0.6688279301745635,0.6688279301745635
M1,prototype head scale,15,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_15_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6683291770573566,0.6683291770573566,0.6683291770573566
M1,prototype head scale,17,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_17_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6683291770573566,0.6683291770573566,0.6683291770573566
M1,prototype head scale,20,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_20_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6723192019950125,0.6723192019950125,0.6723192019950125
M1,prototype head scale,22,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_22_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6733167082294265,0.6733167082294265,0.6733167082294265
M1,prototype head scale,25,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_25_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6758104738154613,0.6758104738154613,0.6758104738154613
M1,prototype head scale,27,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_27_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6763092269326684,0.6763092269326684,0.6763092269326684
M1,prototype head scale,30,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_30_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6758104738154613,0.6758104738154613,0.6758104738154613
M1,prototype head scale,32,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_32_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6748129675810474,0.6748129675810474,0.6748129675810474
M1,prototype head scale,35,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_35_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6738154613466334,0.6738154613466334,0.6738154613466334
M1,prototype head scale,37,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_37_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6778054862842893,0.6778054862842893,0.6778054862842893
M1,prototype head scale,40,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_scale_40_prevalence_20260707,small,dermamnist_224,resnet,3,0.1,1,0.6768079800498753,0.6768079800498753,0.6768079800498753
