mode,label,group,raw_cells,raw_mean_acc,raw_min_acc,raw_max_acc,raw_ge_avg,raw_ge_avg_total,raw_ge_lamp,raw_ge_lamp_total,client_average_cells,client_average_mean_acc,client_average_ge_avg,client_average_ge_avg_total,client_average_ge_lamp,client_average_ge_lamp_total,mean_margin_vs_avg,mean_margin_vs_lamp
full,LAMP-Merge,Formal method,180,0.5883643578716045,0.42677448337825696,0.8526746565331774,154,180,180,180,60,0.5883643578716045,53,60,60,60,0.3679793578716044,0.0
avg_m2,avg+M2,Module-level,180,0.2203846076953472,0.03291770573566085,0.6723192019950125,119,180,26,180,60,0.2203846076953472,39,60,7,60,-3.923046527868947e-07,-0.3679797501762572
m1_only,M1 only,Module-level,180,0.5883643578716045,0.42677448337825696,0.8526746565331774,154,180,180,180,60,0.5883643578716045,53,60,60,60,0.3679793578716044,0.0
global_feature_mean,Global-feature mean,Prototype information,180,0.08329725631729244,0.03291770573566085,0.15755627009646303,46,180,0,180,60,0.08329725631729244,7,60,0,60,-0.13708774368270754,-0.505067101554312
prototype_head_agg,Classifier-head aggregation,Prototype information,180,0.23775398206411255,0.04259657867905291,0.6688279301745635,98,180,25,180,60,0.23775398206411255,37,60,7,60,0.01736898206411255,-0.3506103758074919
prototype_shuffle,Shuffled-label prototype,Prototype information,180,0.14401967238836963,0.08029925187032419,0.2578193510669395,82,180,0,180,60,0.14401967238836963,24,60,0,60,-0.07636532761163037,-0.4443446854832348
support_only,Support-only synthetic head,Prototype information,180,0.08598402987125404,0.047833495618305744,0.17831043554516224,38,180,0,180,60,0.08598402987125404,6,60,0,60,-0.13440097012874597,-0.5023803280003504
binary_support,Binary support only,Statistical information,180,0.5883693929281859,0.42677448337825696,0.8526746565331774,154,180,165,180,60,0.5883693929281859,53,60,47,60,0.36798439292818585,5.0350565814446155e-06
global_client_size_weight,Global client-size weight,Statistical information,180,0.5884686325600336,0.42677448337825696,0.8526746565331774,154,180,144,180,60,0.5884686325600336,53,60,43,60,0.36808363256003357,0.0001042746884291614
no_prevalence,No prevalence calibration,Statistical information,180,0.5883643578716045,0.42677448337825696,0.8526746565331774,154,180,180,180,60,0.5883643578716045,53,60,60,60,0.3679793578716044,0.0
smoothed_prevalence,Smoothed prevalence prior,Statistical information,180,0.5883643578716045,0.42677448337825696,0.8526746565331774,154,180,180,180,60,0.5883643578716045,53,60,60,60,0.3679793578716044,0.0
uniform_client_weight,Uniform client weight,Statistical information,180,0.5883693929281859,0.42677448337825696,0.8526746565331774,154,180,165,180,60,0.5883693929281859,53,60,47,60,0.36798439292818585,5.0350565814446155e-06
uniform_prevalence,Uniform prevalence prior,Statistical information,180,0.5883643578716045,0.42677448337825696,0.8526746565331774,154,180,180,180,60,0.5883643578716045,53,60,60,60,0.3679793578716044,0.0
