task_type,dataset,model,num_clients,Always-on calibration,Client-balanced prior,LAMP-Merge,avg,best_value,best_methods
small,bloodmnist_224,convnext,3,0.8469258501412842,0.8443924778329923,0.8484848484848485,0.1565,0.8484848484848485,LAMP-Merge
small,bloodmnist_224,convnext,5,0.8467309753483387,0.8486797232777941,0.8486797232777941,0.11213333333333333,0.8486797232777941,LAMP-Merge;Client-balanced prior
small,bloodmnist_224,convnext,7,0.8459514761765565,0.8497515346389944,0.8497515346389944,0.13836666666666667,0.8497515346389944,LAMP-Merge;Client-balanced prior
small,bloodmnist_224,resnet,3,0.7720939296501997,0.7624476273993959,0.8000584624378837,0.3345,0.8000584624378837,LAMP-Merge
small,bloodmnist_224,resnet,5,0.7720939296501997,0.7993764006625743,0.7993764006625743,0.24673333333333333,0.7993764006625743,LAMP-Merge;Client-balanced prior
small,bloodmnist_224,resnet,7,0.7718016174607815,0.7991815258696288,0.7991815258696288,0.2821666666666667,0.7991815258696288,LAMP-Merge;Client-balanced prior
small,bloodmnist_224,swin_tiny,3,0.7501705154438274,0.7468576439637533,0.7738478027867095,0.1565,0.7738478027867095,LAMP-Merge
small,bloodmnist_224,swin_tiny,5,0.7496833284614636,0.7733606158043457,0.7733606158043457,0.11856666666666667,0.7733606158043457,LAMP-Merge;Client-balanced prior
small,bloodmnist_224,swin_tiny,7,0.7491961414790996,0.7717041800643086,0.7717041800643086,0.1524,0.7717041800643086,LAMP-Merge;Client-balanced prior
small,bloodmnist_224,vit_t,3,0.854915716652051,0.853259280912014,0.8520900321543408,0.13426666666666665,0.854915716652051,Always-on calibration
small,bloodmnist_224,vit_t,5,0.8559875280132515,0.8506284712072494,0.8506284712072494,0.10813333333333333,0.8559875280132515,Always-on calibration
small,bloodmnist_224,vit_t,7,0.8523823443437591,0.8498489720354672,0.8498489720354672,0.11603333333333334,0.8523823443437591,Always-on calibration
small,chaoshengmnist_224,convnext,3,0.435759209344115,0.4273734651093142,0.4306678646301288,0.15063333333333334,0.435759209344115,Always-on calibration
small,chaoshengmnist_224,convnext,5,0.4348607367475292,0.42587601078167114,0.4279724468403714,0.15063333333333334,0.4348607367475292,Always-on calibration
small,chaoshengmnist_224,convnext,7,0.431266846361186,0.42407906558849956,0.42407906558849956,0.12516666666666668,0.431266846361186,Always-on calibration
small,chaoshengmnist_224,resnet,3,0.4480383348307877,0.4168912848158131,0.4806828391734052,0.2435,0.4806828391734052,LAMP-Merge
small,chaoshengmnist_224,resnet,5,0.4471398622342019,0.4112009583707697,0.46750524109014674,0.1581,0.46750524109014674,LAMP-Merge
small,chaoshengmnist_224,resnet,7,0.44564240790655885,0.47349505840071876,0.47349505840071876,0.15423333333333333,0.47349505840071876,LAMP-Merge;Client-balanced prior
small,chaoshengmnist_224,swin_tiny,3,0.4803833483078766,0.4552261156034741,0.477088948787062,0.15273333333333333,0.4803833483078766,Always-on calibration
small,chaoshengmnist_224,swin_tiny,5,0.48966756513926324,0.47319556753519015,0.48697214734950584,0.12936666666666666,0.48966756513926324,Always-on calibration
small,chaoshengmnist_224,swin_tiny,7,0.4833782569631626,0.4839772386942198,0.4839772386942198,0.14643333333333333,0.4839772386942198,LAMP-Merge;Client-balanced prior
small,chaoshengmnist_224,vit_t,3,0.46870320455226117,0.46001796945193174,0.4612159329140461,0.14496666666666666,0.46870320455226117,Always-on calibration
small,chaoshengmnist_224,vit_t,5,0.4666067684935609,0.4609164420485175,0.45971847858640313,0.13266666666666665,0.4666067684935609,Always-on calibration
small,chaoshengmnist_224,vit_t,7,0.4642108415693321,0.4594189877208745,0.4594189877208745,0.18836666666666668,0.4642108415693321,Always-on calibration
small,dermamnist_224,convnext,3,0.5968412302576891,0.4774729842061513,0.5968412302576891,0.29656666666666665,0.5968412302576891,LAMP-Merge;Always-on calibration
small,dermamnist_224,convnext,5,0.5876974231088944,0.4679966749792186,0.5876974231088944,0.4829333333333333,0.5876974231088944,LAMP-Merge;Always-on calibration
small,dermamnist_224,convnext,7,0.5941812136325851,0.4763092269326683,0.5941812136325851,0.6688,0.6688,avg
small,dermamnist_224,resnet,3,0.6754779717373234,0.5098919368246051,0.6754779717373234,0.6290666666666667,0.6754779717373234,LAMP-Merge;Always-on calibration
small,dermamnist_224,resnet,5,0.6763092269326684,0.41097256857855363,0.6763092269326684,0.47000000000000003,0.6763092269326684,LAMP-Merge;Always-on calibration
small,dermamnist_224,resnet,7,0.6763092269326684,0.5060681629260183,0.6763092269326684,0.6244333333333333,0.6763092269326684,LAMP-Merge;Always-on calibration
small,dermamnist_224,swin_tiny,3,0.6324189526184538,0.5075644222776392,0.6324189526184538,0.4568333333333333,0.6324189526184538,LAMP-Merge;Always-on calibration
small,dermamnist_224,swin_tiny,5,0.6317539484621779,0.48994181213632587,0.6317539484621779,0.4829333333333333,0.6317539484621779,LAMP-Merge;Always-on calibration
small,dermamnist_224,swin_tiny,7,0.6309226932668329,0.5055694098088113,0.6309226932668329,0.6688,0.6688,avg
small,dermamnist_224,vit_t,3,0.5945137157107232,0.5334995843724023,0.5945137157107232,0.4638333333333333,0.5945137157107232,LAMP-Merge;Always-on calibration
small,dermamnist_224,vit_t,5,0.5931837073981713,0.5290108063175395,0.5931837073981713,0.4369,0.5931837073981713,LAMP-Merge;Always-on calibration
small,dermamnist_224,vit_t,7,0.59833748960931,0.5389858686616791,0.59833748960931,0.3695666666666667,0.59833748960931,LAMP-Merge;Always-on calibration
small,organcmnist_224,convnext,3,0.6540895813047712,0.648328464784161,0.6540895813047712,0.10366666666666667,0.6540895813047712,LAMP-Merge;Always-on calibration
small,organcmnist_224,convnext,5,0.6533187276858163,0.6495456020772477,0.6533187276858163,0.12176666666666666,0.6533187276858163,LAMP-Merge;Always-on calibration
small,organcmnist_224,convnext,7,0.6551038623823434,0.6529130152547874,0.6551038623823434,0.09446666666666667,0.6551038623823434,LAMP-Merge;Always-on calibration
small,organcmnist_224,resnet,3,0.6004949691658553,0.6081223628691983,0.6004949691658553,0.22613333333333333,0.6081223628691983,Client-balanced prior
small,organcmnist_224,resnet,5,0.5993589743589743,0.5905955858487504,0.5993589743589743,0.17716666666666667,0.5993589743589743,LAMP-Merge;Always-on calibration
small,organcmnist_224,resnet,7,0.6007383966244726,0.5561911716975008,0.6007383966244726,0.13963333333333333,0.6007383966244726,LAMP-Merge;Always-on calibration
small,organcmnist_224,swin_tiny,3,0.6848831548198637,0.6660175267770204,0.6848831548198637,0.1068,0.6848831548198637,LAMP-Merge;Always-on calibration
small,organcmnist_224,swin_tiny,5,0.6816780266147355,0.6686140863356054,0.6816780266147355,0.12940000000000002,0.6816780266147355,LAMP-Merge;Always-on calibration
small,organcmnist_224,swin_tiny,7,0.6812317429406037,0.6680460889321649,0.6812317429406037,0.07876666666666667,0.6812317429406037,LAMP-Merge;Always-on calibration
small,organcmnist_224,vit_t,3,0.587836741317754,0.58272476468679,0.587836741317754,0.16570000000000001,0.587836741317754,LAMP-Merge;Always-on calibration
small,organcmnist_224,vit_t,5,0.5840230444660824,0.5806150600454398,0.5840230444660824,0.1043,0.5840230444660824,LAMP-Merge;Always-on calibration
small,organcmnist_224,vit_t,7,0.5829276209023044,0.5806150600454398,0.5829276209023044,0.09516666666666668,0.5829276209023044,LAMP-Merge;Always-on calibration
small,organsmnist_224,convnext,3,0.6054907292020694,0.6032627166647785,0.6054907292020694,0.1308,0.6054907292020694,LAMP-Merge;Always-on calibration
small,organsmnist_224,convnext,5,0.6049998111853782,0.6011479929005702,0.6049998111853782,0.10346666666666667,0.6049998111853782,LAMP-Merge;Always-on calibration
small,organsmnist_224,convnext,7,0.6065858540085344,0.6025074581775612,0.6065858540085344,0.14163333333333333,0.6065858540085344,LAMP-Merge;Always-on calibration
small,organsmnist_224,resnet,3,0.5297760658585401,0.5416336241078509,0.5297760658585401,0.28633333333333333,0.5416336241078509,Client-balanced prior
small,organsmnist_224,resnet,5,0.527887919640497,0.5033797817302972,0.527887919640497,0.1794,0.527887919640497,LAMP-Merge;Always-on calibration
small,organsmnist_224,resnet,7,0.5281144971866621,0.5290208073713228,0.5281144971866621,0.24743333333333334,0.5290208073713228,Client-balanced prior
small,organsmnist_224,swin_tiny,3,0.6257694195838526,0.6199916921566406,0.6257694195838526,0.06816666666666667,0.6257694195838526,LAMP-Merge;Always-on calibration
small,organsmnist_224,swin_tiny,5,0.6279596691967826,0.6090404440919904,0.6279596691967826,0.060399999999999995,0.6279596691967826,LAMP-Merge;Always-on calibration
small,organsmnist_224,swin_tiny,7,0.6283750613647521,0.614365016426872,0.6283750613647521,0.13813333333333333,0.6283750613647521,LAMP-Merge;Always-on calibration
small,organsmnist_224,vit_t,3,0.5438993995695026,0.5426154601412333,0.5438993995695026,0.08443333333333333,0.5438993995695026,LAMP-Merge;Always-on calibration
small,organsmnist_224,vit_t,5,0.5451078131490502,0.5428420376873985,0.5451078131490502,0.0852,0.5451078131490502,LAMP-Merge;Always-on calibration
small,organsmnist_224,vit_t,7,0.5464672784260413,0.5445791322079981,0.5464672784260413,0.17096666666666668,0.5464672784260413,LAMP-Merge;Always-on calibration
