mode,label,task_type,dataset,model,num_clients,beta,seed,test_acc
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,3,0.0,42,0.8465361005553932
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,3,0.01,42,0.8471207249342297
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,3,0.1,42,0.8471207249342297
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,5,0.0,42,0.8465361005553932
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,5,0.01,42,0.8465361005553932
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,5,0.1,42,0.8471207249342297
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,7,0.0,42,0.8465361005553932
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,7,0.01,42,0.8459514761765565
always_on_calibration,Always-on calibration,small,bloodmnist_224,convnext,7,0.1,42,0.84536685179772
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,3,0.0,42,0.7717041800643086
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,3,0.01,42,0.7717041800643086
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,3,0.1,42,0.7728734288219818
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,5,0.0,42,0.7717041800643086
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,5,0.01,42,0.771996492253727
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,5,0.1,42,0.7725811166325636
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,7,0.0,42,0.7717041800643086
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,7,0.01,42,0.7722888044431453
always_on_calibration,Always-on calibration,small,bloodmnist_224,resnet,7,0.1,42,0.7714118678748904
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,3,0.0,42,0.7512423268050278
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,3,0.01,42,0.7521192633732827
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,3,0.1,42,0.7471499561531716
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,5,0.0,42,0.7512423268050278
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,5,0.01,42,0.7497807658579363
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,5,0.1,42,0.7480268927214265
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,7,0.0,42,0.7512423268050278
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,7,0.01,42,0.7503653902367728
always_on_calibration,Always-on calibration,small,bloodmnist_224,swin_tiny,7,0.1,42,0.7459807073954984
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,3,0.0,42,0.8553054662379421
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,3,0.01,42,0.8550131540485238
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,3,0.1,42,0.8544285296696872
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,5,0.0,42,0.8553054662379421
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,5,0.01,42,0.8555977784273604
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,5,0.1,42,0.8570593393744519
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,7,0.0,42,0.8553054662379421
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,7,0.01,42,0.8547208418591056
always_on_calibration,Always-on calibration,small,bloodmnist_224,vit_t,7,0.1,42,0.8471207249342297
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,3,0.0,42,0.4339622641509434
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,3,0.01,42,0.435759209344115
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,3,0.1,42,0.43755615453728663
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,5,0.0,42,0.4339622641509434
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,5,0.01,42,0.4348607367475292
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,5,0.1,42,0.435759209344115
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,7,0.0,42,0.4339622641509434
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,7,0.01,42,0.4303683737646002
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,convnext,7,0.1,42,0.42946990116801437
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,3,0.0,42,0.4474393530997305
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,3,0.01,42,0.44654088050314467
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,3,0.1,42,0.4501347708894879
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,5,0.0,42,0.4474393530997305
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,5,0.01,42,0.44923629829290207
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,5,0.1,42,0.444743935309973
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,7,0.0,42,0.4474393530997305
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,7,0.01,42,0.44564240790655885
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,resnet,7,0.1,42,0.44384546271338726
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,3,0.0,42,0.48697214734950584
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,3,0.01,42,0.48607367475292
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,3,0.1,42,0.46810422282120395
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,5,0.0,42,0.48697214734950584
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,5,0.01,42,0.48966756513926324
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,5,0.1,42,0.49236298292902064
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,7,0.0,42,0.48697214734950584
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,7,0.01,42,0.49056603773584906
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,swin_tiny,7,0.1,42,0.472596585804133
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,3,0.0,42,0.46990116801437554
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,3,0.01,42,0.47079964061096136
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,3,0.1,42,0.46540880503144655
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,5,0.0,42,0.46990116801437554
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,5,0.01,42,0.4743935309973046
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,5,0.1,42,0.4555256064690027
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,7,0.0,42,0.46990116801437554
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,7,0.01,42,0.4743935309973046
always_on_calibration,Always-on calibration,small,chaoshengmnist_224,vit_t,7,0.1,42,0.44833782569631625
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,3,0.0,42,0.598004987531172
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,3,0.01,42,0.5965087281795511
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,3,0.1,42,0.5960099750623441
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,5,0.0,42,0.598004987531172
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,5,0.01,42,0.5945137157107232
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,5,0.1,42,0.570573566084788
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,7,0.0,42,0.598004987531172
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,7,0.01,42,0.5930174563591022
always_on_calibration,Always-on calibration,small,dermamnist_224,convnext,7,0.1,42,0.5915211970074813
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,3,0.0,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,3,0.01,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,3,0.1,42,0.6748129675810474
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,5,0.0,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,5,0.01,42,0.6763092269326684
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,5,0.1,42,0.6768079800498753
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,7,0.0,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,7,0.01,42,0.6768079800498753
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,7,0.1,42,0.6763092269326684
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,3,0.0,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,3,0.01,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,3,0.1,42,0.6304239401496259
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,5,0.0,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,5,0.01,42,0.628927680798005
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,5,0.1,42,0.6329177057356609
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,7,0.0,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,7,0.01,42,0.6309226932668329
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,7,0.1,42,0.628428927680798
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,3,0.0,42,0.5950124688279301
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,3,0.01,42,0.5945137157107232
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,3,0.1,42,0.5940149625935162
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,5,0.0,42,0.5950124688279301
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,5,0.01,42,0.5925187032418953
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,5,0.1,42,0.5920199501246883
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,7,0.0,42,0.5950124688279301
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,7,0.01,42,0.5895261845386534
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,7,0.1,42,0.6104738154613466
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,3,0.0,42,0.6562804284323271
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,3,0.01,42,0.6550632911392406
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,3,0.1,42,0.6509250243427459
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,5,0.0,42,0.6562804284323271
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,5,0.01,42,0.6585929892891919
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,5,0.1,42,0.6450827653359299
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,7,0.0,42,0.6562804284323271
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,7,0.01,42,0.6544547224926972
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,7,0.1,42,0.6545764362220059
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,3,0.0,42,0.6005355404089582
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,3,0.01,42,0.6009006815968841
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,3,0.1,42,0.6000486854917235
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,5,0.0,42,0.6005355404089582
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,5,0.01,42,0.6002921129503408
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,5,0.1,42,0.5972492697176242
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,7,0.0,42,0.6005355404089582
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,7,0.01,42,0.6026046738072055
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,7,0.1,42,0.5990749756572541
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,3,0.0,42,0.6841528724440117
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,3,0.01,42,0.685126582278481
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,3,0.1,42,0.6853700097370984
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,5,0.0,42,0.6841528724440117
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,5,0.01,42,0.6853700097370984
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,5,0.1,42,0.6755111976630964
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,7,0.0,42,0.6841528724440117
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,7,0.01,42,0.680014605647517
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,7,0.1,42,0.6795277507302824
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,3,0.0,42,0.5864167478091529
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,3,0.01,42,0.5856864654333008
