dataset,mode,label,cases,mean_covered_classes,mean_mean_class_support,mean_min_class_support,mean_max_class_support,mean_mean_pairwise_cosine,mean_mean_pairwise_distance,mean_min_pairwise_distance,mean_mean_nearest_class_cosine,mean_mean_nearest_class_distance,mean_prototype_consistency,mean_prototype_to_client_alignment,mean_mean_evidence_entropy_norm
bloodmnist_224,full,Full prototype,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,0.9298456940386031,0.07015430627183782,0.02323118680053287,0.9677334858311547,0.032266512513160706,0.999927070512185,0.9999764343200469,0.4159919210186096
bloodmnist_224,global_client_size_weight,Global client-size weight,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,0.92983611424764,0.07016389289249976,0.023235378993882075,0.9677320867776871,0.032267907013495765,0.999927070512185,0.9999737546714533,0.3420226446675694
bloodmnist_224,global_feature_mean,Global-feature mean,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,1.0000000182125304,-5.026185245782244e-09,-2.3179584079318577e-08,1.0000000215238996,-1.5522042910257976e-08,1.000000002483527,1.0000000081274387,0.4159919210186096
bloodmnist_224,prototype_head_agg,Classifier-head aggregation,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,0.03548045450770587,0.9645195454359055,0.6941078354914983,0.19345217943191528,0.8065478338135613,0.0008147832760143847,0.6307823216695163,0.4159919210186096
bloodmnist_224,prototype_shuffle,Shuffled-label prototype,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,0.9298456956942877,0.07015430523703496,0.02323118680053287,0.9677334874868393,0.032266512513160706,0.999927070512185,0.9596103173421464,0.4159919210186096
bloodmnist_224,support_only,Support-only synthetic head,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,0.01259310076420661,0.9874069293340048,0.8911120726002587,0.08094582654949692,0.9190541836950514,1.000000040987063,1.0000000544857888,0.4159919210186096
bloodmnist_224,uniform_client_weight,Uniform client weight,36,8.0,1554.611111111111,951.6666666666666,2226.222222222222,0.9298457503318787,0.07015425949874851,0.023232898778385587,0.9677326679229736,0.0322673333187898,0.999927070512185,0.9999764807444234,0.4166666701850185
chaoshengmnist_224,full,Full prototype,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,0.956534700261222,0.04346533140374555,0.008495605654186673,0.9782088879081938,0.021791118300623365,0.9999999804380022,1.0000000008986094,0.3750000025838868
chaoshengmnist_224,global_client_size_weight,Global client-size weight,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,0.9565347085396448,0.04346533047242297,0.008495603998502096,0.9782088862525092,0.02179111892150508,0.9999999804380022,1.0000000005861658,0.3068637948602976
chaoshengmnist_224,global_feature_mean,Global-feature mean,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,1.0000000149011612,-1.448724004957411e-08,-3.9736429850260414e-08,1.0000000248352687,-3.166496753692627e-08,1.0000000223517418,1.0000000252318317,0.3750000025838868
chaoshengmnist_224,prototype_head_agg,Classifier-head aggregation,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,0.026835498872161325,0.9731645021173689,0.7557239184776942,0.14296390633616182,0.8570360938707987,0.0033990944455303757,0.6271505723570517,0.3750000025838868
chaoshengmnist_224,prototype_shuffle,Shuffled-label prototype,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,0.9565346853600608,0.04346533130026526,0.008495605654186673,0.9782088763184018,0.021791118300623365,0.9999999804380022,0.9637857707651285,0.3750000025838868
chaoshengmnist_224,support_only,Support-only synthetic head,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,0.012593100908108883,0.9874069326453738,0.8911120709445741,0.0809458266529772,0.9190541870064206,1.0000000316276583,1.0000000317464166,0.3750000025838868
chaoshengmnist_224,uniform_client_weight,Uniform client weight,36,8.0,840.7916666666666,470.3333333333333,1567.4444444444443,0.9565346969498528,0.04346533336987098,0.00849561227692498,0.9782088845968246,0.02179111974934737,0.9999999804380022,0.9999999976526666,0.3750000053560523
dermamnist_224,full,Full prototype,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.9476944125360913,0.05230557680543926,0.014245457119411893,0.971944648358557,0.02805533508459727,0.999962546536584,0.9999862424458352,0.4126984138512278
dermamnist_224,global_client_size_weight,Global client-size weight,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.9476434903012382,0.05235650183426009,0.014245465397834778,0.971906206674046,0.028093785978853703,0.999962546536584,0.9999801909800804,0.2528169465174798
dermamnist_224,global_feature_mean,Global-feature mean,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.9999999735090468,1.9000951552901785e-08,-8.27842288547092e-09,1.0000000016556845,7.095790128314801e-10,1.000000002483527,1.000000008532485,0.4126984138512278
dermamnist_224,prototype_head_agg,Classifier-head aggregation,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.016018416829562437,0.9839815845092138,0.7039770384629568,0.1761209268329872,0.8238790680964788,0.006608430327032693,0.6320215588834287,0.4126984138512278
