task_type,dataset,model,num_clients,beta,seed,mode,label,prototype_mode,evidence_mode,num_classes,covered_classes,mean_class_support,min_class_support,max_class_support,mean_pairwise_cosine,mean_pairwise_distance,min_pairwise_distance,mean_nearest_class_cosine,mean_nearest_class_distance,prototype_consistency,prototype_to_client_alignment,mean_evidence_entropy_norm
small,bloodmnist_224,convnext,3,0,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.04161195084452629,0.9583880305290222,0.7346347570419312,0.20189642906188965,0.7981035709381104,,,0.0
small,bloodmnist_224,convnext,3,0,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,0.0,0.0,1.0,0.0,,,0.0
small,bloodmnist_224,convnext,3,0,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696861125528812,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,,,0.0
small,bloodmnist_224,convnext,3,0,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047370612621307,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.025241076946258545,0.965364933013916,0.03463510423898697,,,0.0
small,bloodmnist_224,convnext,3,0.01,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.919548511505127,0.08045150339603424,0.024616003036499023,0.9655212163925171,0.03447888046503067,0.9870561361312866,0.9948481917381287,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.919548511505127,0.08045150339603424,0.024616003036499023,0.9655212163925171,0.03447888046503067,0.9870561361312866,0.9948481917381287,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.06420071423053741,0.9357993006706238,0.4417298436164856,0.3078160583972931,0.6921839714050293,0.010800743475556374,0.5625966787338257,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,1.4901161193847656e-08,0.0,1.0,7.450580596923828e-09,1.0,0.9999999701976776,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696861125528812,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,1.0000001192092896,1.0000000596046448,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.919548511505127,0.08045150339603424,0.024616003036499023,0.9655212163925171,0.03447888046503067,0.9870561361312866,0.9948481917381287,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9190505146980286,0.0809495598077774,0.02478468418121338,0.9654790163040161,0.03452105075120926,0.9870561361312866,0.9967578649520874,0.1250000003434794
small,bloodmnist_224,convnext,3,0.01,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9190505146980286,0.0809495598077774,0.02478468418121338,0.9654790163040161,0.03452105075120926,0.9870561361312866,0.9967578649520874,0.1250000003434794
small,bloodmnist_224,convnext,3,0.01,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.9192996621131897,0.08070031553506851,0.024318397045135498,0.9655956029891968,0.03440447896718979,0.9870561361312866,0.9965972304344177,0.11980289961271892
small,bloodmnist_224,convnext,3,0.01,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.919548511505127,0.08045150339603424,0.024616003036499023,0.9655212163925171,0.03447888046503067,0.9870561361312866,0.9948481917381287,0.06342376198518657
small,bloodmnist_224,convnext,3,0.01,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.919548511505127,0.08045150339603424,0.024616003036499023,0.9655212163925171,0.03447888046503067,0.9870561361312866,0.9948481917381287,0.06342376198518657
small,bloodmnist_224,convnext,3,0.1,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9184969663619995,0.08150308579206467,0.02619880437850952,0.9645993709564209,0.03540060669183731,0.9117847800254821,0.9582620518548148,0.3579096304442072
small,bloodmnist_224,convnext,3,0.1,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9184969663619995,0.08150308579206467,0.02619880437850952,0.9645993709564209,0.03540060669183731,0.9117847800254821,0.9582620518548148,0.3579096304442072
small,bloodmnist_224,convnext,3,0.1,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.009232616983354092,0.9907673597335815,0.7425853610038757,0.15762321650981903,0.8423767685890198,0.0012456452473998069,0.5041402843115586,0.3579096304442072
small,bloodmnist_224,convnext,3,0.1,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,6.38621200366174e-09,-1.1920928955078125e-07,1.0,-4.470348358154297e-08,1.0,1.0000000170298986,0.3579096304442072
small,bloodmnist_224,convnext,3,0.1,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696860194206238,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,0.9999999344348908,0.9999999914850507,0.3579096304442072
small,bloodmnist_224,convnext,3,0.1,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9184969067573547,0.08150310069322586,0.02619880437850952,0.9645993709564209,0.03540060669183731,0.9117847800254821,0.8904790835721152,0.3579096304442072
