mode,label,cases,mean_covered_classes,mean_mean_class_support,mean_min_class_support,mean_max_class_support,mean_mean_pairwise_cosine,mean_mean_pairwise_distance,mean_min_pairwise_distance,mean_mean_nearest_class_cosine,mean_mean_nearest_class_distance,mean_prototype_consistency,mean_prototype_to_client_alignment,mean_mean_evidence_entropy_norm
full,LAMP-Merge,180,9.0,1085.1181640625,496.6,2828.8,0.8884817096922133,0.11151829260504909,0.010987405313385858,0.964504497581058,0.03549549861086739,0.8751161393746066,0.9418699630928057,0.2124384869517564
m1_only,M1 only,180,9.0,1085.1181640625,496.6,2828.8,0.8884817096922133,0.11151829260504909,0.010987405313385858,0.964504497581058,0.03549549861086739,0.8751161393746066,0.9418699630928057,0.2124384869517564
prototype_head_agg,Classifier-head aggregation,180,9.0,1085.1181640625,496.6,2828.8,0.02669295943293643,0.9733070363601048,0.6552126126156913,0.1957234017757906,0.8042765973342789,-0.002080129738952901,0.4910485863941992,0.2124384869517564
global_feature_mean,Global-feature mean,180,9.0,1085.1181640625,496.6,2828.8,0.9999999993377262,5.293746732329099e-09,-3.112687004937066e-08,1.000000011920929,-1.5746743099577365e-08,0.9999999950329462,0.9999999907939168,0.2124384869517564
support_only,Support-only synthetic head,180,9.0,1085.1181640625,496.6,2828.8,0.012960289526058153,0.9870397329330445,0.8790464487340716,0.08589735240158107,0.9141026364432441,1.0000000334637882,1.0000000460577387,0.2124384869517564
prototype_shuffle,Shuffled-label prototype,180,9.0,1085.1181640625,496.6,2828.8,0.8884817063808441,0.11151829212903977,0.010987405313385858,0.9645044962565105,0.03549549861086739,0.8751161393746066,0.8553233079692322,0.2124384869517564
uniform_client_weight,Uniform client weight,180,9.0,1085.1181640625,496.6,2828.8,0.8634909013907115,0.13650910519063472,0.02455603645907508,0.9443081686894099,0.05569182312529948,0.8751161393746066,0.9570964403596544,0.4125901921847741
binary_support,Binary support only,180,9.0,1085.1181640625,496.6,2828.8,0.8634909013907115,0.13650910519063472,0.02455603645907508,0.9443081686894099,0.05569182312529948,0.8751161393746066,0.9570964403596544,0.4125901921847741
global_client_size_weight,Global client-size weight,180,9.0,1085.1181640625,496.6,2828.8,0.8630925787819757,0.13690742699222433,0.0222598436805937,0.9449243330293231,0.055075663483391206,0.8751161393746066,0.9501884407659891,0.3399174860956543
uniform_prevalence,Uniform prevalence prior,180,9.0,1085.1181640625,496.6,2828.8,0.8884817096922133,0.11151829260504909,0.010987405313385858,0.964504497581058,0.03549549861086739,0.8751161393746066,0.9418699630928057,0.2124384869517564
smoothed_prevalence,Smoothed prevalence prior,180,9.0,1085.1181640625,496.6,2828.8,0.8884817096922133,0.11151829260504909,0.010987405313385858,0.964504497581058,0.03549549861086739,0.8751161393746066,0.9418699630928057,0.2124384869517564
