dataset,model,num_clients,beta,seed,method,source,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_predicted_classes,predicted_class_counts,note
organsmnist_224,resnet,3,0.01,42,true_test,true,,,,,,811 439 445 510 704 693 2078 397 439 1343 968,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organsmnist_224,resnet,3,0.01,42,client_0,client,0.274952,0.154537,0.087132,0.768324,1.718227,0 0 0 0 0 0 2045 0 0 0 6782,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organsmnist_224,resnet,3,0.01,42,client_1,client,0.375439,0.32147,0.230514,0.316076,5.002204,0 0 1661 161 1819 0 1507 0 889 2790 0,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organsmnist_224,resnet,3,0.01,42,client_2,client,0.193157,0.295967,0.150099,0.368642,3.832757,237 3254 14 1770 0 2968 0 584 0 0 0,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organsmnist_224,resnet,3,0.01,42,avg,merge,0.33794,0.267678,0.203342,0.419961,4.123368,206 2375 211 241 220 1863 3707 0 0 4 0,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organsmnist_224,resnet,3,0.01,42,breadcrumbs,merge,0.035799,0.071415,0.007464,0.97383,1.149247,151 2 0 0 0 0 0 8596 0 0 78,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organsmnist_224,resnet,3,0.01,42,my_merge,merge,0.552509,0.516335,0.512194,0.202334,9.267997,1264 861 350 398 412 561 1786 383 401 1502 909,main clean example: all three clients predict more than one class; Breadcrumbs collapses to one class
organcmnist_224,vit_t,3,0.01,42,true_test,true,,,,,,828 431 421 421 727 735 1835 549 557 750 962,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,client_0,client,0.276777,0.180321,0.127861,0.475049,3.516242,1059 0 0 0 2109 0 1117 28 0 0 3903,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,client_1,client,0.067916,0.113277,0.030362,0.427702,3.160633,0 3514 2666 0 0 189 0 0 0 1847 0,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,client_2,client,0.09019,0.091941,0.017485,0.949611,1.226275,0 0 0 407 0 7802 0 0 7 0 0,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,avg,merge,0.15056,0.121473,0.061141,0.860273,1.689307,7068 0 0 0 751 6 299 0 0 0 92,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,free_merge,merge,0.106378,0.096659,0.026527,0.908958,1.445468,7468 0 0 0 263 478 0 0 0 0 7,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,breadcrumbs,merge,0.121227,0.111092,0.037365,0.824732,1.736162,6776 0 0 0 1153 0 0 0 0 0 287,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,vit_t,3,0.01,42,my_merge,merge,0.581183,0.585935,0.568169,0.163827,10.150584,597 643 888 329 679 467 1261 549 553 1346 904,two clients retain multi-class outputs; AVG and FreeMerge concentrate the global model
organcmnist_224,resnet,3,0.01,42,true_test,true,,,,,,828 431 421 421 727 735 1835 549 557 750 962,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,client_0,client,0.286027,0.204042,0.154631,0.454479,3.67229,957 0 0 0 2371 0 989 165 0 0 3734,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,client_1,client,0.134007,0.195853,0.083643,0.413462,3.228136,0 1328 3397 0 0 389 0 0 0 3102 0,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,client_2,client,0.103092,0.109189,0.045703,0.976144,1.137667,0 0 0 84 0 8020 0 0 112 0 0,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,avg,merge,0.143866,0.141872,0.075374,0.549903,2.153545,4518 0 0 0 0 3546 3 0 149 0 0,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,breadcrumbs,merge,0.100779,0.090909,0.016646,1.0,1.0,8216 0 0 0 0 0 0 0 0 0 0,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,dare_linear,merge,0.09445,0.095312,0.023852,0.982473,1.093056,143 0 0 0 0 8072 0 0 0 0 1,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organcmnist_224,resnet,3,0.01,42,my_merge,merge,0.607473,0.585533,0.575212,0.18038,10.026141,635 588 906 388 501 495 1482 500 564 1284 873,two clients retain multi-class outputs; Breadcrumbs and DARE-linear collapse to one dominant class
organsmnist_224,vit_t,3,0.01,42,true_test,true,,,,,,811 439 445 510 704 693 2078 397 439 1343 968,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,client_0,client,0.173219,0.115402,0.052911,0.882973,1.434706,0 0 0 0 0 0 1033 0 0 0 7794,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,client_1,client,0.059363,0.095388,0.020829,0.681545,2.174818,0 0 6016 18 408 0 10 0 0 2375 0,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,client_2,client,0.051773,0.092128,0.015784,0.808769,1.943910,1042 7139 0 383 0 263 0 0 0 0 0,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,avg,merge,0.058684,0.100665,0.017296,0.693327,1.932994,55 6120 0 18 0 2634 0 0 0 0 0,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,ties,merge,0.050980,0.092163,0.013159,0.866886,1.752801,436 7652 96 253 0 390 0 0 0 0 0,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,dare_ties,merge,0.050527,0.091087,0.009548,0.935765,1.323867,361 0 8260 206 0 0 0 0 0 0 0,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
organsmnist_224,vit_t,3,0.01,42,my_merge,merge,0.539141,0.525990,0.520059,0.196556,9.744258,955 932 610 353 682 465 1735 417 464 1370 844,all clients still predict multiple classes; TIES and DARE-TIES concentrate the merged model
