task_type,dataset,model,clip_model,num_clients,beta,seed,merge_weight_mode,my_merge_acc,my_merge_extra_acc,extra_minus_my_merge,exact_same
small,bloodmnist_224,convnext,,3,0.0,42,,0.19467991815258695,0.19467991815258695,0.0,True
small,bloodmnist_224,convnext,,3,0.01,42,,0.16924875767319497,0.1373867290266004,-0.03186202864659457,False
small,bloodmnist_224,convnext,,3,0.1,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,convnext,,5,0.0,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,convnext,,5,0.01,42,,0.19467991815258695,0.09090909090909091,-0.10377082724349604,False
small,bloodmnist_224,convnext,,5,0.1,42,,0.19467991815258695,0.08301666179479684,-0.1116632563577901,False
small,bloodmnist_224,convnext,,7,0.0,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,convnext,,7,0.01,42,,0.19467991815258695,0.19467991815258695,0.0,True
small,bloodmnist_224,convnext,,7,0.1,42,,0.1824028061970184,0.08301666179479684,-0.09938614440222156,False
small,bloodmnist_224,resnet,,3,0.0,42,,0.4606840105232388,0.2978661210172464,-0.1628178895059924,False
small,bloodmnist_224,resnet,,3,0.01,42,,0.45074539608301667,0.4063139432914353,-0.044431452791581394,False
small,bloodmnist_224,resnet,,3,0.1,42,,0.8529669687225957,0.2306343174510377,-0.622332651271558,False
small,bloodmnist_224,resnet,,5,0.0,42,,0.2540192926045016,0.29406606255480855,0.040046769950306926,False
small,bloodmnist_224,resnet,,5,0.01,42,,0.31072785735165154,0.19877228880444314,-0.1119555685472084,False
small,bloodmnist_224,resnet,,5,0.1,42,,0.5980707395498392,0.22741888336743643,-0.3706518561824028,False
small,bloodmnist_224,resnet,,7,0.0,42,,0.22712657117801813,0.24466530254311605,0.017538731365097926,False
small,bloodmnist_224,resnet,,7,0.01,42,,0.4539608301666179,0.1373867290266004,-0.3165741011400175,False
small,bloodmnist_224,resnet,,7,0.1,42,,0.5954399298450745,0.3270973399590763,-0.26834258988599824,False
small,bloodmnist_224,swin_tiny,,3,0.0,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,swin_tiny,,3,0.01,42,,0.1373867290266004,0.1373867290266004,0.0,True
small,bloodmnist_224,swin_tiny,,3,0.1,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,swin_tiny,,5,0.0,42,,0.3002046185325928,0.09090909090909091,-0.20929552762350187,False
small,bloodmnist_224,swin_tiny,,5,0.01,42,,0.19964922537269805,0.19380298158433207,-0.005846243788365985,False
small,bloodmnist_224,swin_tiny,,5,0.1,42,,0.24378836597486114,0.07132417421806489,-0.17246419175679625,False
small,bloodmnist_224,swin_tiny,,7,0.0,42,,0.2619117217187957,0.1824028061970184,-0.07950891552177727,False
small,bloodmnist_224,swin_tiny,,7,0.01,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,swin_tiny,,7,0.1,42,,0.19467991815258695,0.1373867290266004,-0.05729318912598655,False
small,bloodmnist_224,vit_t,,3,0.0,42,,0.3592516807950892,0.1824028061970184,-0.17684887459807078,False
small,bloodmnist_224,vit_t,,3,0.01,42,,0.1891259865536393,0.22303420052616194,0.03390821397252264,False
small,bloodmnist_224,vit_t,,3,0.1,42,,0.323881905875475,0.15200233849751535,-0.17187956737795965,False
small,bloodmnist_224,vit_t,,5,0.0,42,,0.19467991815258695,0.0710318620286466,-0.12364805612394035,False
small,bloodmnist_224,vit_t,,5,0.01,42,,0.3300204618532593,0.0710318620286466,-0.2589885998246127,False
small,bloodmnist_224,vit_t,,5,0.1,42,,0.259280912014031,0.08301666179479684,-0.17626425021923414,False
small,bloodmnist_224,vit_t,,7,0.0,42,,0.2616194095293774,0.2072493422975738,-0.0543700672318036,False
small,bloodmnist_224,vit_t,,7,0.01,42,,0.22157263957907045,0.09880152002338498,-0.12277111955568547,False
small,bloodmnist_224,vit_t,,7,0.1,42,,0.3121894182987431,0.08213972522654195,-0.23004969307220113,False
small,chaoshengmnist_224,convnext,,3,0.0,42,,0.1087151841868823,0.12578616352201258,0.017070979335130285,False
small,chaoshengmnist_224,convnext,,3,0.01,42,,0.1087151841868823,0.1734052111410602,0.0646900269541779,False
small,chaoshengmnist_224,convnext,,3,0.1,42,,0.1087151841868823,0.1734052111410602,0.0646900269541779,False
small,chaoshengmnist_224,convnext,,5,0.0,42,,0.1087151841868823,0.1734052111410602,0.0646900269541779,False
small,chaoshengmnist_224,convnext,,5,0.01,42,,0.1087151841868823,0.10512129380053908,-0.00359389038634321,False
small,chaoshengmnist_224,convnext,,5,0.1,42,,0.1087151841868823,0.1734052111410602,0.0646900269541779,False
small,chaoshengmnist_224,convnext,,7,0.0,42,,0.1087151841868823,0.1087151841868823,0.0,True
small,chaoshengmnist_224,convnext,,7,0.01,42,,0.1087151841868823,0.1087151841868823,0.0,True
small,chaoshengmnist_224,convnext,,7,0.1,42,,0.1087151841868823,0.16172506738544473,0.05300988319856244,False
small,chaoshengmnist_224,resnet,,3,0.0,42,,0.32075471698113206,0.23360287511230907,-0.087151841868823,False
small,chaoshengmnist_224,resnet,,3,0.01,42,,0.16352201257861634,0.2416891284815813,0.07816711590296496,False
small,chaoshengmnist_224,resnet,,3,0.1,42,,0.5094339622641509,0.20215633423180593,-0.30727762803234504,False
small,chaoshengmnist_224,resnet,,5,0.0,42,,0.15992812219227315,0.16082659478885894,0.000898472596585792,False
small,chaoshengmnist_224,resnet,,5,0.01,42,,0.12578616352201258,0.18059299191374664,0.054806828391734064,False
small,chaoshengmnist_224,resnet,,5,0.1,42,,0.1320754716981132,0.15902964959568733,0.026954177897574122,False
small,chaoshengmnist_224,resnet,,7,0.0,42,,0.13387241689128482,0.17430368373764601,0.0404312668463612,False
small,chaoshengmnist_224,resnet,,7,0.01,42,,0.18598382749326145,0.1527403414195867,-0.03324348607367475,False
small,chaoshengmnist_224,resnet,,7,0.1,42,,0.34321653189577717,0.24618149146451032,-0.09703504043126684,False
small,chaoshengmnist_224,swin_tiny,,3,0.0,42,,0.1087151841868823,0.1087151841868823,0.0,True
small,chaoshengmnist_224,swin_tiny,,3,0.01,42,,0.1087151841868823,0.17430368373764601,0.06558849955076372,False
