module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
diagnostic prototype reconstruction,s,13.75,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p35_s_13p75,180,0.6183778135098537,60,0.6183778135098537
diagnostic prototype reconstruction,s,15.0,gamma,0.35,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_15,180,0.6180533570640454,60,0.6180533570640454
diagnostic prototype reconstruction,s,16.25,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p35_s_16p25,180,0.6181368327732426,60,0.6181368327732426
diagnostic prototype reconstruction,s,17.5,gamma,0.35,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_17p5,180,0.6185877176896257,60,0.6185877176896257
diagnostic prototype reconstruction,s,18.75,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p35_s_18p75,180,0.6187110773489226,60,0.6187110773489226
diagnostic prototype reconstruction,s,20.0,gamma,0.35,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_20,180,0.61838604274567,60,0.61838604274567
diagnostic prototype reconstruction,s,21.25,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p35_s_21p25,180,0.6179390146092206,60,0.6179390146092206
diagnostic prototype reconstruction,s,22.5,gamma,0.35,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_22p5,180,0.6179829901679624,60,0.6179829901679624
diagnostic prototype reconstruction,s,23.75,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p35_s_23p75,180,0.6177811673003936,60,0.6177811673003936
diagnostic prototype reconstruction,s,25.0,gamma,0.35,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_25,180,0.617220548583621,60,0.617220548583621
