setting,cases,D_pair,D_near,A_client,A_proto
LAMP-Merge,180,0.112194,0.036077,0.875116,0.944624
M1 only,180,0.112194,0.036077,0.875116,0.944624
Classifier-head aggregation,180,0.973423,0.804100,-0.002080,0.507866
Global-feature mean,180,0.000000,-0.000000,1.000000,1.000000
Support-only synthetic head,180,0.987040,0.914103,1.000000,1.000000
Shuffled-label prototype,180,0.112194,0.036077,0.875116,0.855426
Uniform client weight,180,0.136509,0.055692,0.875116,0.957096
Binary support only,180,0.136509,0.055692,0.875116,0.957096
Global client-size weight,180,0.136907,0.055076,0.875116,0.950188
Uniform prevalence prior,180,0.112194,0.036077,0.875116,0.944624
Smoothed prevalence prior,180,0.112194,0.036077,0.875116,0.944624
No prevalence calibration,180,0.112194,0.036077,0.875116,0.944624
