dataset,backbone,num_clients,beta,method,sample_index,true_label,tsne_x,tsne_y,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,0,3,30.862776,25.833069,0.31601265,0.00000068,0.00000000,0.07296926,0.00020239,0.61081499,0.00000002,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,1,0,18.824842,28.300379,0.91172987,0.00006610,0.00000003,0.06789499,0.00019195,0.02011571,0.00000144,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2,1,-17.574568,-85.736923,0.00000207,0.72663820,0.00019904,0.00032327,0.00017875,0.00002027,0.27263543,0.00000290
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,3,3,60.327595,11.549177,0.07495474,0.00177429,0.00602984,0.67376649,0.23106717,0.01209892,0.00019491,0.00011355
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,4,1,-5.250579,-87.552589,0.01566517,0.74911058,0.00080418,0.06255206,0.14632832,0.01886138,0.00667753,0.00000086
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,5,1,11.272967,-90.796173,0.00002436,0.95131981,0.00001986,0.00882138,0.00054059,0.00200818,0.03726571,0.00000006
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,6,3,63.301521,11.369924,0.09963308,0.00027094,0.00015592,0.76684803,0.12716848,0.00573383,0.00004541,0.00014428
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,7,1,-32.856522,-73.381592,0.00000008,0.37455961,0.00001094,0.00061822,0.00000201,0.00028082,0.62452829,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,8,6,-35.720280,-65.665359,0.00021344,0.13910151,0.00010798,0.01183104,0.00138825,0.16316177,0.68419600,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,9,1,7.336720,-92.516182,0.00000344,0.93426943,0.00002946,0.00111089,0.00016009,0.00090128,0.06352548,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,10,5,40.385201,23.086712,0.02784850,0.00010717,0.00000418,0.08828252,0.00298039,0.88072324,0.00005396,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,11,6,-36.505981,-70.675240,0.00000766,0.29611558,0.02120452,0.00173104,0.00038319,0.00001766,0.68044740,0.00009301
