backbone,method,Blood_K=3,Blood_K=5,Blood_K=7,Blood_Avg,Derma_K=3,Derma_K=5,Derma_K=7,Derma_Avg,Organ-C_K=3,Organ-C_K=5,Organ-C_K=7,Organ-C_Avg,Organ-S_K=3,Organ-S_K=5,Organ-S_K=7,Organ-S_Avg,Ultrasound_K=3,Ultrasound_K=5,Ultrasound_K=7,Ultrasound_Avg
ConvNeXt,avg,0.1565,0.1122,0.1384,0.1357,0.2966,0.4830,0.6688,0.4828,0.1037,0.1218,0.0944,0.1066,0.1308,0.1035,0.1416,0.1253,0.1506,0.1506,0.1252,0.1421
ConvNeXt,ties,0.1715,0.1214,0.1524,0.1484,0.2966,0.1797,0.2713,0.2492,0.1217,0.0786,0.0716,0.0906,0.1123,0.0761,0.0796,0.0893,0.1518,0.1456,0.1291,0.1422
ConvNeXt,dare_linear,0.1756,0.1122,0.1345,0.1408,0.2705,0.4830,0.4830,0.4122,0.1035,0.0699,0.1085,0.0940,0.1282,0.1035,0.0797,0.1038,0.1575,0.1575,0.1264,0.1471
ConvNeXt,dare_ties,0.1096,0.1519,0.1497,0.1371,0.0908,0.2798,0.2451,0.2052,0.1305,0.1346,0.0770,0.1140,0.1096,0.0946,0.0709,0.0917,0.1456,0.1297,0.1500,0.1418
ConvNeXt,regmean,0.1565,0.0817,0.1856,0.1413,0.2633,0.0773,0.2720,0.2042,0.1143,0.1017,0.0768,0.0976,0.1014,0.1259,0.1038,0.1104,0.1575,0.1539,0.1500,0.1538
ConvNeXt,fisher,0.1565,0.0999,0.1189,0.1251,0.4825,0.2638,0.2971,0.3478,0.1003,0.0974,0.0915,0.0964,0.0604,0.0517,0.0843,0.0655,0.1695,0.1360,0.1456,0.1504
ConvNeXt,breadcrumbs,0.1516,0.1366,0.1163,0.1348,0.0524,0.2766,0.4630,0.2640,0.1031,0.1444,0.1574,0.1350,0.1516,0.1554,0.2077,0.1716,0.1384,0.1363,0.1363,0.1370
ConvNeXt,model_stock,0.1756,0.1144,0.1778,0.1559,0.2966,0.4830,0.6688,0.4828,0.1276,0.1218,0.1385,0.1293,0.1308,0.1035,0.1935,0.1426,0.1575,0.1291,0.1479,0.1448
ConvNeXt,from,0.1565,0.1083,0.1671,0.1440,0.2966,0.3406,0.4569,0.3647,0.1232,0.1224,0.0650,0.1035,0.1324,0.1105,0.0897,0.1109,0.1575,0.1578,0.1087,0.1413
ConvNeXt,iso_c,0.1947,0.1865,0.1480,0.1764,0.2971,0.4830,0.6688,0.4830,0.0991,0.0699,0.0945,0.0878,0.0789,0.1477,0.0867,0.1044,0.1518,0.1291,0.1605,0.1471
ConvNeXt,free_merge,0.1575,0.1190,0.1384,0.1383,0.2971,0.4830,0.6688,0.4830,0.0906,0.1218,0.1385,0.1170,0.1308,0.1035,0.1416,0.1253,0.1506,0.1291,0.1695,0.1497
ConvNeXt,robustmerge,0.1410,0.1405,0.0752,0.1189,0.0908,0.4507,0.4830,0.3415,0.1394,0.1218,0.1793,0.1468,0.2354,0.0961,0.2077,0.1797,0.1300,0.1135,0.1363,0.1266
ConvNeXt,LAMP-Merge,0.8482,0.8483,0.8493,0.8486,0.5992,0.5920,0.5852,0.5921,0.6482,0.6480,0.6495,0.6486,0.5977,0.5985,0.5990,0.5984,0.4259,0.4259,0.4259,0.4259
