backbone,method,dataset,client_setting,client_average_acc
ResNet,avg,Blood,K=3,0.3345
ResNet,avg,Blood,K=5,0.2467
ResNet,avg,Blood,K=7,0.2822
ResNet,avg,Blood,Avg,0.2878
ResNet,avg,Derma,K=3,0.6291
ResNet,avg,Derma,K=5,0.4700
ResNet,avg,Derma,K=7,0.6244
ResNet,avg,Derma,Avg,0.5745
ResNet,avg,Organ-C,K=3,0.2261
ResNet,avg,Organ-C,K=5,0.1772
ResNet,avg,Organ-C,K=7,0.1396
ResNet,avg,Organ-C,Avg,0.1810
ResNet,avg,Organ-S,K=3,0.2864
ResNet,avg,Organ-S,K=5,0.1794
ResNet,avg,Organ-S,K=7,0.2475
ResNet,avg,Organ-S,Avg,0.2378
ResNet,avg,Ultrasound,K=3,0.2435
ResNet,avg,Ultrasound,K=5,0.1581
ResNet,avg,Ultrasound,K=7,0.1542
ResNet,avg,Ultrasound,Avg,0.1853
ResNet,ties,Blood,K=3,0.2601
ResNet,ties,Blood,K=5,0.1872
ResNet,ties,Blood,K=7,0.1787
ResNet,ties,Blood,Avg,0.2087
ResNet,ties,Derma,K=3,0.5995
ResNet,ties,Derma,K=5,0.4841
ResNet,ties,Derma,K=7,0.6484
ResNet,ties,Derma,Avg,0.5773
ResNet,ties,Organ-C,K=3,0.2650
ResNet,ties,Organ-C,K=5,0.1684
ResNet,ties,Organ-C,K=7,0.2118
ResNet,ties,Organ-C,Avg,0.2151
ResNet,ties,Organ-S,K=3,0.1981
ResNet,ties,Organ-S,K=5,0.1915
ResNet,ties,Organ-S,K=7,0.1874
ResNet,ties,Organ-S,Avg,0.1923
ResNet,ties,Ultrasound,K=3,0.3477
ResNet,ties,Ultrasound,K=5,0.1989
ResNet,ties,Ultrasound,K=7,0.1854
ResNet,ties,Ultrasound,Avg,0.2440
ResNet,dare_linear,Blood,K=3,0.2832
ResNet,dare_linear,Blood,K=5,0.2856
ResNet,dare_linear,Blood,K=7,0.2392
ResNet,dare_linear,Blood,Avg,0.2693
ResNet,dare_linear,Derma,K=3,0.6357
ResNet,dare_linear,Derma,K=5,0.4841
ResNet,dare_linear,Derma,K=7,0.6288
ResNet,dare_linear,Derma,Avg,0.5829
ResNet,dare_linear,Organ-C,K=3,0.2018
ResNet,dare_linear,Organ-C,K=5,0.2588
ResNet,dare_linear,Organ-C,K=7,0.1650
ResNet,dare_linear,Organ-C,Avg,0.2085
ResNet,dare_linear,Organ-S,K=3,0.2545
ResNet,dare_linear,Organ-S,K=5,0.2245
ResNet,dare_linear,Organ-S,K=7,0.2537
ResNet,dare_linear,Organ-S,Avg,0.2442
ResNet,dare_linear,Ultrasound,K=3,0.2162
ResNet,dare_linear,Ultrasound,K=5,0.1728
ResNet,dare_linear,Ultrasound,K=7,0.1608
ResNet,dare_linear,Ultrasound,Avg,0.1833
ResNet,dare_ties,Blood,K=3,0.3194
ResNet,dare_ties,Blood,K=5,0.1935
ResNet,dare_ties,Blood,K=7,0.1780
ResNet,dare_ties,Blood,Avg,0.2303
ResNet,dare_ties,Derma,K=3,0.5375
ResNet,dare_ties,Derma,K=5,0.4825
ResNet,dare_ties,Derma,K=7,0.5558
ResNet,dare_ties,Derma,Avg,0.5253
ResNet,dare_ties,Organ-C,K=3,0.1851
ResNet,dare_ties,Organ-C,K=5,0.1515
ResNet,dare_ties,Organ-C,K=7,0.1859
ResNet,dare_ties,Organ-C,Avg,0.1742
ResNet,dare_ties,Organ-S,K=3,0.1790
ResNet,dare_ties,Organ-S,K=5,0.1352
ResNet,dare_ties,Organ-S,K=7,0.1730
ResNet,dare_ties,Organ-S,Avg,0.1624
ResNet,dare_ties,Ultrasound,K=3,0.2932
ResNet,dare_ties,Ultrasound,K=5,0.1635
ResNet,dare_ties,Ultrasound,K=7,0.1890
ResNet,dare_ties,Ultrasound,Avg,0.2152
ResNet,regmean,Blood,K=3,0.3460
ResNet,regmean,Blood,K=5,0.2369
ResNet,regmean,Blood,K=7,0.3407
ResNet,regmean,Blood,Avg,0.3079
ResNet,regmean,Derma,K=3,0.5812
ResNet,regmean,Derma,K=5,0.2843
ResNet,regmean,Derma,K=7,0.5022
ResNet,regmean,Derma,Avg,0.4559
ResNet,regmean,Organ-C,K=3,0.2405
ResNet,regmean,Organ-C,K=5,0.1340
ResNet,regmean,Organ-C,K=7,0.1388
ResNet,regmean,Organ-C,Avg,0.1711
ResNet,regmean,Organ-S,K=3,0.2504
ResNet,regmean,Organ-S,K=5,0.1623
ResNet,regmean,Organ-S,K=7,0.1493
ResNet,regmean,Organ-S,Avg,0.1873
ResNet,regmean,Ultrasound,K=3,0.2276
ResNet,regmean,Ultrasound,K=5,0.1695
ResNet,regmean,Ultrasound,K=7,0.1318
ResNet,regmean,Ultrasound,Avg,0.1763
ResNet,fisher,Blood,K=3,0.3196
ResNet,fisher,Blood,K=5,0.2237
ResNet,fisher,Blood,K=7,0.2608
ResNet,fisher,Blood,Avg,0.2680
ResNet,fisher,Derma,K=3,0.6707
ResNet,fisher,Derma,K=5,0.6702
ResNet,fisher,Derma,K=7,0.6690
ResNet,fisher,Derma,Avg,0.6700
ResNet,fisher,Organ-C,K=3,0.2973
ResNet,fisher,Organ-C,K=5,0.1741
ResNet,fisher,Organ-C,K=7,0.1812
ResNet,fisher,Organ-C,Avg,0.2175
ResNet,fisher,Organ-S,K=3,0.2010
ResNet,fisher,Organ-S,K=5,0.2956
ResNet,fisher,Organ-S,K=7,0.1963
ResNet,fisher,Organ-S,Avg,0.2310
ResNet,fisher,Ultrasound,K=3,0.2333
ResNet,fisher,Ultrasound,K=5,0.1860
