backbone,method,Blood_K=3,Blood_K=5,Blood_K=7,Blood_Avg,Derma_K=3,Derma_K=5,Derma_K=7,Derma_Avg,Organ-C_K=3,Organ-C_K=5,Organ-C_K=7,Organ-C_Avg,Organ-S_K=3,Organ-S_K=5,Organ-S_K=7,Organ-S_Avg,Ultrasound_K=3,Ultrasound_K=5,Ultrasound_K=7,Ultrasound_Avg
ResNet,avg,0.3345,0.2467,0.2822,0.2878,0.6291,0.4700,0.6244,0.5745,0.2261,0.1772,0.1396,0.1810,0.2864,0.1794,0.2475,0.2378,0.2435,0.1581,0.1542,0.1853
ResNet,ties,0.2601,0.1872,0.1787,0.2087,0.5995,0.4841,0.6484,0.5773,0.2650,0.1684,0.2118,0.2151,0.1981,0.1915,0.1874,0.1923,0.3477,0.1989,0.1854,0.2440
ResNet,dare_linear,0.2832,0.2856,0.2392,0.2693,0.6357,0.4841,0.6288,0.5829,0.2018,0.2588,0.1650,0.2085,0.2545,0.2245,0.2537,0.2442,0.2162,0.1728,0.1608,0.1833
ResNet,dare_ties,0.3194,0.1935,0.1780,0.2303,0.5375,0.4825,0.5558,0.5253,0.1851,0.1515,0.1859,0.1742,0.1790,0.1352,0.1730,0.1624,0.2932,0.1635,0.1890,0.2152
ResNet,regmean,0.3460,0.2369,0.3407,0.3079,0.5812,0.2843,0.5022,0.4559,0.2405,0.1340,0.1388,0.1711,0.2504,0.1623,0.1493,0.1873,0.2276,0.1695,0.1318,0.1763
ResNet,fisher,0.3196,0.2237,0.2608,0.2680,0.6707,0.6702,0.6690,0.6700,0.2973,0.1741,0.1812,0.2175,0.2010,0.2956,0.1963,0.2310,0.2333,0.1860,0.2513,0.2235
ResNet,breadcrumbs,0.0854,0.1417,0.1460,0.1244,0.0495,0.2913,0.1721,0.1710,0.0766,0.0676,0.0685,0.0709,0.0802,0.0948,0.0603,0.0784,0.1225,0.1273,0.1021,0.1173
ResNet,model_stock,0.2420,0.1824,0.1975,0.2073,0.6216,0.4311,0.5721,0.5416,0.1225,0.1274,0.1185,0.1228,0.2742,0.1578,0.2012,0.2111,0.1791,0.1321,0.1578,0.1563
ResNet,from,0.2989,0.2306,0.2052,0.2449,0.6713,0.4369,0.6580,0.5887,0.2350,0.1560,0.1520,0.1810,0.2207,0.2087,0.2476,0.2257,0.2309,0.1506,0.2063,0.1959
ResNet,iso_c,0.3278,0.2748,0.3023,0.3016,0.5049,0.4422,0.6416,0.5296,0.2331,0.1629,0.1383,0.1781,0.2736,0.2118,0.2453,0.2436,0.2615,0.1698,0.1554,0.1956
ResNet,free_merge,0.3345,0.2467,0.2822,0.2878,0.6291,0.4700,0.6246,0.5746,0.2261,0.1771,0.1396,0.1809,0.2863,0.1793,0.2475,0.2377,0.2435,0.1581,0.1545,0.1854
ResNet,robustmerge,0.3401,0.2430,0.2256,0.2696,0.2956,0.2085,0.3942,0.2994,0.2458,0.1764,0.1653,0.1958,0.2680,0.2227,0.2301,0.2403,0.2189,0.2231,0.1707,0.2042
ResNet,LAMP-Merge,0.8002,0.7999,0.8007,0.8003,0.6745,0.6761,0.6763,0.6756,0.6074,0.6069,0.6076,0.6073,0.5531,0.5524,0.5517,0.5524,0.4762,0.4762,0.4762,0.4762
