backbone,method,Blood_K=3,Blood_K=5,Blood_K=7,Blood_Avg,Derma_K=3,Derma_K=5,Derma_K=7,Derma_Avg,Organ-C_K=3,Organ-C_K=5,Organ-C_K=7,Organ-C_Avg,Organ-S_K=3,Organ-S_K=5,Organ-S_K=7,Organ-S_Avg,Ultrasound_K=3,Ultrasound_K=5,Ultrasound_K=7,Ultrasound_Avg
Swin-Tiny,avg,0.1565,0.1186,0.1524,0.1425,0.4569,0.4830,0.6688,0.5362,0.1068,0.1294,0.0787,0.1050,0.0682,0.0604,0.1381,0.0889,0.1527,0.1294,0.1465,0.1429
Swin-Tiny,ties,0.0972,0.1190,0.1384,0.1182,0.0841,0.0780,0.6688,0.2770,0.1160,0.0702,0.0934,0.0932,0.0734,0.0607,0.1107,0.0816,0.1695,0.1303,0.1261,0.1420
Swin-Tiny,dare_linear,0.1565,0.1161,0.1825,0.1517,0.4569,0.2771,0.4630,0.3990,0.1155,0.1272,0.0776,0.1068,0.0640,0.0720,0.1381,0.0914,0.1743,0.1536,0.1497,0.1592
Swin-Tiny,dare_ties,0.1384,0.1162,0.1384,0.1310,0.2961,0.2638,0.6688,0.4096,0.1276,0.0774,0.1116,0.1055,0.1194,0.0434,0.1230,0.0953,0.1791,0.1351,0.1300,0.1481
Swin-Tiny,regmean,0.1374,0.1715,0.1578,0.1556,0.2705,0.4630,0.4569,0.3968,0.1411,0.0773,0.0811,0.0998,0.1215,0.0821,0.0926,0.0987,0.1465,0.1105,0.1779,0.1450
Swin-Tiny,fisher,0.1633,0.1756,0.1565,0.1651,0.4582,0.0652,0.4718,0.3317,0.0814,0.0899,0.0978,0.0897,0.0651,0.0650,0.1092,0.0798,0.1746,0.1165,0.1755,0.1555
Swin-Tiny,breadcrumbs,0.1500,0.1365,0.1537,0.1467,0.0647,0.2771,0.0715,0.1378,0.1445,0.1783,0.1660,0.1629,0.2354,0.2077,0.2111,0.2181,0.1450,0.1312,0.1653,0.1472
Swin-Tiny,model_stock,0.1374,0.1440,0.1715,0.1510,0.4569,0.2771,0.4825,0.4055,0.1110,0.0771,0.1404,0.1095,0.0671,0.1106,0.1714,0.1164,0.1539,0.1273,0.1869,0.1560
Swin-Tiny,from,0.1565,0.1495,0.1671,0.1577,0.4569,0.2971,0.6688,0.4743,0.1174,0.1220,0.1051,0.1148,0.1133,0.1016,0.1380,0.1176,0.1539,0.1252,0.1476,0.1422
Swin-Tiny,iso_c,0.1430,0.1722,0.1700,0.1617,0.3099,0.2840,0.5174,0.3704,0.1302,0.1327,0.1469,0.1366,0.1545,0.1727,0.1880,0.1717,0.1755,0.1731,0.1791,0.1759
Swin-Tiny,free_merge,0.1154,0.0861,0.1840,0.1285,0.4569,0.4830,0.6688,0.5362,0.0959,0.1377,0.0890,0.1075,0.0682,0.0497,0.1062,0.0747,0.1518,0.1575,0.1599,0.1564
Swin-Tiny,robustmerge,0.1374,0.1409,0.1670,0.1484,0.2377,0.2771,0.0504,0.1884,0.1601,0.1442,0.1960,0.1668,0.1673,0.1151,0.2077,0.1634,0.1761,0.1315,0.1629,0.1568
Swin-Tiny,LAMP-Merge,0.7737,0.7753,0.7748,0.7746,0.6374,0.6251,0.6244,0.6290,0.6651,0.6632,0.6630,0.6638,0.6078,0.6076,0.6068,0.6074,0.4816,0.4816,0.4816,0.4816
