backbone,method,Blood_K=3,Blood_K=5,Blood_K=7,Blood_Avg,Derma_K=3,Derma_K=5,Derma_K=7,Derma_Avg,Organ-C_K=3,Organ-C_K=5,Organ-C_K=7,Organ-C_Avg,Organ-S_K=3,Organ-S_K=5,Organ-S_K=7,Organ-S_Avg,Ultrasound_K=3,Ultrasound_K=5,Ultrasound_K=7,Ultrasound_Avg
ViT-Tiny,avg,0.1343,0.1082,0.1160,0.1195,0.4638,0.4369,0.3696,0.4234,0.1657,0.1043,0.0952,0.1217,0.0844,0.0852,0.1710,0.1135,0.1450,0.1327,0.1884,0.1554
ViT-Tiny,ties,0.0796,0.1421,0.1285,0.1167,0.4780,0.3498,0.4615,0.4298,0.1341,0.1223,0.0953,0.1172,0.1192,0.1002,0.1597,0.1264,0.2001,0.1306,0.1018,0.1442
ViT-Tiny,dare_linear,0.2397,0.1129,0.1387,0.1638,0.2850,0.1002,0.1204,0.1685,0.1534,0.0946,0.0704,0.1061,0.0748,0.0549,0.1611,0.0969,0.1366,0.1051,0.1435,0.1284
ViT-Tiny,dare_ties,0.0735,0.1189,0.1146,0.1023,0.2735,0.4502,0.3528,0.3588,0.1252,0.0903,0.1033,0.1063,0.0541,0.0874,0.0591,0.0669,0.1447,0.1120,0.1042,0.1203
ViT-Tiny,regmean,0.1748,0.1417,0.1290,0.1485,0.5114,0.3667,0.6658,0.5146,0.1250,0.0964,0.0983,0.1066,0.1263,0.0717,0.1068,0.1016,0.1491,0.1384,0.1144,0.1340
ViT-Tiny,fisher,0.1166,0.1512,0.1944,0.1541,0.4780,0.2042,0.4820,0.3881,0.0799,0.1072,0.1424,0.1098,0.0856,0.1218,0.1222,0.1099,0.1611,0.1315,0.1420,0.1449
ViT-Tiny,breadcrumbs,0.1363,0.1039,0.1300,0.1234,0.0489,0.2572,0.0607,0.1223,0.0773,0.1000,0.1644,0.1139,0.1237,0.0483,0.1219,0.0980,0.1360,0.1141,0.1524,0.1342
ViT-Tiny,model_stock,0.1940,0.1120,0.1134,0.1398,0.3805,0.3079,0.2735,0.3206,0.1488,0.1227,0.1215,0.1310,0.0893,0.0859,0.1867,0.1206,0.1599,0.1809,0.1641,0.1683
ViT-Tiny,from,0.1802,0.0781,0.1405,0.1329,0.4695,0.5121,0.6688,0.5501,0.2148,0.1301,0.0972,0.1474,0.0772,0.0798,0.1485,0.1018,0.1836,0.1743,0.1776,0.1785
ViT-Tiny,iso_c,0.1234,0.1483,0.1018,0.1245,0.5709,0.4529,0.2306,0.4181,0.1084,0.0567,0.0897,0.0849,0.0611,0.0531,0.1081,0.0741,0.1417,0.1527,0.1869,0.1604
ViT-Tiny,free_merge,0.1989,0.1457,0.1392,0.1613,0.4630,0.4770,0.3855,0.4418,0.1425,0.0980,0.0759,0.1055,0.0727,0.0914,0.1643,0.1095,0.1405,0.1593,0.1647,0.1548
ViT-Tiny,robustmerge,0.1482,0.1070,0.1425,0.1326,0.0347,0.2768,0.1724,0.1613,0.0954,0.0617,0.1438,0.1003,0.1260,0.0707,0.1217,0.1061,0.1698,0.1854,0.1563,0.1705
ViT-Tiny,LAMP-Merge,0.8523,0.8522,0.8516,0.8520,0.5970,0.5938,0.5860,0.5923,0.5805,0.5790,0.5790,0.5795,0.5406,0.5372,0.5388,0.5389,0.4645,0.4645,0.4645,0.4645
