task_type,dataset,model,num_clients,LAMP-Merge,M1 only,avg+M2,avg,best_value,best_variants,lamp_minus_avg,m1_minus_avg,avg_m2_minus_avg
small,bloodmnist_224,convnext,3,0.8481925362954302,0.8480950988989574,0.1564844587352626,0.1565,0.8481925362954302,LAMP-Merge,0.6916925362954303,0.6915950988989574,-1.5541264737406468e-05
small,bloodmnist_224,convnext,5,0.848289973691903,0.8483874110883757,0.11215044334015395,0.11213333333333335,0.8483874110883757,M1 only,0.7361566403585696,0.7362540777550424,1.7110006820600376e-05
small,bloodmnist_224,convnext,7,0.8492643476566307,0.8489720354672122,0.13836110299132806,0.13836666666666667,0.8492643476566307,LAMP-Merge,0.7108976809899641,0.7106053688005456,-5.563675338604579e-06
small,bloodmnist_224,resnet,3,0.8001558998343564,0.8001558998343564,0.3345025820910066,0.3345,0.8001558998343564,LAMP-Merge;M1 only,0.4656558998343564,0.4656558998343564,2.5820910065643687e-06
small,bloodmnist_224,resnet,5,0.7998635876449383,0.7998635876449383,0.2465166130760986,0.24673333333333333,0.7998635876449383,LAMP-Merge;M1 only,0.5531302543116049,0.5531302543116049,-0.0002167202572347371
small,bloodmnist_224,resnet,7,0.800740524213193,0.8006430868167201,0.28208126278865825,0.2821666666666667,0.800740524213193,LAMP-Merge,0.5185738575465263,0.5184764201500535,-8.540387800842764e-05
small,bloodmnist_224,swin_tiny,3,0.773652927993764,0.773652927993764,0.1564844587352626,0.1565,0.773652927993764,LAMP-Merge;M1 only,0.617152927993764,0.617152927993764,-1.5541264737406468e-05
small,bloodmnist_224,swin_tiny,5,0.775309363733801,0.7752119263373283,0.11858131150735651,0.11856666666666667,0.775309363733801,LAMP-Merge,0.6567426970671343,0.6566452596706616,1.4644840689845284e-05
small,bloodmnist_224,swin_tiny,7,0.7748221767514373,0.77491961414791,0.1523920880834064,0.15239999999999998,0.77491961414791,M1 only,0.6224221767514373,0.62251961414791,-7.91191659357815e-06
small,bloodmnist_224,vit_t,3,0.8522849069472863,0.8521874695508136,0.13446360713241742,0.13426666666666665,0.8522849069472863,LAMP-Merge,0.7180182402806197,0.717920802884147,0.00019694046575077784
small,bloodmnist_224,vit_t,5,0.8521874695508136,0.8520900321543409,0.10815551008477053,0.10813333333333335,0.8521874695508136,LAMP-Merge,0.7440541362174803,0.7439566988210076,2.2176751437189002e-05
small,bloodmnist_224,vit_t,7,0.851602845171977,0.8518951573613953,0.11595050180259182,0.11603333333333334,0.8518951573613953,M1 only,0.7355695118386437,0.735861824028062,-8.283153074151173e-05
small,chaoshengmnist_224,convnext,3,0.4258760107816711,0.4258760107816711,0.15064390536088648,0.1506333333333333,0.4258760107816711,LAMP-Merge;M1 only,0.27524267744833775,0.27524267744833775,1.057202755316844e-05
small,chaoshengmnist_224,convnext,5,0.4258760107816711,0.4258760107816711,0.15064390536088648,0.1506333333333333,0.4258760107816711,LAMP-Merge;M1 only,0.27524267744833775,0.27524267744833775,1.057202755316844e-05
small,chaoshengmnist_224,convnext,7,0.4258760107816711,0.4258760107816711,0.12518718179095537,0.12516666666666668,0.4258760107816711,LAMP-Merge;M1 only,0.3007093441150044,0.3007093441150044,2.051512428868918e-05
small,chaoshengmnist_224,resnet,3,0.4761904761904761,0.4761904761904761,0.24348607367475295,0.24350000000000002,0.4761904761904761,LAMP-Merge;M1 only,0.2326904761904761,0.2326904761904761,-1.392632524707671e-05
