module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
diagnostic prototype reconstruction,s,15.0,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_15,180,0.6180533570640454,60,0.6180533570640454
diagnostic prototype reconstruction,s,17.5,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_17p5,180,0.6185877176896257,60,0.6185877176896257
diagnostic prototype reconstruction,s,20.0,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_20,180,0.61838604274567,60,0.61838604274567
diagnostic prototype reconstruction,s,22.5,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_22p5,180,0.6179829901679624,60,0.6179829901679624
diagnostic prototype reconstruction,s,25.0,gamma,0.35,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p35_s_25,180,0.617220548583621,60,0.617220548583621
diagnostic prototype reconstruction,s,15.0,gamma,0.4,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p40_s_15,180,0.6195879889309189,60,0.6195879889309189
diagnostic prototype reconstruction,s,17.5,gamma,0.4,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p40_s_17p5,180,0.6200645411088305,60,0.6200645411088304
diagnostic prototype reconstruction,s,20.0,gamma,0.4,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p40_s_20,180,0.6199497489481862,60,0.6199497489481862
diagnostic prototype reconstruction,s,22.5,gamma,0.4,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p40_s_22p5,180,0.6194881941868716,60,0.6194881941868716
diagnostic prototype reconstruction,s,25.0,gamma,0.4,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p40_s_25,180,0.6187008801033418,60,0.6187008801033418
diagnostic prototype reconstruction,s,15.0,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_15,180,0.6205557342379685,60,0.6205557342379685
diagnostic prototype reconstruction,s,17.5,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_17p5,180,0.6210909424028669,60,0.6210909424028669
diagnostic prototype reconstruction,s,20.0,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_20,180,0.6209296643068226,60,0.6209296643068226
diagnostic prototype reconstruction,s,22.5,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_22p5,180,0.6205063663012611,60,0.6205063663012611
diagnostic prototype reconstruction,s,25.0,gamma,0.45,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p45_s_25,180,0.6196761033347736,60,0.6196761033347736
diagnostic prototype reconstruction,s,15.0,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_15,180,0.6214096080281553,60,0.6214096080281553
diagnostic prototype reconstruction,s,17.5,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_17p5,180,0.6218861126813671,60,0.6218861126813671
