module,x_symbol,x_value,curve_symbol,curve_value,task_type,dataset,model,num_clients,client_average_acc
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,convnext,3,0.8465361005553932
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,convnext,5,0.8468284127448115
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,convnext,7,0.8493617850531033
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,resnet,3,0.7992789632661015
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,resnet,5,0.7972327779401734
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,resnet,7,0.7949917178212998
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,swin_tiny,3,0.7733606158043457
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,swin_tiny,5,0.7673194972230342
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,swin_tiny,7,0.7655656240865244
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,vit_t,3,0.8500438468284127
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,vit_t,5,0.8508233460001948
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,bloodmnist_224,vit_t,7,0.8466335379518659
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,convnext,3,0.43096735549565734
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,convnext,5,0.42437855645402817
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,convnext,7,0.4171907756813417
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,resnet,3,0.4767894579215334
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,resnet,5,0.44773884396525904
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,resnet,7,0.46720575022461813
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,swin_tiny,3,0.4722970949386044
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,swin_tiny,5,0.4746930218628332
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,swin_tiny,7,0.472596585804133
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,vit_t,3,0.4555256064690027
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,vit_t,5,0.4495357891584307
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,chaoshengmnist_224,vit_t,7,0.4498352800239593
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,dermamnist_224,convnext,3,0.6176226101413134
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,dermamnist_224,convnext,5,0.6124688279301745
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,dermamnist_224,convnext,7,0.6181213632585203
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,dermamnist_224,resnet,3,0.6683291770573566
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,dermamnist_224,resnet,5,0.6683291770573566
diagnostic prototype reconstruction,s,15.0,gamma,0.35,small,dermamnist_224,resnet,7,0.6683291770573566
