mode,label,cases,mean_covered_classes,mean_mean_class_support,mean_min_class_support,mean_max_class_support,mean_mean_pairwise_cosine,mean_mean_pairwise_distance,mean_min_pairwise_distance,mean_mean_nearest_class_cosine,mean_mean_nearest_class_distance,mean_prototype_consistency,mean_prototype_to_client_alignment,mean_mean_evidence_entropy_norm
full,LAMP-Merge,180,9.0,1085.1181640625,496.6,2828.8,0.8878057155344221,0.11219429522752762,0.011560930146111382,0.9639227532678181,0.03607724393821425,0.8751161393746066,0.9446243003574382,0.2505038133548373
m1_only,M1 only,180,9.0,1085.1181640625,496.6,2828.8,0.8878057155344221,0.11219429522752762,0.011560930146111382,0.9639227532678181,0.03607724393821425,0.8751161393746066,0.9446243003574382,0.2505038133548373
prototype_head_agg,Classifier-head aggregation,180,9.0,1085.1181640625,496.6,2828.8,0.026577502594672196,0.9734225021468268,0.656172975897789,0.19589962890992563,0.8041003685858514,-0.002080129738952901,0.5078657294912379,0.2505038133548373
global_feature_mean,Global-feature mean,180,9.0,1085.1181640625,496.6,2828.8,1.0000000006622738,2.4350747233429597e-09,-3.14580069647895e-08,1.0000000135766136,-1.7496500598963077e-08,0.9999999950329462,0.9999999889154835,0.2505038133548373
support_only,Support-only synthetic head,180,9.0,1085.1181640625,496.6,2828.8,0.012960289524117898,0.9870397335953183,0.8790464480717977,0.0858973521946205,0.9141026324696011,1.0000000334637882,1.000000046112259,0.2505038133548373
prototype_shuffle,Shuffled-label prototype,180,9.0,1085.1181640625,496.6,2828.8,0.8878057036134932,0.11219429578632116,0.011560930146111382,0.9639227555857764,0.03607724393821425,0.8751161393746066,0.8554258734661035,0.2505038133548373
uniform_client_weight,Uniform client weight,180,9.0,1085.1181640625,496.6,2828.8,0.8634909013907115,0.13650910519063472,0.02455603645907508,0.9443081686894099,0.05569182312529948,0.8751161393746066,0.9570964403596544,0.4125901921847741
binary_support,Binary support only,180,9.0,1085.1181640625,496.6,2828.8,0.8634909013907115,0.13650910519063472,0.02455603645907508,0.9443081686894099,0.05569182312529948,0.8751161393746066,0.9570964403596544,0.4125901921847741
global_client_size_weight,Global client-size weight,180,9.0,1085.1181640625,496.6,2828.8,0.8630925787819757,0.13690742699222433,0.0222598436805937,0.9449243330293231,0.055075663483391206,0.8751161393746066,0.9501884407659891,0.3399174860956543
uniform_prevalence,Uniform prevalence prior,180,9.0,1085.1181640625,496.6,2828.8,0.8878057155344221,0.11219429522752762,0.011560930146111382,0.9639227532678181,0.03607724393821425,0.8751161393746066,0.9446243003574382,0.2505038133548373
smoothed_prevalence,Smoothed prevalence prior,180,9.0,1085.1181640625,496.6,2828.8,0.8878057155344221,0.11219429522752762,0.011560930146111382,0.9639227532678181,0.03607724393821425,0.8751161393746066,0.9446243003574382,0.2505038133548373
no_prevalence,No prevalence calibration,180,9.0,1085.1181640625,496.6,2828.8,0.8878057155344221,0.11219429522752762,0.011560930146111382,0.9639227532678181,0.03607724393821425,0.8751161393746066,0.9446243003574382,0.2505038133548373
