beta,method,num_cases,mean_accuracy,median_accuracy
0.0,avg,189,0.197621,0.135100
0.0,breadcrumbs,189,0.141228,0.109700
0.0,dare_linear,189,0.177937,0.120700
0.0,dare_ties,189,0.152324,0.113700
0.0,fisher,189,0.188868,0.135400
0.0,free_merge,189,0.195497,0.136600
0.0,from,189,0.215752,0.160500
0.0,iso_c,189,0.191112,0.137400
0.0,model_stock,189,0.193406,0.148500
0.0,regmean,189,0.176866,0.126700
0.0,robustmerge,189,0.182451,0.169200
0.0,ties,189,0.160639,0.116100
0.01,avg,189,0.192784,0.126700
0.01,breadcrumbs,189,0.126181,0.109700
0.01,dare_linear,189,0.179553,0.129500
0.01,dare_ties,189,0.190857,0.144200
0.01,fisher,189,0.188947,0.130900
0.01,free_merge,189,0.196963,0.133000
0.01,from,189,0.207888,0.145900
0.01,iso_c,189,0.176074,0.123100
0.01,model_stock,189,0.164506,0.123100
0.01,regmean,189,0.177985,0.137400
0.01,robustmerge,189,0.153463,0.124100
0.01,ties,189,0.215978,0.173400
0.1,avg,189,0.213039,0.166200
0.1,breadcrumbs,189,0.122199,0.102400
0.1,dare_linear,189,0.197989,0.153500
0.1,dare_ties,189,0.205620,0.147100
0.1,fisher,189,0.236619,0.148900
0.1,free_merge,189,0.209588,0.152900
0.1,from,189,0.222591,0.158400
0.1,iso_c,189,0.212797,0.169400
0.1,model_stock,189,0.180415,0.139400
0.1,regmean,189,0.208517,0.151900
0.1,robustmerge,189,0.185603,0.137400
0.1,ties,189,0.238281,0.181200
