dataset,method,num_cases,mean_accuracy,median_accuracy
bloodmnist,avg,81,0.165528,0.169200
bloodmnist,breadcrumbs,81,0.134021,0.157000
bloodmnist,dare_linear,81,0.170341,0.182400
bloodmnist,dare_ties,81,0.162630,0.137700
bloodmnist,fisher,81,0.174943,0.178000
bloodmnist,free_merge,81,0.171520,0.169500
bloodmnist,from,81,0.177231,0.169200
bloodmnist,iso_c,81,0.173574,0.182400
bloodmnist,model_stock,81,0.156473,0.169200
bloodmnist,regmean,81,0.188075,0.182400
bloodmnist,robustmerge,81,0.171991,0.169200
bloodmnist,ties,81,0.183305,0.182400
chaoshengmnist,avg,81,0.167136,0.161700
chaoshengmnist,breadcrumbs,81,0.133438,0.126700
chaoshengmnist,dare_linear,81,0.156240,0.157200
chaoshengmnist,dare_ties,81,0.163075,0.146500
chaoshengmnist,fisher,81,0.179812,0.161700
chaoshengmnist,free_merge,81,0.169886,0.161700
chaoshengmnist,from,81,0.176833,0.161700
chaoshengmnist,iso_c,81,0.177928,0.165300
chaoshengmnist,model_stock,81,0.154605,0.161700
chaoshengmnist,regmean,81,0.156485,0.138400
chaoshengmnist,robustmerge,81,0.170669,0.161700
chaoshengmnist,ties,81,0.184322,0.162600
dermamnist,avg,81,0.499701,0.667800
dermamnist,breadcrumbs,81,0.192363,0.056400
dermamnist,dare_linear,81,0.417899,0.616000
dermamnist,dare_ties,81,0.390722,0.597500
dermamnist,fisher,81,0.477846,0.668800
dermamnist,free_merge,81,0.501541,0.667800
dermamnist,from,81,0.512168,0.668800
dermamnist,iso_c,81,0.435022,0.568600
dermamnist,model_stock,81,0.402353,0.531200
dermamnist,regmean,81,0.379627,0.403000
dermamnist,robustmerge,81,0.270768,0.111700
dermamnist,ties,81,0.420357,0.604500
organamnist,avg,81,0.147795,0.116100
organamnist,breadcrumbs,81,0.100902,0.092800
organamnist,dare_linear,81,0.140757,0.110500
organamnist,dare_ties,81,0.147528,0.111500
organamnist,fisher,81,0.151047,0.116100
organamnist,free_merge,81,0.142146,0.116100
organamnist,from,81,0.159432,0.116100
organamnist,iso_c,81,0.154622,0.116100
organamnist,model_stock,81,0.132943,0.113300
organamnist,regmean,81,0.156160,0.116000
organamnist,robustmerge,81,0.151215,0.116100
organamnist,ties,81,0.175567,0.121400
organcmnist,avg,81,0.131360,0.100800
organcmnist,breadcrumbs,81,0.105678,0.091300
organcmnist,dare_linear,81,0.132948,0.094400
organcmnist,dare_ties,81,0.140610,0.115000
organcmnist,fisher,81,0.155909,0.113300
organcmnist,free_merge,81,0.126549,0.100300
organcmnist,from,81,0.152795,0.118700
organcmnist,iso_c,81,0.120717,0.100500
organcmnist,model_stock,81,0.121296,0.100800
organcmnist,regmean,81,0.128391,0.101000
organcmnist,robustmerge,81,0.150356,0.108300
organcmnist,ties,81,0.155890,0.124600
organsmnist,avg,81,0.142220,0.099000
organsmnist,breadcrumbs,81,0.118753,0.098800
organsmnist,dare_linear,81,0.135096,0.109700
organsmnist,dare_ties,81,0.134851,0.119600
organsmnist,fisher,81,0.138709,0.096200
organsmnist,free_merge,81,0.136402,0.098600
organsmnist,from,81,0.146636,0.110900
organsmnist,iso_c,81,0.133468,0.092000
organsmnist,model_stock,81,0.137301,0.107200
organsmnist,regmean,81,0.138291,0.104300
organsmnist,robustmerge,81,0.155391,0.122500
organsmnist,ties,81,0.160443,0.140600
pathmnist,avg,81,0.154295,0.154600
pathmnist,breadcrumbs,81,0.123931,0.118000
pathmnist,dare_linear,81,0.142837,0.124400
pathmnist,dare_ties,81,0.141117,0.134700
pathmnist,fisher,81,0.155414,0.126900
pathmnist,free_merge,81,0.156736,0.171700
pathmnist,from,81,0.182777,0.169800
pathmnist,iso_c,81,0.157962,0.144200
pathmnist,model_stock,81,0.151125,0.160900
pathmnist,regmean,81,0.167494,0.144200
pathmnist,robustmerge,81,0.146484,0.118000
pathmnist,ties,81,0.154878,0.136500
