num_clients,method,num_cases,mean_accuracy,median_accuracy
3,avg,189,0.212534,0.170100
3,breadcrumbs,189,0.122968,0.108700
3,dare_linear,189,0.200240,0.144200
3,dare_ties,189,0.202972,0.144400
3,fisher,189,0.224946,0.155800
3,free_merge,189,0.208101,0.158200
3,from,189,0.229166,0.173400
3,iso_c,189,0.195353,0.139000
3,model_stock,189,0.190765,0.144200
3,regmean,189,0.210422,0.166600
3,robustmerge,189,0.181809,0.137400
3,ties,189,0.233499,0.180900
5,avg,189,0.192894,0.130400
5,breadcrumbs,189,0.140563,0.108700
5,dare_linear,189,0.177327,0.124900
5,dare_ties,189,0.168600,0.119700
5,fisher,189,0.186680,0.125800
5,free_merge,189,0.195500,0.133500
5,from,189,0.206979,0.148200
5,iso_c,189,0.188810,0.137400
5,model_stock,189,0.168197,0.124900
5,regmean,189,0.177857,0.137400
5,robustmerge,189,0.171693,0.126700
5,ties,189,0.177276,0.130100
7,avg,189,0.198016,0.137400
7,breadcrumbs,189,0.126078,0.106000
7,dare_linear,189,0.177912,0.137400
7,dare_ties,189,0.177228,0.131800
7,fisher,189,0.202807,0.141600
7,free_merge,189,0.198448,0.138400
7,from,189,0.210086,0.142000
7,iso_c,189,0.195820,0.144300
7,model_stock,189,0.179365,0.144200
7,regmean,189,0.175088,0.126700
7,robustmerge,189,0.168015,0.145600
7,ties,189,0.204123,0.142500
