dataset,task_type,backbone,method,setting,num_clients,beta,accuracy,source_file
bloodmnist,small,resnet,avg,c3_b0,3,0.0,0.3017,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c3_b0.01,3,0.01,0.3069,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c3_b0.1,3,0.1,0.3949,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c5_b0,5,0.0,0.2739,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c5_b0.1,5,0.1,0.2716,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c7_b0,7,0.0,0.1944,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c7_b0.01,7,0.01,0.3601,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,avg,c7_b0.1,7,0.1,0.292,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c3_b0,3,0.0,0.2122,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c3_b0.01,3,0.01,0.2797,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c3_b0.1,3,0.1,0.2882,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c5_b0,5,0.0,0.0956,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c5_b0.01,5,0.01,0.195,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c5_b0.1,5,0.1,0.271,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c7_b0,7,0.0,0.0941,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c7_b0.01,7,0.01,0.2593,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,ties,c7_b0.1,7,0.1,0.1827,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c3_b0,3,0.0,0.2736,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c3_b0.01,3,0.01,0.3376,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c3_b0.1,3,0.1,0.2382,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c5_b0,5,0.0,0.2216,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c5_b0.01,5,0.01,0.1979,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c5_b0.1,5,0.1,0.4373,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c7_b0,7,0.0,0.1757,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c7_b0.01,7,0.01,0.3519,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_linear,c7_b0.1,7,0.1,0.19,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c3_b0,3,0.0,0.3674,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c3_b0.01,3,0.01,0.3315,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c3_b0.1,3,0.1,0.2593,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c5_b0,5,0.0,0.0912,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c5_b0.01,5,0.01,0.2917,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c5_b0.1,5,0.1,0.1976,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c7_b0,7,0.0,0.2087,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c7_b0.01,7,0.01,0.2353,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,dare_ties,c7_b0.1,7,0.1,0.09,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c3_b0,3,0.0,0.3826,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c3_b0.01,3,0.01,0.3096,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c3_b0.1,3,0.1,0.3458,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c5_b0,5,0.0,0.2224,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c5_b0.01,5,0.01,0.209,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c5_b0.1,5,0.1,0.2792,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c7_b0,7,0.0,0.2739,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c7_b0.01,7,0.01,0.3177,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,regmean,c7_b0.1,7,0.1,0.4306,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c3_b0,3,0.0,0.3674,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c3_b0.01,3,0.01,0.2517,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c3_b0.1,3,0.1,0.3397,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c5_b0,5,0.0,0.2306,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c5_b0.01,5,0.01,0.197,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c5_b0.1,5,0.1,0.2435,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c7_b0,7,0.0,0.356,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c7_b0.01,7,0.01,0.2885,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,fisher,c7_b0.1,7,0.1,0.138,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c3_b0,3,0.0,0.1079,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c3_b0.01,3,0.01,0.0769,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c3_b0.1,3,0.1,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c5_b0,5,0.0,0.1608,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c5_b0.01,5,0.01,0.0816,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c5_b0.1,5,0.1,0.1827,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c7_b0,7,0.0,0.1795,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c7_b0.01,7,0.01,0.1871,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,breadcrumbs,c7_b0.1,7,0.1,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c3_b0,3,0.0,0.3078,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c3_b0.01,3,0.01,0.2511,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c3_b0.1,3,0.1,0.1672,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c5_b0,5,0.0,0.1792,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c5_b0.01,5,0.01,0.2081,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c5_b0.1,5,0.1,0.1599,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c7_b0,7,0.0,0.1725,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c7_b0.01,7,0.01,0.1754,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,model_stock,c7_b0.1,7,0.1,0.2447,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c3_b0,3,0.0,0.3251,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c3_b0.01,3,0.01,0.2941,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c3_b0.1,3,0.1,0.2777,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c5_b0,5,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c5_b0.1,5,0.1,0.3025,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c7_b0,7,0.0,0.1903,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c7_b0.01,7,0.01,0.2669,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,from,c7_b0.1,7,0.1,0.1584,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c3_b0,3,0.0,0.3148,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c3_b0.01,3,0.01,0.3169,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c3_b0.1,3,0.1,0.3517,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c5_b0,5,0.0,0.2894,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c5_b0.01,5,0.01,0.2029,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c5_b0.1,5,0.1,0.3321,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c7_b0,7,0.0,0.1865,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c7_b0.01,7,0.01,0.425,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,iso_c,c7_b0.1,7,0.1,0.2952,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,free_merge,c3_b0,3,0.0,0.3017,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,free_merge,c3_b0.01,3,0.01,0.3069,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,resnet,free_merge,c3_b0.1,3,0.1,0.3949,program/MedMNISTMerge/result/bloodmnist(1).md
