method,num_cases,mean_accuracy,median_accuracy,p25_accuracy,p75_accuracy,win_count,top3_count,average_rank,near_majority_prior_count,near_majority_prior_rate,low_performance_count,low_performance_rate,mean_delta_vs_avg,median_delta_vs_avg,better_than_avg_count,better_than_avg_rate
from,567,0.215410,0.154700,0.106750,0.260250,111,158,5.802469,80,0.141093,223,0.393298,0.014262,0.000000,265,0.467372
ties,567,0.204966,0.152800,0.101750,0.238300,115,231,5.520282,70,0.123457,230,0.405644,0.003818,0.000000,277,0.488536
fisher,567,0.204811,0.137400,0.091400,0.235250,111,191,6.098765,86,0.151675,254,0.447972,0.003663,0.000000,273,0.481481
avg,567,0.201148,0.139200,0.093350,0.223050,63,182,5.021164,81,0.142857,248,0.437390,0.000000,0.000000,0,0.000000
free_merge,567,0.200683,0.139100,0.091300,0.223300,74,58,7.425044,81,0.142857,244,0.430335,-0.000465,0.000000,88,0.155203
iso_c,567,0.193328,0.139400,0.092100,0.218250,79,116,6.747795,51,0.089947,256,0.451499,-0.007820,0.000000,195,0.343915
regmean,567,0.187789,0.137400,0.098200,0.219750,78,144,6.197531,54,0.095238,268,0.472663,-0.013359,0.000000,207,0.365079
dare_linear,567,0.185160,0.135200,0.090200,0.199400,54,132,6.213404,76,0.134039,266,0.469136,-0.015988,0.000000,181,0.319224
dare_ties,567,0.182933,0.128400,0.091850,0.195300,71,169,6.585538,67,0.118166,274,0.483245,-0.018215,0.000000,246,0.433862
model_stock,567,0.179442,0.136600,0.091200,0.194700,69,90,7.021164,75,0.132275,269,0.474427,-0.021706,0.000000,163,0.287478
robustmerge,567,0.173839,0.137400,0.089500,0.220500,79,134,7.151675,57,0.100529,267,0.470899,-0.027309,0.000000,226,0.398589
breadcrumbs,567,0.129869,0.108700,0.071300,0.155300,50,96,8.215168,67,0.118166,382,0.673721,-0.071278,-0.026800,159,0.280423
