dataset,compare,mean_dynamic_delta,std_dynamic_delta,bias_delta,mean_total_delta,min_total_delta,p05_total_delta,pct_total_delta_positive
source_test,8-0,0.650884,0.615227,-0.002990,0.647894,-2.809443,-0.218411,0.883100
source_test,8-1,0.456714,0.551283,-0.066234,0.390480,-1.583900,-0.391201,0.763000
source_test,8-2,0.587339,0.667085,-0.018230,0.569109,-2.413605,-0.375261,0.828900
source_test,8-3,0.294295,0.587772,-0.047713,0.246583,-3.143305,-0.601115,0.656900
source_test,8-4,0.781806,0.621150,-0.006117,0.775689,-1.517892,-0.074460,0.929800
source_test,8-5,0.644193,0.657302,-0.021471,0.622722,-1.957167,-0.301566,0.853500
source_test,8-6,0.492490,0.646537,-0.007683,0.484807,-1.871991,-0.434782,0.791200
source_test,8-7,0.681717,0.639675,-0.013128,0.668588,-1.510345,-0.207476,0.882100
source_test,8-9,0.775800,0.665347,-0.000508,0.775293,-1.844042,-0.108207,0.917600
public_test,8-0,0.650884,0.615227,-0.002990,0.647894,-2.809443,-0.218411,0.883100
public_test,8-1,0.456714,0.551283,-0.066234,0.390480,-1.583900,-0.391201,0.763000
public_test,8-2,0.587339,0.667085,-0.018230,0.569109,-2.413605,-0.375261,0.828900
public_test,8-3,0.294295,0.587772,-0.047713,0.246583,-3.143305,-0.601115,0.656900
public_test,8-4,0.781806,0.621150,-0.006117,0.775689,-1.517892,-0.074460,0.929800
public_test,8-5,0.644193,0.657302,-0.021471,0.622722,-1.957167,-0.301566,0.853500
public_test,8-6,0.492490,0.646537,-0.007683,0.484807,-1.871991,-0.434782,0.791200
public_test,8-7,0.681717,0.639675,-0.013128,0.668588,-1.510345,-0.207476,0.882100
public_test,8-9,0.775800,0.665347,-0.000508,0.775293,-1.844042,-0.108207,0.917600
