dataset,class,mean_wf,std_wf,bias,mean_logit,std_logit,min_logit,max_logit
source_test,0,-1.496751,0.749400,-0.040118,-1.536869,0.749400,-8.164584,-0.125215
source_test,1,-1.302582,0.697216,0.023126,-1.279456,0.697216,-7.733635,0.109355
source_test,2,-1.433206,0.780388,-0.024878,-1.458084,0.780388,-8.629311,0.179134
source_test,3,-1.140163,0.702870,0.004605,-1.135558,0.702870,-8.389492,0.252974
source_test,4,-1.627673,0.793895,-0.036991,-1.664664,0.793895,-8.924938,-0.079059
source_test,5,-1.490060,0.772342,-0.021637,-1.511697,0.772342,-9.050490,0.453723
source_test,6,-1.338357,0.731536,-0.035425,-1.373782,0.731536,-7.224437,0.040820
source_test,7,-1.527584,0.766201,-0.029980,-1.557563,0.766201,-7.765712,-0.053193
source_test,8,-0.845867,0.536652,-0.043108,-0.888975,0.536652,-5.737016,0.620072
source_test,9,-1.621667,0.809529,-0.042600,-1.664268,0.809529,-7.920450,0.017824
public_test,0,-1.496751,0.749400,-0.040118,-1.536869,0.749400,-8.164584,-0.125215
public_test,1,-1.302582,0.697216,0.023126,-1.279456,0.697216,-7.733635,0.109355
public_test,2,-1.433206,0.780388,-0.024878,-1.458084,0.780388,-8.629311,0.179134
public_test,3,-1.140163,0.702870,0.004605,-1.135558,0.702870,-8.389492,0.252974
public_test,4,-1.627673,0.793895,-0.036991,-1.664664,0.793895,-8.924938,-0.079059
public_test,5,-1.490060,0.772342,-0.021637,-1.511697,0.772342,-9.050490,0.453723
public_test,6,-1.338357,0.731536,-0.035425,-1.373782,0.731536,-7.224437,0.040820
public_test,7,-1.527584,0.766201,-0.029980,-1.557563,0.766201,-7.765712,-0.053193
public_test,8,-0.845867,0.536652,-0.043108,-0.888975,0.536652,-5.737016,0.620072
public_test,9,-1.621667,0.809529,-0.042600,-1.664268,0.809529,-7.920450,0.017824
