model,dataset,n,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_pred_class,top_pred_fraction,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,true_counts,pred_counts
client_0,source_test,10000,0.163300,0.163300,0.054517,0.522200,2,1,0.522200,0.530853,0.818418,0.000035,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[4778, 5222, 0, 0, 0, 0, 0, 0, 0, 0]"
client_0,public_test,10000,0.163300,0.163300,0.054517,0.522200,2,1,0.522200,0.530853,0.818418,0.000035,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[4778, 5222, 0, 0, 0, 0, 0, 0, 0, 0]"
client_1,source_test,10000,0.140700,0.140700,0.047972,0.662500,2,3,0.662500,0.558570,0.755035,0.000113,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 3375, 6625, 0, 0, 0, 0, 0, 0]"
client_1,public_test,10000,0.140700,0.140700,0.047972,0.662500,2,3,0.662500,0.558570,0.755035,0.000113,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 3375, 6625, 0, 0, 0, 0, 0, 0]"
client_2,source_test,10000,0.147800,0.147800,0.050442,0.644500,2,5,0.644500,0.545683,0.853586,0.000085,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 3555, 6445, 0, 0, 0, 0]"
client_2,public_test,10000,0.147800,0.147800,0.050442,0.644500,2,5,0.644500,0.545683,0.853586,0.000085,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 3555, 6445, 0, 0, 0, 0]"
client_3,source_test,10000,0.167100,0.167100,0.058294,0.622500,3,7,0.622500,0.557466,0.886741,0.000125,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 1, 0, 0, 0, 0, 3774, 6225, 0, 0]"
client_3,public_test,10000,0.167100,0.167100,0.058294,0.622500,3,7,0.622500,0.557466,0.886741,0.000125,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 1, 0, 0, 0, 0, 3774, 6225, 0, 0]"
client_4,source_test,10000,0.111600,0.111600,0.037776,0.977400,2,8,0.977400,0.955204,5.746369,0.000237,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 0, 0, 0, 0, 9774, 226]"
client_4,public_test,10000,0.111600,0.111600,0.037776,0.977400,2,8,0.977400,0.955204,5.746369,0.000237,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 0, 0, 0, 0, 9774, 226]"
avg,source_test,10000,0.083100,0.083100,0.063165,0.431500,10,8,0.431500,0.194456,0.269798,0.000005,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[293, 983, 637, 2069, 143, 379, 869, 195, 4315, 117]"
avg,public_test,10000,0.083100,0.083100,0.063165,0.431500,10,8,0.431500,0.194456,0.269798,0.000005,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[293, 983, 637, 2069, 143, 379, 869, 195, 4315, 117]"
