domain,dominant_class,compare,mean_delta,std_delta,mean_over_std,min_delta,p05_delta,pct_positive
medical_derma,5,5-0,1.344966,0.425337,3.162122,0.359340,0.635670,1.000000
medical_derma,5,5-1,0.997494,0.355430,2.806439,0.123354,0.411551,1.000000
medical_derma,5,5-2,0.570603,0.203555,2.803186,0.133353,0.268922,1.000000
medical_derma,5,5-3,1.504307,0.712038,2.112679,0.080625,0.381957,1.000000
medical_derma,5,5-4,0.727216,0.171161,4.248731,0.071431,0.463657,1.000000
medical_derma,5,5-6,1.869700,0.723917,2.582754,0.283340,0.688538,1.000000
natural_cifar_imbalanced,8,8-0,0.647894,0.615227,1.053097,-2.809443,-0.218411,0.883100
natural_cifar_imbalanced,8,8-1,0.390480,0.551283,0.708311,-1.583900,-0.391201,0.763000
natural_cifar_imbalanced,8,8-2,0.569109,0.667085,0.853128,-2.413605,-0.375261,0.828900
natural_cifar_imbalanced,8,8-3,0.246583,0.587772,0.419521,-3.143305,-0.601115,0.656900
natural_cifar_imbalanced,8,8-4,0.775689,0.621150,1.248795,-1.517892,-0.074460,0.929800
natural_cifar_imbalanced,8,8-5,0.622722,0.657302,0.947390,-1.957167,-0.301566,0.853500
natural_cifar_imbalanced,8,8-6,0.484807,0.646537,0.749852,-1.871991,-0.434782,0.791200
natural_cifar_imbalanced,8,8-7,0.668588,0.639675,1.045199,-1.510345,-0.207476,0.882100
natural_cifar_imbalanced,8,8-9,0.775293,0.665347,1.165246,-1.844042,-0.108207,0.917600
