domain,stage,feature_dim,feature_norm_mean,feature_norm_std,feature_norm_cv,within_class_mse,between_centroid_mse,fisher_ratio,centroid_dist_mean,centroid_dist_min,nearest_centroid_acc,own_centroid_margin_mean,own_centroid_margin_p05,effective_rank
medical_derma,bn1,64,18.394760,1.027885,0.055879,6.158944,2.056063,0.333834,1.550473,0.272617,0.420948,-0.370898,-2.191833,2.344272
medical_derma,layer1,64,20.632364,0.185390,0.008985,4.103627,1.079489,0.263057,1.230821,0.479962,0.483791,-0.119287,-1.205564,6.550472
medical_derma,layer2,128,18.359495,0.370051,0.020156,8.991541,2.022502,0.224934,1.817515,0.884739,0.408479,-0.247059,-1.440693,11.029681
medical_derma,layer3,256,20.490559,0.430669,0.021018,25.238754,5.474797,0.216920,3.009469,1.747293,0.429426,-0.183771,-1.512826,21.386566
medical_derma,layer4,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
medical_derma,global_pool,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
medical_derma,classifier_input,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
natural_cifar_imbalanced,bn1,64,16.704100,0.475498,0.028466,8.094632,1.401252,0.173109,1.518288,0.292677,0.222500,-0.546828,-2.140199,2.379699
natural_cifar_imbalanced,layer1,64,23.586071,0.729842,0.030944,20.318354,3.992514,0.196498,2.821367,0.684418,0.439100,-0.148129,-1.235754,20.262602
natural_cifar_imbalanced,layer2,128,19.788757,1.744468,0.088155,54.964954,6.313741,0.114868,3.635757,1.616013,0.523100,-0.023268,-1.008625,52.849964
natural_cifar_imbalanced,layer3,256,25.166140,2.415823,0.095995,229.220459,16.840145,0.073467,5.967682,3.064598,0.495200,-0.051347,-1.403609,103.850456
natural_cifar_imbalanced,layer4,512,15.605836,5.613289,0.359692,242.116608,6.853444,0.028306,3.811618,1.900540,0.394000,-0.139346,-0.934651,216.896500
natural_cifar_imbalanced,global_pool,512,15.605836,5.613289,0.359692,242.116608,6.853444,0.028306,3.811618,1.900540,0.394000,-0.139346,-0.934651,216.896500
natural_cifar_imbalanced,classifier_input,512,15.605836,5.613289,0.359692,242.116608,6.853444,0.028306,3.811618,1.900540,0.394000,-0.139346,-0.934651,216.896500
