domain,accuracy,balanced_accuracy,collapse_ratio,effective_pred_classes,top_class,prediction_entropy_norm,mean_confidence,mean_top1_top2_margin,min_top1_top2_margin,true_counts,pred_counts,model
medical_derma,0.668828,0.142857,1.000000,1,5,0.000000,0.324329,0.539030,0.071431,"[66, 103, 220, 23, 223, 1341, 29]","[0, 0, 0, 0, 0, 2005, 0]",avg
natural_cifar_imbalanced,0.083100,0.083100,0.431500,10,8,0.747598,0.194456,0.269798,0.000005,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[293, 983, 637, 2069, 143, 379, 869, 195, 4315, 117]",avg
medical_derma,0.021446,0.159242,0.895262,3,3,0.205006,0.754670,1.875756,0.003183,"[66, 103, 220, 23, 223, 1341, 29]","[148, 0, 0, 1795, 62, 0, 0]",client_0
medical_derma,0.066334,0.160125,0.634414,2,1,0.337407,0.819303,2.473911,0.000640,"[66, 103, 220, 23, 223, 1341, 29]","[0, 1272, 733, 0, 0, 0, 0]",client_1
medical_derma,0.577057,0.210008,0.788529,2,5,0.265120,0.888691,5.286525,0.001708,"[66, 103, 220, 23, 223, 1341, 29]","[0, 0, 0, 0, 0, 1581, 424]",client_2
natural_cifar_imbalanced,0.163300,0.163300,0.522200,2,1,0.300602,0.530853,0.818418,0.000035,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[4778, 5222, 0, 0, 0, 0, 0, 0, 0, 0]",client_0
natural_cifar_imbalanced,0.140700,0.140700,0.662500,2,3,0.277672,0.558570,0.755035,0.000113,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 3375, 6625, 0, 0, 0, 0, 0, 0]",client_1
natural_cifar_imbalanced,0.147800,0.147800,0.644500,2,5,0.282632,0.545683,0.853586,0.000085,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 3555, 6445, 0, 0, 0, 0]",client_2
natural_cifar_imbalanced,0.167100,0.167100,0.622500,3,7,0.288263,0.557466,0.886741,0.000125,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 1, 0, 0, 0, 0, 3774, 6225, 0, 0]",client_3
natural_cifar_imbalanced,0.111600,0.111600,0.977400,2,8,0.046900,0.955204,5.746369,0.000237,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[0, 0, 0, 0, 0, 0, 0, 0, 9774, 226]",client_4
