domain,class,is_dominant,weight_norm,bias,projection_mean,projection_std,logit_mean,logit_std,logit_p05,logit_p95,pred_count,true_count
medical_derma,0,0,0.553469,-0.011714,-2.358657,0.708230,-2.370371,0.708230,-3.415359,-1.164704,0,66
medical_derma,1,0,0.507735,-0.009575,-2.013324,0.630196,-2.022899,0.630196,-2.970324,-0.939281,0,103
medical_derma,2,0,0.429503,-0.035517,-1.560491,0.468140,-1.596008,0.468140,-2.329915,-0.825342,0,220
medical_derma,3,0,0.599088,0.005188,-2.534899,0.998114,-2.529712,0.998114,-4.076031,-0.906466,0,23
medical_derma,4,0,0.437861,0.002527,-1.755148,0.382530,-1.752621,0.382530,-2.283649,-1.032871,0,223
medical_derma,5,1,0.378644,-0.031668,-0.993736,0.299953,-1.025404,0.299952,-1.492594,-0.521886,2005,1341
medical_derma,6,0,0.609482,-0.033785,-2.861320,1.009981,-2.895105,1.009981,-4.484212,-1.214752,0,29
natural_cifar_imbalanced,0,0,0.679490,-0.036255,-1.574248,0.812258,-1.610503,0.812258,-3.154676,-0.601511,254,1000
natural_cifar_imbalanced,1,0,0.670566,0.025692,-1.376477,0.705105,-1.350785,0.705105,-2.637314,-0.457778,421,1000
natural_cifar_imbalanced,2,0,0.673318,-0.021733,-1.580235,0.828809,-1.601968,0.828809,-3.160040,-0.566379,329,1000
natural_cifar_imbalanced,3,0,0.668103,0.006254,-1.222509,0.716210,-1.216256,0.716210,-2.557786,-0.353302,593,1000
natural_cifar_imbalanced,4,0,0.699892,-0.032325,-1.617064,0.840020,-1.649389,0.840020,-3.222041,-0.622801,210,1000
natural_cifar_imbalanced,5,0,0.674927,-0.018614,-1.558327,0.759531,-1.576941,0.759531,-2.987761,-0.597140,235,1000
natural_cifar_imbalanced,6,0,0.814649,-0.046866,-2.772651,1.189722,-2.819517,1.189722,-5.125361,-1.359392,0,1000
natural_cifar_imbalanced,7,0,0.820254,-0.041933,-2.934061,1.203552,-2.975994,1.203552,-5.280006,-1.471102,0,1000
natural_cifar_imbalanced,8,1,0.602471,-0.039031,-0.396488,0.462225,-0.435519,0.462225,-1.203315,0.241860,7810,1000
natural_cifar_imbalanced,9,0,0.739501,-0.043689,-1.927637,1.000977,-1.971325,1.000977,-3.860021,-0.641142,148,1000
