domain,dominant_class,compare,mean_delta,std_delta,mean_over_std,min_delta,p05_delta,pct_positive
medical_derma,5,5-0,1.344966,0.425337,3.162122,0.359340,0.635670,1.000000
medical_derma,5,5-1,0.997494,0.355430,2.806439,0.123354,0.411551,1.000000
medical_derma,5,5-2,0.570603,0.203555,2.803186,0.133353,0.268922,1.000000
medical_derma,5,5-3,1.504307,0.712038,2.112679,0.080625,0.381957,1.000000
medical_derma,5,5-4,0.727216,0.171161,4.248731,0.071431,0.463657,1.000000
medical_derma,5,5-6,1.869700,0.723917,2.582754,0.283340,0.688538,1.000000
natural_cifar_imbalanced,8,8-0,1.174984,0.815232,1.441287,-2.287299,0.063663,0.960200
natural_cifar_imbalanced,8,8-1,0.915266,0.711141,1.287038,-1.550948,-0.049698,0.937600
natural_cifar_imbalanced,8,8-2,1.166449,0.864195,1.349753,-1.340192,-0.014736,0.947000
natural_cifar_imbalanced,8,8-3,0.780737,0.696047,1.121672,-3.122090,-0.119339,0.917300
natural_cifar_imbalanced,8,8-4,1.213870,0.855696,1.418577,-2.487298,0.076138,0.963600
natural_cifar_imbalanced,8,8-5,1.141422,0.819769,1.392370,-1.759643,0.018989,0.953300
natural_cifar_imbalanced,8,8-6,2.383998,1.180558,2.019382,-0.106995,0.891041,0.999700
natural_cifar_imbalanced,8,8-7,2.540475,1.156069,2.197511,0.035809,1.055360,1.000000
natural_cifar_imbalanced,8,8-9,1.535806,1.024280,1.499401,-1.132782,0.169226,0.974100
