domain,dominant_class,compare,projection_mean,projection_std,projection_p05,projection_min,bias_delta,total_mean,total_std,total_mean_over_std,total_p05,total_min,pct_total_positive
medical_derma,5,5-0,1.364921,0.425337,0.655625,0.379295,-0.019955,1.344966,0.425337,3.162121,0.635670,0.359340,1.000000
medical_derma,5,5-1,1.019588,0.355431,0.433645,0.145448,-0.022094,0.997494,0.355431,2.806439,0.411551,0.123354,1.000000
medical_derma,5,5-2,0.566755,0.203555,0.265074,0.129505,0.003848,0.570603,0.203555,2.803186,0.268922,0.133353,1.000000
medical_derma,5,5-3,1.541164,0.712038,0.418814,0.117481,-0.036857,1.504307,0.712038,2.112680,0.381957,0.080625,1.000000
medical_derma,5,5-4,0.761412,0.171161,0.497853,0.105627,-0.034195,0.727216,0.171161,4.248730,0.463657,0.071431,1.000000
medical_derma,5,5-6,1.867584,0.723917,0.686422,0.281224,0.002116,1.869700,0.723917,2.582754,0.688538,0.283340,1.000000
natural_cifar_imbalanced,8,8-0,1.177760,0.815232,0.066439,-2.284523,-0.002776,1.174984,0.815232,1.441287,0.063663,-2.287299,0.960200
natural_cifar_imbalanced,8,8-1,0.979989,0.711141,0.015025,-1.486224,-0.064724,0.915266,0.711141,1.287037,-0.049698,-1.550948,0.937600
natural_cifar_imbalanced,8,8-2,1.183747,0.864194,0.002563,-1.322893,-0.017299,1.166449,0.864194,1.349753,-0.014736,-1.340192,0.947000
natural_cifar_imbalanced,8,8-3,0.826021,0.696047,-0.074054,-3.076805,-0.045285,0.780737,0.696047,1.121672,-0.119339,-3.122090,0.917300
natural_cifar_imbalanced,8,8-4,1.220576,0.855696,0.082844,-2.480592,-0.006706,1.213870,0.855696,1.418577,0.076138,-2.487298,0.963600
natural_cifar_imbalanced,8,8-5,1.161839,0.819769,0.039407,-1.739225,-0.020418,1.141422,0.819769,1.392370,0.018989,-1.759643,0.953300
natural_cifar_imbalanced,8,8-6,2.376163,1.180558,0.883207,-0.114829,0.007834,2.383998,1.180558,2.019382,0.891041,-0.106995,0.999700
natural_cifar_imbalanced,8,8-7,2.537573,1.156069,1.052459,0.032907,0.002902,2.540475,1.156069,2.197511,1.055360,0.035809,1.000000
natural_cifar_imbalanced,8,8-9,1.531149,1.024280,0.164569,-1.137439,0.004657,1.535806,1.024279,1.499401,0.169226,-1.132782,0.974100
