domain,stage,feature_dim,feature_norm_mean,feature_norm_std,feature_norm_cv,within_class_mse,between_centroid_mse,fisher_ratio,centroid_dist_mean,centroid_dist_min,nearest_centroid_acc,own_centroid_margin_mean,own_centroid_margin_p05,effective_rank
medical_derma,bn1,64,18.394760,1.027885,0.055879,6.158944,2.056063,0.333834,1.550473,0.272617,0.420948,-0.370898,-2.191833,2.344272
medical_derma,layer1,64,20.632364,0.185390,0.008985,4.103627,1.079489,0.263057,1.230821,0.479962,0.483791,-0.119287,-1.205564,6.550472
medical_derma,layer2,128,18.359495,0.370051,0.020156,8.991541,2.022502,0.224934,1.817515,0.884739,0.408479,-0.247059,-1.440693,11.029681
medical_derma,layer3,256,20.490559,0.430669,0.021018,25.238754,5.474797,0.216920,3.009469,1.747293,0.429426,-0.183771,-1.512826,21.386566
medical_derma,layer4,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
medical_derma,global_pool,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
medical_derma,classifier_input,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
natural_cifar_imbalanced,bn1,64,17.017504,0.773780,0.045470,12.477833,2.164447,0.173463,1.893626,0.361808,0.224600,-0.659437,-2.573881,2.446746
natural_cifar_imbalanced,layer1,64,23.882740,0.784442,0.032846,23.317595,3.998608,0.171485,2.836665,0.742487,0.444700,-0.135548,-1.173570,21.313923
natural_cifar_imbalanced,layer2,128,20.104889,3.711835,0.184623,73.420235,6.411957,0.087332,3.667352,1.623026,0.528500,-0.017895,-1.013620,35.495064
natural_cifar_imbalanced,layer3,256,25.157511,2.892395,0.114971,238.770554,15.865511,0.066447,5.824103,3.063729,0.498800,-0.043818,-1.394022,109.482483
natural_cifar_imbalanced,layer4,512,17.123440,5.880714,0.343431,287.752075,7.801459,0.027112,4.090577,2.006425,0.398200,-0.158102,-1.061636,237.550751
natural_cifar_imbalanced,global_pool,512,17.123440,5.880714,0.343431,287.752075,7.801459,0.027112,4.090577,2.006425,0.398200,-0.158102,-1.061636,237.550751
natural_cifar_imbalanced,classifier_input,512,17.123440,5.880714,0.343431,287.752075,7.801459,0.027112,4.090577,2.006425,0.398200,-0.158102,-1.061636,237.550751
