domain,stage,pair,relation,cka,num_samples,feature_dim
medical_derma,bn1,client_0-client_1,client-client,0.996299,2000,64
medical_derma,bn1,client_0-client_2,client-client,0.990582,2000,64
medical_derma,bn1,client_0-avg,client-avg,0.995897,2000,64
medical_derma,bn1,client_1-client_2,client-client,0.997046,2000,64
medical_derma,bn1,client_1-avg,client-avg,0.999339,2000,64
medical_derma,bn1,client_2-avg,client-avg,0.998351,2000,64
medical_derma,layer1,client_0-client_1,client-client,0.903642,2000,64
medical_derma,layer1,client_0-client_2,client-client,0.847788,2000,64
medical_derma,layer1,client_0-avg,client-avg,0.917622,2000,64
medical_derma,layer1,client_1-client_2,client-client,0.776308,2000,64
medical_derma,layer1,client_1-avg,client-avg,0.900504,2000,64
medical_derma,layer1,client_2-avg,client-avg,0.829952,2000,64
medical_derma,layer2,client_0-client_1,client-client,0.871447,2000,128
medical_derma,layer2,client_0-client_2,client-client,0.756666,2000,128
medical_derma,layer2,client_0-avg,client-avg,0.816381,2000,128
medical_derma,layer2,client_1-client_2,client-client,0.774059,2000,128
medical_derma,layer2,client_1-avg,client-avg,0.752756,2000,128
medical_derma,layer2,client_2-avg,client-avg,0.617830,2000,128
medical_derma,layer3,client_0-client_1,client-client,0.644261,2000,256
medical_derma,layer3,client_0-client_2,client-client,0.606262,2000,256
medical_derma,layer3,client_0-avg,client-avg,0.630559,2000,256
medical_derma,layer3,client_1-client_2,client-client,0.622460,2000,256
medical_derma,layer3,client_1-avg,client-avg,0.382333,2000,256
medical_derma,layer3,client_2-avg,client-avg,0.464338,2000,256
medical_derma,layer4,client_0-client_1,client-client,0.429233,2000,512
medical_derma,layer4,client_0-client_2,client-client,0.314527,2000,512
medical_derma,layer4,client_0-avg,client-avg,0.317541,2000,512
medical_derma,layer4,client_1-client_2,client-client,0.206014,2000,512
medical_derma,layer4,client_1-avg,client-avg,0.243855,2000,512
medical_derma,layer4,client_2-avg,client-avg,0.493258,2000,512
medical_derma,classifier_input,client_0-client_1,client-client,0.429233,2000,512
medical_derma,classifier_input,client_0-client_2,client-client,0.314527,2000,512
medical_derma,classifier_input,client_0-avg,client-avg,0.317541,2000,512
medical_derma,classifier_input,client_1-client_2,client-client,0.206014,2000,512
medical_derma,classifier_input,client_1-avg,client-avg,0.243855,2000,512
medical_derma,classifier_input,client_2-avg,client-avg,0.493258,2000,512
natural_cifar_3client,bn1,client_0-client_1,client-client,0.997919,2000,64
natural_cifar_3client,bn1,client_0-client_2,client-client,0.989215,2000,64
natural_cifar_3client,bn1,client_0-avg,client-avg,0.999282,2000,64
natural_cifar_3client,bn1,client_1-client_2,client-client,0.990077,2000,64
natural_cifar_3client,bn1,client_1-avg,client-avg,0.998759,2000,64
natural_cifar_3client,bn1,client_2-avg,client-avg,0.993628,2000,64
natural_cifar_3client,layer1,client_0-client_1,client-client,0.804339,2000,64
natural_cifar_3client,layer1,client_0-client_2,client-client,0.834451,2000,64
natural_cifar_3client,layer1,client_0-avg,client-avg,0.908035,2000,64
natural_cifar_3client,layer1,client_1-client_2,client-client,0.873045,2000,64
natural_cifar_3client,layer1,client_1-avg,client-avg,0.948218,2000,64
natural_cifar_3client,layer1,client_2-avg,client-avg,0.907920,2000,64
natural_cifar_3client,layer2,client_0-client_1,client-client,0.184370,2000,128
natural_cifar_3client,layer2,client_0-client_2,client-client,0.406602,2000,128
natural_cifar_3client,layer2,client_0-avg,client-avg,0.375466,2000,128
natural_cifar_3client,layer2,client_1-client_2,client-client,0.110031,2000,128
natural_cifar_3client,layer2,client_1-avg,client-avg,0.535278,2000,128
natural_cifar_3client,layer2,client_2-avg,client-avg,0.596622,2000,128
natural_cifar_3client,layer3,client_0-client_1,client-client,0.311979,2000,256
natural_cifar_3client,layer3,client_0-client_2,client-client,0.520792,2000,256
natural_cifar_3client,layer3,client_0-avg,client-avg,0.753344,2000,256
natural_cifar_3client,layer3,client_1-client_2,client-client,0.261075,2000,256
natural_cifar_3client,layer3,client_1-avg,client-avg,0.447704,2000,256
natural_cifar_3client,layer3,client_2-avg,client-avg,0.692178,2000,256
natural_cifar_3client,layer4,client_0-client_1,client-client,0.293030,2000,512
natural_cifar_3client,layer4,client_0-client_2,client-client,0.227877,2000,512
natural_cifar_3client,layer4,client_0-avg,client-avg,0.521975,2000,512
natural_cifar_3client,layer4,client_1-client_2,client-client,0.198919,2000,512
natural_cifar_3client,layer4,client_1-avg,client-avg,0.441422,2000,512
natural_cifar_3client,layer4,client_2-avg,client-avg,0.411083,2000,512
natural_cifar_3client,classifier_input,client_0-client_1,client-client,0.293030,2000,512
natural_cifar_3client,classifier_input,client_0-client_2,client-client,0.227877,2000,512
natural_cifar_3client,classifier_input,client_0-avg,client-avg,0.521975,2000,512
natural_cifar_3client,classifier_input,client_1-client_2,client-client,0.198919,2000,512
natural_cifar_3client,classifier_input,client_1-avg,client-avg,0.441422,2000,512
natural_cifar_3client,classifier_input,client_2-avg,client-avg,0.411083,2000,512
