domain,head_source,head_seen_classes,feature_source,is_own_feature,is_avg_feature,local_test_samples,accuracy_on_seen_samples,local_seen_balanced_accuracy,collapse_ratio,effective_pred_classes,top_class,seen_pred_fraction,seen_class_recalls,pred_counts
medical_derma,client_0,"[3, 4, 0]",client_0,1,0,312,0.137821,0.371565,0.849359,3,3,1.000000,"{""3"": 0.9565217391304348, ""4"": 0.06726457399103139, ""0"": 0.09090909090909091}","[31, 0, 0, 265, 16, 0, 0]"
medical_derma,client_0,"[3, 4, 0]",client_1,0,0,312,0.714744,0.333333,1.000000,1,4,1.000000,"{""3"": 0.0, ""4"": 1.0, ""0"": 0.0}","[0, 0, 0, 0, 312, 0, 0]"
medical_derma,client_0,"[3, 4, 0]",client_2,0,0,312,0.714744,0.333333,1.000000,1,4,1.000000,"{""3"": 0.0, ""4"": 1.0, ""0"": 0.0}","[0, 0, 0, 0, 312, 0, 0]"
medical_derma,client_0,"[3, 4, 0]",avg,0,1,312,0.708333,0.408332,0.939103,3,4,1.000000,"{""3"": 0.2608695652173913, ""4"": 0.9641255605381166, ""0"": 0.0}","[2, 0, 0, 17, 293, 0, 0]"
medical_derma,client_1,"[2, 1]",client_0,0,0,323,0.681115,0.500000,1.000000,1,2,1.000000,"{""2"": 1.0, ""1"": 0.0}","[0, 0, 323, 0, 0, 0, 0]"
medical_derma,client_1,"[2, 1]",client_1,1,0,323,0.411765,0.560437,0.888545,2,1,1.000000,"{""2"": 0.15, ""1"": 0.970873786407767}","[0, 287, 36, 0, 0, 0, 0]"
medical_derma,client_1,"[2, 1]",client_2,0,0,323,0.609907,0.548411,0.687307,2,2,1.000000,"{""2"": 0.7181818181818181, ""1"": 0.3786407766990291}","[0, 101, 222, 0, 0, 0, 0]"
medical_derma,client_1,"[2, 1]",avg,0,1,323,0.702786,0.533981,0.978328,2,2,1.000000,"{""2"": 1.0, ""1"": 0.06796116504854369}","[0, 7, 316, 0, 0, 0, 0]"
medical_derma,client_2,"[6, 5]",client_0,0,0,1370,0.978832,0.500000,1.000000,1,5,1.000000,"{""6"": 0.0, ""5"": 1.0}","[0, 0, 0, 0, 0, 1370, 0]"
medical_derma,client_2,"[6, 5]",client_1,0,0,1370,0.978832,0.500000,1.000000,1,5,1.000000,"{""6"": 0.0, ""5"": 1.0}","[0, 0, 0, 0, 0, 1370, 0]"
medical_derma,client_2,"[6, 5]",client_2,1,0,1370,0.844526,0.735028,0.839416,2,5,1.000000,"{""6"": 0.6206896551724138, ""5"": 0.8493661446681581}","[0, 0, 0, 0, 0, 1150, 220]"
medical_derma,client_2,"[6, 5]",avg,0,1,1370,0.978832,0.500000,1.000000,1,5,1.000000,"{""6"": 0.0, ""5"": 1.0}","[0, 0, 0, 0, 0, 1370, 0]"
natural_cifar_3client,client_0,"[0, 1, 2]",client_0,1,0,3000,0.767333,0.767333,0.394000,3,1,1.000000,"{""0"": 0.696, ""1"": 0.896, ""2"": 0.71}","[918, 1182, 900, 0, 0, 0, 0, 0, 0, 0]"
