domain,feature_source,head_source,is_matched_client,is_avg_avg,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_class,mean_top1_top2_margin,pred_counts
medical_derma,client_0,client_0,1,0,0.021446,0.159242,0.026506,0.895262,3,3,1.875756,"[148, 0, 0, 1795, 62, 0, 0]"
medical_derma,client_0,client_1,0,0,0.109726,0.142857,0.028289,0.998504,2,2,0.819355,"[0, 3, 2002, 0, 0, 0, 0]"
medical_derma,client_0,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,3.893602,"[0, 0, 0, 0, 0, 2005, 0]"
medical_derma,client_0,avg,0,0,0.172070,0.164951,0.054089,0.747631,3,3,0.317887,"[0, 0, 0, 1499, 1, 505, 0]"
medical_derma,client_1,client_0,0,0,0.111222,0.142857,0.028597,1.000000,1,4,2.382034,"[0, 0, 0, 0, 2005, 0, 0]"
medical_derma,client_1,client_1,1,0,0.066334,0.160125,0.030673,0.634414,2,1,2.473911,"[0, 1272, 733, 0, 0, 0, 0]"
medical_derma,client_1,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,6.140006,"[0, 0, 0, 0, 0, 2005, 0]"
medical_derma,client_1,avg,0,0,0.399002,0.215049,0.123046,0.437905,3,1,0.234875,"[0, 878, 258, 0, 0, 869, 0]"
medical_derma,client_2,client_0,0,0,0.111222,0.142857,0.028597,1.000000,1,4,2.408317,"[0, 0, 0, 0, 2005, 0, 0]"
medical_derma,client_2,client_1,0,0,0.098254,0.156689,0.052965,0.865337,2,2,0.840457,"[0, 270, 1735, 0, 0, 0, 0]"
medical_derma,client_2,client_2,1,0,0.577057,0.210008,0.122725,0.788529,2,5,5.286525,"[0, 0, 0, 0, 0, 1581, 424]"
medical_derma,client_2,avg,0,0,0.600499,0.200556,0.124575,0.835411,2,5,0.590376,"[0, 0, 0, 0, 0, 1675, 330]"
medical_derma,avg,client_0,0,0,0.110224,0.174999,0.042231,0.943641,3,4,1.707048,"[6, 0, 0, 107, 1892, 0, 0]"
medical_derma,avg,client_1,0,0,0.113217,0.152566,0.045658,0.993516,2,2,1.600211,"[0, 13, 1992, 0, 0, 0, 0]"
medical_derma,avg,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,5.478578,"[0, 0, 0, 0, 0, 2005, 0]"
medical_derma,avg,avg,0,1,0.668828,0.142857,0.114508,1.000000,1,5,0.539030,"[0, 0, 0, 0, 0, 2005, 0]"
natural_cifar_3client,client_0,client_0,1,0,0.230200,0.230200,0.108822,0.397900,3,2,1.170211,"[2267, 3754, 3979, 0, 0, 0, 0, 0, 0, 0]"
natural_cifar_3client,client_0,client_1,0,0,0.114800,0.114800,0.052654,0.500100,3,3,0.478531,"[0, 0, 0, 5001, 2298, 2701, 0, 0, 0, 0]"
natural_cifar_3client,client_0,client_2,0,0,0.100100,0.100100,0.018399,0.998800,2,8,4.191567,"[0, 0, 0, 0, 0, 0, 0, 0, 9988, 12]"
natural_cifar_3client,client_0,avg,0,0,0.182400,0.182400,0.136258,0.521200,8,8,0.411844,"[1164, 1429, 1382, 495, 68, 217, 0, 0, 5212, 33]"
natural_cifar_3client,client_1,client_0,0,0,0.152000,0.152000,0.070048,0.370100,3,2,0.515964,"[2976, 3323, 3701, 0, 0, 0, 0, 0, 0, 0]"
natural_cifar_3client,client_1,client_1,1,0,0.177300,0.177300,0.082667,0.418900,3,4,0.768943,"[0, 0, 0, 4045, 4189, 1766, 0, 0, 0, 0]"
natural_cifar_3client,client_1,client_2,0,0,0.100000,0.100000,0.018190,0.999500,2,8,4.291910,"[0, 0, 0, 0, 0, 0, 0, 0, 9995, 5]"
natural_cifar_3client,client_1,avg,0,0,0.134200,0.134200,0.099597,0.540700,8,8,0.399321,"[231, 331, 358, 1449, 1726, 439, 0, 0, 5407, 59]"
natural_cifar_3client,client_2,client_0,0,0,0.153000,0.153000,0.070486,0.431200,3,2,0.756508,"[2222, 3466, 4312, 0, 0, 0, 0, 0, 0, 0]"
natural_cifar_3client,client_2,client_1,0,0,0.119400,0.119400,0.055090,0.409500,3,3,0.663667,"[0, 0, 0, 4095, 2405, 3500, 0, 0, 0, 0]"
natural_cifar_3client,client_2,client_2,1,0,0.115500,0.115500,0.038890,0.941700,2,8,5.211240,"[0, 0, 0, 0, 0, 0, 0, 0, 9417, 583]"
natural_cifar_3client,client_2,avg,0,0,0.141900,0.141900,0.060682,0.752800,8,8,1.029870,"[65, 96, 64, 153, 30, 86, 0, 0, 7528, 1978]"
natural_cifar_3client,avg,client_0,0,0,0.191900,0.191900,0.088190,0.438600,3,1,0.725054,"[2385, 4386, 3229, 0, 0, 0, 0, 0, 0, 0]"
natural_cifar_3client,avg,client_1,0,0,0.144400,0.144400,0.065923,0.485500,3,3,0.601764,"[0, 0, 0, 4855, 3039, 2106, 0, 0, 0, 0]"
natural_cifar_3client,avg,client_2,0,0,0.099800,0.099800,0.018165,0.998800,2,8,4.336172,"[0, 0, 0, 0, 0, 0, 0, 0, 9988, 12]"
natural_cifar_3client,avg,avg,0,1,0.110500,0.110500,0.070777,0.781000,8,8,0.517689,"[254, 421, 329, 593, 210, 235, 0, 0, 7810, 148]"
