domain,group,pair,cosine,delta_norm_i,delta_norm_j,num_params
medical_derma,bn_affine,client_0-client_1,0.273194,1.641049,1.412338,7808
medical_derma,bn_affine,client_0-client_2,0.262266,1.641049,2.274355,7808
medical_derma,bn_affine,client_1-client_2,0.257049,1.412338,2.274355,7808
medical_derma,bn_running_stats,client_0-client_1,0.737558,10443.513672,9604.548828,9600
medical_derma,bn_running_stats,client_0-client_2,0.552800,10443.513672,18472.375000,9600
medical_derma,bn_running_stats,client_1-client_2,0.532317,9604.548828,18472.375000,9600
medical_derma,classifier,client_0-client_1,-0.091116,1.376071,2.538073,3591
medical_derma,classifier,client_0-client_2,0.010224,1.376071,2.743364,3591
medical_derma,classifier,client_1-client_2,0.402058,2.538073,2.743364,3591
medical_derma,layer1,client_0-client_1,0.038416,4.894194,4.215014,147456
medical_derma,layer1,client_0-client_2,0.044157,4.894194,8.325092,147456
medical_derma,layer1,client_1-client_2,0.022351,4.215014,8.325092,147456
medical_derma,layer2,client_0-client_1,0.024570,10.731400,8.852932,524544
medical_derma,layer2,client_0-client_2,0.034682,10.731400,17.095076,524544
medical_derma,layer2,client_1-client_2,0.020921,8.852932,17.095076,524544
medical_derma,layer3,client_0-client_1,0.033776,22.833614,18.282721,2097664
medical_derma,layer3,client_0-client_2,0.026928,22.833614,33.995884,2097664
medical_derma,layer3,client_1-client_2,0.031256,18.282721,33.995884,2097664
medical_derma,layer4,client_0-client_1,0.026520,46.738731,37.387867,8389632
medical_derma,layer4,client_0-client_2,0.031798,46.738731,56.018520,8389632
medical_derma,layer4,client_1-client_2,0.034611,37.387867,56.018520,8389632
medical_derma,stem_conv,client_0-client_1,0.201573,0.702621,0.700942,9408
medical_derma,stem_conv,client_0-client_2,0.158926,0.702621,1.500396,9408
medical_derma,stem_conv,client_1-client_2,0.022994,0.700942,1.500396,9408
natural_cifar_3client,bn_affine,client_0-client_1,0.443589,1.232393,1.185908,7808
natural_cifar_3client,bn_affine,client_0-client_2,0.586573,1.232393,3.356850,7808
natural_cifar_3client,bn_affine,client_1-client_2,0.575935,1.185908,3.356850,7808
natural_cifar_3client,bn_running_stats,client_0-client_1,0.981975,16929.746094,18094.296875,9600
natural_cifar_3client,bn_running_stats,client_0-client_2,0.985352,16929.746094,19318.007812,9600
natural_cifar_3client,bn_running_stats,client_1-client_2,0.987821,18094.296875,19318.007812,9600
natural_cifar_3client,classifier,client_0-client_1,0.057997,1.460818,1.439062,5130
natural_cifar_3client,classifier,client_0-client_2,0.305898,1.460818,2.083167,5130
natural_cifar_3client,classifier,client_1-client_2,0.295858,1.439062,2.083167,5130
natural_cifar_3client,layer1,client_0-client_1,0.099156,2.463732,2.399070,147456
natural_cifar_3client,layer1,client_0-client_2,0.220152,2.463732,3.932303,147456
natural_cifar_3client,layer1,client_1-client_2,0.214171,2.399070,3.932303,147456
natural_cifar_3client,layer2,client_0-client_1,0.113397,5.089501,5.081643,524544
natural_cifar_3client,layer2,client_0-client_2,0.250682,5.089501,8.881620,524544
natural_cifar_3client,layer2,client_1-client_2,0.278796,5.081643,8.881620,524544
natural_cifar_3client,layer3,client_0-client_1,0.495748,14.422060,14.121466,2097664
natural_cifar_3client,layer3,client_0-client_2,0.658281,14.422060,41.803276,2097664
natural_cifar_3client,layer3,client_1-client_2,0.643616,14.121466,41.803276,2097664
natural_cifar_3client,layer4,client_0-client_1,0.984168,78.991936,78.824768,8389632
natural_cifar_3client,layer4,client_0-client_2,0.949539,78.991936,236.340424,8389632
natural_cifar_3client,layer4,client_1-client_2,0.949240,78.824768,236.340424,8389632
natural_cifar_3client,stem_conv,client_0-client_1,-0.064616,0.515688,0.442122,9408
natural_cifar_3client,stem_conv,client_0-client_2,0.020540,0.515688,0.705162,9408
natural_cifar_3client,stem_conv,client_1-client_2,0.057073,0.442122,0.705162,9408
