domain,stage,pair,relation,cka,num_samples,feature_dim
medical_derma,bn1,client_0-client_1,client-client,0.996299,2000,64
medical_derma,bn1,client_0-client_2,client-client,0.990582,2000,64
medical_derma,bn1,client_0-avg,client-avg,0.995897,2000,64
medical_derma,bn1,client_1-client_2,client-client,0.997046,2000,64
medical_derma,bn1,client_1-avg,client-avg,0.999339,2000,64
medical_derma,bn1,client_2-avg,client-avg,0.998351,2000,64
medical_derma,layer1,client_0-client_1,client-client,0.903642,2000,64
medical_derma,layer1,client_0-client_2,client-client,0.847788,2000,64
medical_derma,layer1,client_0-avg,client-avg,0.917622,2000,64
medical_derma,layer1,client_1-client_2,client-client,0.776308,2000,64
medical_derma,layer1,client_1-avg,client-avg,0.900504,2000,64
medical_derma,layer1,client_2-avg,client-avg,0.829952,2000,64
medical_derma,layer2,client_0-client_1,client-client,0.871447,2000,128
medical_derma,layer2,client_0-client_2,client-client,0.756666,2000,128
medical_derma,layer2,client_0-avg,client-avg,0.816381,2000,128
medical_derma,layer2,client_1-client_2,client-client,0.774059,2000,128
medical_derma,layer2,client_1-avg,client-avg,0.752756,2000,128
medical_derma,layer2,client_2-avg,client-avg,0.617830,2000,128
medical_derma,layer3,client_0-client_1,client-client,0.644261,2000,256
medical_derma,layer3,client_0-client_2,client-client,0.606262,2000,256
medical_derma,layer3,client_0-avg,client-avg,0.630559,2000,256
medical_derma,layer3,client_1-client_2,client-client,0.622460,2000,256
medical_derma,layer3,client_1-avg,client-avg,0.382333,2000,256
medical_derma,layer3,client_2-avg,client-avg,0.464338,2000,256
medical_derma,layer4,client_0-client_1,client-client,0.429233,2000,512
medical_derma,layer4,client_0-client_2,client-client,0.314527,2000,512
medical_derma,layer4,client_0-avg,client-avg,0.317541,2000,512
medical_derma,layer4,client_1-client_2,client-client,0.206014,2000,512
medical_derma,layer4,client_1-avg,client-avg,0.243855,2000,512
medical_derma,layer4,client_2-avg,client-avg,0.493258,2000,512
medical_derma,classifier_input,client_0-client_1,client-client,0.429233,2000,512
medical_derma,classifier_input,client_0-client_2,client-client,0.314527,2000,512
medical_derma,classifier_input,client_0-avg,client-avg,0.317541,2000,512
medical_derma,classifier_input,client_1-client_2,client-client,0.206014,2000,512
medical_derma,classifier_input,client_1-avg,client-avg,0.243855,2000,512
medical_derma,classifier_input,client_2-avg,client-avg,0.493258,2000,512
natural_cifar_3client,bn1,client_0-client_1,client-client,0.997369,2000,64
natural_cifar_3client,bn1,client_0-client_2,client-client,0.967633,2000,64
natural_cifar_3client,bn1,client_0-avg,client-avg,0.996647,2000,64
natural_cifar_3client,bn1,client_1-client_2,client-client,0.981499,2000,64
natural_cifar_3client,bn1,client_1-avg,client-avg,0.997942,2000,64
natural_cifar_3client,bn1,client_2-avg,client-avg,0.981484,2000,64
natural_cifar_3client,layer1,client_0-client_1,client-client,0.698384,2000,64
natural_cifar_3client,layer1,client_0-client_2,client-client,0.797223,2000,64
natural_cifar_3client,layer1,client_0-avg,client-avg,0.848351,2000,64
natural_cifar_3client,layer1,client_1-client_2,client-client,0.863476,2000,64
natural_cifar_3client,layer1,client_1-avg,client-avg,0.850765,2000,64
natural_cifar_3client,layer1,client_2-avg,client-avg,0.859755,2000,64
natural_cifar_3client,layer2,client_0-client_1,client-client,0.742183,2000,128
natural_cifar_3client,layer2,client_0-client_2,client-client,0.764250,2000,128
natural_cifar_3client,layer2,client_0-avg,client-avg,0.834563,2000,128
natural_cifar_3client,layer2,client_1-client_2,client-client,0.764666,2000,128
natural_cifar_3client,layer2,client_1-avg,client-avg,0.790214,2000,128
natural_cifar_3client,layer2,client_2-avg,client-avg,0.818562,2000,128
natural_cifar_3client,layer3,client_0-client_1,client-client,0.745619,2000,256
natural_cifar_3client,layer3,client_0-client_2,client-client,0.592501,2000,256
natural_cifar_3client,layer3,client_0-avg,client-avg,0.793672,2000,256
natural_cifar_3client,layer3,client_1-client_2,client-client,0.613261,2000,256
natural_cifar_3client,layer3,client_1-avg,client-avg,0.778131,2000,256
natural_cifar_3client,layer3,client_2-avg,client-avg,0.765562,2000,256
natural_cifar_3client,layer4,client_0-client_1,client-client,0.187761,2000,512
natural_cifar_3client,layer4,client_0-client_2,client-client,0.126807,2000,512
natural_cifar_3client,layer4,client_0-avg,client-avg,0.361930,2000,512
natural_cifar_3client,layer4,client_1-client_2,client-client,0.116492,2000,512
natural_cifar_3client,layer4,client_1-avg,client-avg,0.457493,2000,512
natural_cifar_3client,layer4,client_2-avg,client-avg,0.363456,2000,512
natural_cifar_3client,classifier_input,client_0-client_1,client-client,0.187761,2000,512
natural_cifar_3client,classifier_input,client_0-client_2,client-client,0.126807,2000,512
natural_cifar_3client,classifier_input,client_0-avg,client-avg,0.361930,2000,512
natural_cifar_3client,classifier_input,client_1-client_2,client-client,0.116492,2000,512
natural_cifar_3client,classifier_input,client_1-avg,client-avg,0.457493,2000,512
natural_cifar_3client,classifier_input,client_2-avg,client-avg,0.363456,2000,512
