domain,feature_source,head_source,is_matched_client,is_avg_avg,accuracy,balanced_accuracy,macro_f1,collapse_ratio,effective_pred_classes,top_class,mean_top1_top2_margin,pred_counts
medical_derma,client_0,client_0,1,0,0.021446,0.159242,0.026506,0.895262,3,3,1.875756,"[148, 0, 0, 1795, 62, 0, 0]"
medical_derma,client_0,client_1,0,0,0.109726,0.142857,0.028289,0.998504,2,2,0.819355,"[0, 3, 2002, 0, 0, 0, 0]"
medical_derma,client_0,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,3.893602,"[0, 0, 0, 0, 0, 2005, 0]"
medical_derma,client_0,avg,0,0,0.172070,0.164951,0.054089,0.747631,3,3,0.317887,"[0, 0, 0, 1499, 1, 505, 0]"
medical_derma,client_1,client_0,0,0,0.111222,0.142857,0.028597,1.000000,1,4,2.382034,"[0, 0, 0, 0, 2005, 0, 0]"
medical_derma,client_1,client_1,1,0,0.066334,0.160125,0.030673,0.634414,2,1,2.473911,"[0, 1272, 733, 0, 0, 0, 0]"
medical_derma,client_1,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,6.140006,"[0, 0, 0, 0, 0, 2005, 0]"
medical_derma,client_1,avg,0,0,0.399002,0.215049,0.123046,0.437905,3,1,0.234875,"[0, 878, 258, 0, 0, 869, 0]"
medical_derma,client_2,client_0,0,0,0.111222,0.142857,0.028597,1.000000,1,4,2.408317,"[0, 0, 0, 0, 2005, 0, 0]"
medical_derma,client_2,client_1,0,0,0.098254,0.156689,0.052965,0.865337,2,2,0.840457,"[0, 270, 1735, 0, 0, 0, 0]"
medical_derma,client_2,client_2,1,0,0.577057,0.210008,0.122725,0.788529,2,5,5.286525,"[0, 0, 0, 0, 0, 1581, 424]"
medical_derma,client_2,avg,0,0,0.600499,0.200556,0.124575,0.835411,2,5,0.590376,"[0, 0, 0, 0, 0, 1675, 330]"
medical_derma,avg,client_0,0,0,0.110224,0.174999,0.042231,0.943641,3,4,1.707048,"[6, 0, 0, 107, 1892, 0, 0]"
medical_derma,avg,client_1,0,0,0.113217,0.152566,0.045658,0.993516,2,2,1.600211,"[0, 13, 1992, 0, 0, 0, 0]"
medical_derma,avg,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,5.478578,"[0, 0, 0, 0, 0, 2005, 0]"
medical_derma,avg,avg,0,1,0.668828,0.142857,0.114508,1.000000,1,5,0.539030,"[0, 0, 0, 0, 0, 2005, 0]"
natural_cifar_3client,client_0,client_0,1,0,0.144140,0.358081,0.117287,0.477805,3,4,5.675663,"[199, 0, 0, 848, 958, 0, 0]"
natural_cifar_3client,client_0,client_1,0,0,0.109726,0.142857,0.028263,0.999501,2,2,1.969423,"[0, 1, 2004, 0, 0, 0, 0]"
natural_cifar_3client,client_0,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,7.620717,"[0, 0, 0, 0, 0, 2005, 0]"
natural_cifar_3client,client_0,avg,0,0,0.214963,0.378088,0.159340,0.460349,4,3,1.549298,"[202, 0, 0, 923, 680, 200, 0]"
natural_cifar_3client,client_1,client_0,0,0,0.111222,0.142857,0.028597,1.000000,1,4,7.016290,"[0, 0, 0, 0, 2005, 0, 0]"
natural_cifar_3client,client_1,client_1,1,0,0.161097,0.285714,0.144004,0.922195,2,2,6.260769,"[0, 156, 1849, 0, 0, 0, 0]"
natural_cifar_3client,client_1,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,9.820363,"[0, 0, 0, 0, 0, 2005, 0]"
natural_cifar_3client,client_1,avg,0,0,0.554613,0.335552,0.274801,0.535162,4,5,0.373177,"[0, 128, 781, 0, 23, 1073, 0]"
natural_cifar_3client,client_2,client_0,0,0,0.108229,0.140537,0.030986,0.983042,2,4,4.291371,"[34, 0, 0, 0, 1971, 0, 0]"
natural_cifar_3client,client_2,client_1,0,0,0.109726,0.142857,0.028250,1.000000,1,2,1.984760,"[0, 0, 2005, 0, 0, 0, 0]"
natural_cifar_3client,client_2,client_2,1,0,0.674314,0.250060,0.165122,0.949127,2,5,8.252595,"[0, 0, 0, 0, 0, 1903, 102]"
natural_cifar_3client,client_2,avg,0,0,0.662344,0.257142,0.148371,0.900249,2,5,1.622839,"[0, 0, 0, 0, 0, 1805, 200]"
natural_cifar_3client,avg,client_0,0,0,0.111721,0.145022,0.032776,0.998504,2,4,4.250781,"[3, 0, 0, 0, 2002, 0, 0]"
natural_cifar_3client,avg,client_1,0,0,0.139651,0.226075,0.127154,0.964090,2,2,1.961462,"[0, 72, 1933, 0, 0, 0, 0]"
natural_cifar_3client,avg,client_2,0,0,0.668828,0.142857,0.114508,1.000000,1,5,6.665780,"[0, 0, 0, 0, 0, 2005, 0]"
natural_cifar_3client,avg,avg,0,1,0.699252,0.191548,0.174710,0.906733,2,5,0.357434,"[0, 0, 0, 0, 187, 1818, 0]"
