domain,group,pair,cosine,delta_norm_i,delta_norm_j,num_params
medical_derma,bn_affine,client_0-client_1,0.273194,1.641049,1.412338,7808
medical_derma,bn_affine,client_0-client_2,0.262266,1.641049,2.274355,7808
medical_derma,bn_affine,client_1-client_2,0.257049,1.412338,2.274355,7808
medical_derma,bn_running_stats,client_0-client_1,0.737558,10443.513672,9604.548828,9600
medical_derma,bn_running_stats,client_0-client_2,0.552800,10443.513672,18472.375000,9600
medical_derma,bn_running_stats,client_1-client_2,0.532317,9604.548828,18472.375000,9600
medical_derma,classifier,client_0-client_1,-0.091116,1.376071,2.538073,3591
medical_derma,classifier,client_0-client_2,0.010224,1.376071,2.743364,3591
medical_derma,classifier,client_1-client_2,0.402058,2.538073,2.743364,3591
medical_derma,layer1,client_0-client_1,0.038416,4.894194,4.215014,147456
medical_derma,layer1,client_0-client_2,0.044157,4.894194,8.325092,147456
medical_derma,layer1,client_1-client_2,0.022351,4.215014,8.325092,147456
medical_derma,layer2,client_0-client_1,0.024570,10.731400,8.852932,524544
medical_derma,layer2,client_0-client_2,0.034682,10.731400,17.095076,524544
medical_derma,layer2,client_1-client_2,0.020921,8.852932,17.095076,524544
medical_derma,layer3,client_0-client_1,0.033776,22.833614,18.282721,2097664
medical_derma,layer3,client_0-client_2,0.026928,22.833614,33.995884,2097664
medical_derma,layer3,client_1-client_2,0.031256,18.282721,33.995884,2097664
medical_derma,layer4,client_0-client_1,0.026520,46.738731,37.387867,8389632
medical_derma,layer4,client_0-client_2,0.031798,46.738731,56.018520,8389632
medical_derma,layer4,client_1-client_2,0.034611,37.387867,56.018520,8389632
medical_derma,stem_conv,client_0-client_1,0.201573,0.702621,0.700942,9408
medical_derma,stem_conv,client_0-client_2,0.158926,0.702621,1.500396,9408
medical_derma,stem_conv,client_1-client_2,0.022994,0.700942,1.500396,9408
natural_cifar_3client,bn_affine,client_0-client_1,0.906467,23.110622,4.993638,7808
natural_cifar_3client,bn_affine,client_0-client_2,0.941186,23.110622,31.827860,7808
natural_cifar_3client,bn_affine,client_1-client_2,0.915470,4.993638,31.827860,7808
natural_cifar_3client,bn_running_stats,client_0-client_1,0.910265,22275.984375,13721.642578,9600
natural_cifar_3client,bn_running_stats,client_0-client_2,0.992483,22275.984375,23808.105469,9600
natural_cifar_3client,bn_running_stats,client_1-client_2,0.894345,13721.642578,23808.105469,9600
natural_cifar_3client,classifier,client_0-client_1,0.079008,1.795564,1.215048,3591
natural_cifar_3client,classifier,client_0-client_2,0.196503,1.795564,1.793029,3591
natural_cifar_3client,classifier,client_1-client_2,0.216089,1.215048,1.793029,3591
natural_cifar_3client,layer1,client_0-client_1,0.794538,24.667942,7.413823,147456
natural_cifar_3client,layer1,client_0-client_2,0.911974,24.667942,36.436729,147456
natural_cifar_3client,layer1,client_1-client_2,0.794120,7.413823,36.436729,147456
natural_cifar_3client,layer2,client_0-client_1,0.901524,70.344635,23.680023,524544
natural_cifar_3client,layer2,client_0-client_2,0.953857,70.344635,98.086212,524544
natural_cifar_3client,layer2,client_1-client_2,0.899069,23.680023,98.086212,524544
natural_cifar_3client,layer3,client_0-client_1,0.949703,201.809082,80.459351,2097664
natural_cifar_3client,layer3,client_0-client_2,0.976098,201.809082,257.325104,2097664
natural_cifar_3client,layer3,client_1-client_2,0.949266,80.459351,257.325104,2097664
natural_cifar_3client,layer4,client_0-client_1,0.947642,507.230591,234.321487,8389632
natural_cifar_3client,layer4,client_0-client_2,0.993916,507.230591,542.153931,8389632
natural_cifar_3client,layer4,client_1-client_2,0.940307,234.321487,542.153931,8389632
natural_cifar_3client,stem_conv,client_0-client_1,0.664667,3.306072,0.945715,9408
natural_cifar_3client,stem_conv,client_0-client_2,0.867669,3.306072,4.277611,9408
natural_cifar_3client,stem_conv,client_1-client_2,0.694865,0.945715,4.277611,9408
