domain,class,is_dominant,weight_norm,bias,projection_mean,projection_std,logit_mean,logit_std,logit_p05,logit_p95,pred_count,true_count
medical_derma,0,0,0.553469,-0.011714,-2.358657,0.708230,-2.370371,0.708230,-3.415359,-1.164704,0,66
medical_derma,1,0,0.507735,-0.009575,-2.013324,0.630196,-2.022899,0.630196,-2.970324,-0.939281,0,103
medical_derma,2,0,0.429503,-0.035517,-1.560491,0.468140,-1.596008,0.468140,-2.329915,-0.825342,0,220
medical_derma,3,0,0.599088,0.005188,-2.534899,0.998114,-2.529712,0.998114,-4.076031,-0.906466,0,23
medical_derma,4,0,0.437861,0.002527,-1.755148,0.382530,-1.752621,0.382530,-2.283649,-1.032871,0,223
medical_derma,5,1,0.378644,-0.031668,-0.993736,0.299953,-1.025404,0.299952,-1.492594,-0.521886,2005,1341
medical_derma,6,0,0.609482,-0.033785,-2.861320,1.009981,-2.895105,1.009981,-4.484212,-1.214752,0,29
natural_cifar_imbalanced,0,0,0.837002,-0.054243,-2.811689,0.617141,-2.865932,0.617141,-3.694240,-1.686564,0,66
natural_cifar_imbalanced,1,0,0.752616,-0.030331,-2.313020,0.496512,-2.343351,0.496512,-3.025644,-1.350409,0,103
natural_cifar_imbalanced,2,0,0.669921,-0.018982,-1.694084,0.210599,-1.713067,0.210599,-2.007892,-1.303993,0,220
natural_cifar_imbalanced,3,0,0.825442,-0.034454,-2.446108,0.479445,-2.480562,0.479445,-3.297809,-1.700547,0,23
natural_cifar_imbalanced,4,0,0.678427,-0.027975,-0.889948,0.199680,-0.917924,0.199680,-1.249982,-0.580303,187,223
natural_cifar_imbalanced,5,1,0.602752,-0.025227,-0.550675,0.120364,-0.575902,0.120364,-0.780046,-0.383262,1818,1341
natural_cifar_imbalanced,6,0,0.806495,-0.057728,-2.889053,0.624774,-2.946780,0.624774,-3.769185,-1.750113,0,29
