domain,dominant_class,compare,mean_delta,std_delta,mean_over_std,min_delta,p05_delta,pct_positive
medical_derma,5,5-0,1.344966,0.425337,3.162122,0.359340,0.635670,1.000000
medical_derma,5,5-1,0.997494,0.355430,2.806439,0.123354,0.411551,1.000000
medical_derma,5,5-2,0.570603,0.203555,2.803186,0.133353,0.268922,1.000000
medical_derma,5,5-3,1.504307,0.712038,2.112679,0.080625,0.381957,1.000000
medical_derma,5,5-4,0.727216,0.171161,4.248731,0.071431,0.463657,1.000000
medical_derma,5,5-6,1.869700,0.723917,2.582754,0.283340,0.688538,1.000000
natural_cifar_imbalanced,5,5-0,2.290030,0.585892,3.908622,0.068014,1.129245,1.000000
natural_cifar_imbalanced,5,5-1,1.767449,0.463238,3.815422,0.171565,0.809223,1.000000
natural_cifar_imbalanced,5,5-2,1.137165,0.214022,5.313306,0.308723,0.722750,1.000000
natural_cifar_imbalanced,5,5-3,1.904660,0.416671,4.571136,0.726545,1.230337,1.000000
natural_cifar_imbalanced,5,5-4,0.342022,0.244478,1.398986,-0.344914,-0.061839,0.906733
natural_cifar_imbalanced,5,5-6,2.370878,0.612613,3.870105,0.335804,1.145861,1.000000
