domain,dominant_class,compare,projection_mean,projection_std,projection_p05,projection_min,bias_delta,total_mean,total_std,total_mean_over_std,total_p05,total_min,pct_total_positive
medical_derma,5,5-0,1.364921,0.425337,0.655625,0.379295,-0.019955,1.344966,0.425337,3.162121,0.635670,0.359340,1.000000
medical_derma,5,5-1,1.019588,0.355431,0.433645,0.145448,-0.022094,0.997494,0.355431,2.806439,0.411551,0.123354,1.000000
medical_derma,5,5-2,0.566755,0.203555,0.265074,0.129505,0.003848,0.570603,0.203555,2.803186,0.268922,0.133353,1.000000
medical_derma,5,5-3,1.541164,0.712038,0.418814,0.117481,-0.036857,1.504307,0.712038,2.112680,0.381957,0.080625,1.000000
medical_derma,5,5-4,0.761412,0.171161,0.497853,0.105627,-0.034195,0.727216,0.171161,4.248730,0.463657,0.071431,1.000000
medical_derma,5,5-6,1.867584,0.723917,0.686422,0.281224,0.002116,1.869700,0.723917,2.582754,0.688538,0.283340,1.000000
natural_cifar_imbalanced,5,5-0,2.261015,0.585892,1.100230,0.038998,0.029015,2.290030,0.585892,3.908622,1.129245,0.068014,1.000000
natural_cifar_imbalanced,5,5-1,1.762345,0.463238,0.804119,0.166461,0.005104,1.767449,0.463238,3.815421,0.809223,0.171565,1.000000
natural_cifar_imbalanced,5,5-2,1.143410,0.214022,0.728995,0.314967,-0.006245,1.137165,0.214022,5.313306,0.722750,0.308723,1.000000
natural_cifar_imbalanced,5,5-3,1.895433,0.416671,1.221110,0.717318,0.009227,1.904660,0.416671,4.571137,1.230337,0.726545,1.000000
natural_cifar_imbalanced,5,5-4,0.339274,0.244478,-0.064587,-0.347662,0.002748,0.342022,0.244478,1.398986,-0.061839,-0.344914,0.906733
natural_cifar_imbalanced,5,5-6,2.338378,0.612613,1.113361,0.303303,0.032501,2.370878,0.612613,3.870105,1.145861,0.335804,1.000000
