domain,stage,feature_dim,feature_norm_mean,feature_norm_std,feature_norm_cv,within_class_mse,between_centroid_mse,fisher_ratio,centroid_dist_mean,centroid_dist_min,nearest_centroid_acc,own_centroid_margin_mean,own_centroid_margin_p05,effective_rank
medical_derma,bn1,64,18.394760,1.027885,0.055879,6.158944,2.056063,0.333834,1.550473,0.272617,0.420948,-0.370898,-2.191710,2.344272
medical_derma,layer1,64,20.632364,0.185390,0.008985,4.103627,1.079489,0.263057,1.230821,0.479962,0.483791,-0.119287,-1.205564,6.550472
medical_derma,layer2,128,18.359495,0.370051,0.020156,8.991541,2.022502,0.224934,1.817515,0.884739,0.408479,-0.247059,-1.440693,11.029681
medical_derma,layer3,256,20.490559,0.430669,0.021018,25.238754,5.474797,0.216920,3.009469,1.747293,0.429426,-0.183771,-1.512826,21.386566
medical_derma,layer4,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
medical_derma,global_pool,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
medical_derma,classifier_input,512,9.660561,1.370534,0.141869,22.830999,4.521045,0.198022,2.711864,1.447163,0.377556,-0.273896,-1.631223,31.610453
natural_cifar_imbalanced,bn1,64,16.498856,0.969144,0.058740,22.320068,3.069317,0.137514,2.329816,0.490177,0.191022,-0.842407,-2.476752,2.225573
natural_cifar_imbalanced,layer1,64,18.081802,0.360415,0.019932,7.213581,1.566706,0.217188,1.703249,0.572759,0.285287,-0.238012,-1.038822,9.772644
natural_cifar_imbalanced,layer2,128,16.744436,0.730784,0.043643,10.027711,3.077942,0.306944,2.322644,0.954904,0.415960,-0.125794,-1.007102,16.436144
natural_cifar_imbalanced,layer3,256,17.703253,0.430810,0.024335,18.876055,7.904987,0.418784,3.738371,1.557970,0.569077,-0.042609,-1.505269,26.667099
natural_cifar_imbalanced,layer4,512,8.078012,0.851620,0.105424,10.242745,7.198135,0.702754,3.168516,1.359366,0.706733,0.254305,-0.970713,28.118540
natural_cifar_imbalanced,global_pool,512,8.078012,0.851620,0.105424,10.242745,7.198135,0.702754,3.168516,1.359366,0.706733,0.254305,-0.970713,28.118540
natural_cifar_imbalanced,classifier_input,512,8.078012,0.851620,0.105424,10.242745,7.198135,0.702754,3.168516,1.359366,0.706733,0.254305,-0.970713,28.118540
