domain,dataset,split,sample_index,true_label,tsne_x,tsne_y
medical_bloodmnist,bloodmnist_224,train,0,7,-66.305206,8.052484
medical_bloodmnist,bloodmnist_224,train,1,3,11.090737,50.032623
medical_bloodmnist,bloodmnist_224,train,2,6,-16.347860,-45.305595
medical_bloodmnist,bloodmnist_224,train,3,6,-19.765266,-44.291481
medical_bloodmnist,bloodmnist_224,train,4,7,-61.539726,31.729639
medical_bloodmnist,bloodmnist_224,train,5,6,-13.385865,-28.357761
medical_bloodmnist,bloodmnist_224,train,6,2,-45.657818,-35.054264
medical_bloodmnist,bloodmnist_224,train,7,2,-39.972176,-22.618107
medical_bloodmnist,bloodmnist_224,train,8,7,-54.792568,-0.093101
medical_bloodmnist,bloodmnist_224,train,9,2,-31.029299,-27.191534
medical_bloodmnist,bloodmnist_224,train,10,1,43.439495,-45.631386
medical_bloodmnist,bloodmnist_224,train,11,1,46.491230,-32.655014
medical_bloodmnist,bloodmnist_224,train,12,6,-5.491408,-56.809879
medical_bloodmnist,bloodmnist_224,train,13,7,-63.804211,18.092342
medical_bloodmnist,bloodmnist_224,train,14,6,6.170186,-31.217419
medical_bloodmnist,bloodmnist_224,train,15,3,22.079967,20.350340
medical_bloodmnist,bloodmnist_224,train,16,7,-61.974514,27.410955
medical_bloodmnist,bloodmnist_224,train,17,2,-45.323448,-36.685745
medical_bloodmnist,bloodmnist_224,train,18,6,-4.166058,-34.900318
medical_bloodmnist,bloodmnist_224,train,19,1,72.639557,-37.550579
medical_bloodmnist,bloodmnist_224,train,20,6,15.553804,-33.457832
medical_bloodmnist,bloodmnist_224,train,21,1,57.508568,-16.872259
medical_bloodmnist,bloodmnist_224,train,22,5,15.199619,60.348003
medical_bloodmnist,bloodmnist_224,train,23,5,2.762374,52.766068
medical_bloodmnist,bloodmnist_224,train,24,7,-44.342857,9.854066
medical_bloodmnist,bloodmnist_224,train,25,7,-59.799351,0.171382
medical_bloodmnist,bloodmnist_224,train,26,0,60.681175,15.961729
medical_bloodmnist,bloodmnist_224,train,27,6,-1.751071,-45.109917
medical_bloodmnist,bloodmnist_224,train,28,4,-23.757294,44.397942
medical_bloodmnist,bloodmnist_224,train,29,5,-3.834963,31.231928
medical_bloodmnist,bloodmnist_224,train,30,3,28.714762,28.755104
medical_bloodmnist,bloodmnist_224,train,31,2,-40.682030,-26.365831
medical_bloodmnist,bloodmnist_224,train,32,1,57.240551,-38.374138
medical_bloodmnist,bloodmnist_224,train,33,1,55.038021,-48.219700
medical_bloodmnist,bloodmnist_224,train,34,6,7.814269,-15.835050
medical_bloodmnist,bloodmnist_224,train,35,6,-2.318651,-35.171898
medical_bloodmnist,bloodmnist_224,train,36,1,61.470882,-39.950333
medical_bloodmnist,bloodmnist_224,train,37,4,-30.176487,47.603844
medical_bloodmnist,bloodmnist_224,train,38,0,61.772842,37.679878
medical_bloodmnist,bloodmnist_224,train,39,4,-23.600500,29.986889
medical_bloodmnist,bloodmnist_224,train,40,6,14.097327,-19.164347
medical_bloodmnist,bloodmnist_224,train,41,3,18.964870,56.170147
medical_bloodmnist,bloodmnist_224,train,42,0,57.320621,39.840908
medical_bloodmnist,bloodmnist_224,train,43,1,50.981121,-5.327278
medical_bloodmnist,bloodmnist_224,train,44,1,46.104549,-5.263268
medical_bloodmnist,bloodmnist_224,train,45,5,-3.084604,58.125858
medical_bloodmnist,bloodmnist_224,train,46,3,-4.247858,11.524102
medical_bloodmnist,bloodmnist_224,train,47,0,68.266541,37.067062
medical_bloodmnist,bloodmnist_224,train,48,3,28.167084,35.319378
medical_bloodmnist,bloodmnist_224,train,49,5,-1.675854,17.576969
medical_bloodmnist,bloodmnist_224,train,50,1,61.959347,-49.114098
medical_bloodmnist,bloodmnist_224,train,51,7,-64.540146,-0.561752
medical_bloodmnist,bloodmnist_224,train,52,4,-27.118626,30.279860
medical_bloodmnist,bloodmnist_224,train,53,4,-33.502079,40.792568
medical_bloodmnist,bloodmnist_224,train,54,1,36.025837,-17.578897
medical_bloodmnist,bloodmnist_224,train,55,7,-71.555779,20.261431
medical_bloodmnist,bloodmnist_224,train,56,6,12.440118,-32.417358
