domain,dataset,split,sample_index,true_label,tsne_x,tsne_y
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,0,2,-48.782181,50.180588
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,1,2,42.354347,2.020194
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,2,2,4.262620,-21.561975
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,3,2,-15.253742,-37.160572
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,4,5,-37.479752,31.705021
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,5,5,-14.242851,-49.948219
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,6,5,-56.346783,40.369392
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,7,5,-56.130589,-19.315977
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,8,5,-30.684803,19.276072
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,9,5,-66.491386,28.570124
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,10,1,-56.337658,-29.977051
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,11,5,43.014126,44.570137
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,12,5,41.804321,-0.051916
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,13,2,-10.398586,-41.575157
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,14,4,54.342503,21.253639
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,15,5,-27.562122,37.515991
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,16,5,49.582367,1.407188
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,17,5,72.401100,-3.030823
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,18,5,-16.351770,24.848978
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,19,1,-13.125182,-62.139023
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,20,0,22.820446,-21.594147
medical_dermamnist,dermamnist_224_strict_full_noreplace,train,21,5,-59.397831,39.505234
