domain,dataset,split,sample_index,true_label,tsne_x,tsne_y
medical_dermamnist,dermamnist_224_strict_noreplace,test,0,0,-6.817531,1.920272
medical_dermamnist,dermamnist_224_strict_noreplace,test,1,4,4.706409,-0.758087
medical_dermamnist,dermamnist_224_strict_noreplace,test,2,1,-3.813092,0.017821
medical_dermamnist,dermamnist_224_strict_noreplace,test,3,0,-3.685430,-2.296623
medical_dermamnist,dermamnist_224_strict_noreplace,test,4,6,-0.658763,-2.055477
medical_dermamnist,dermamnist_224_strict_noreplace,test,5,6,3.553612,-3.583743
medical_dermamnist,dermamnist_224_strict_noreplace,test,6,1,-5.650052,-0.761603
medical_dermamnist,dermamnist_224_strict_noreplace,test,7,3,1.033239,0.717383
medical_dermamnist,dermamnist_224_strict_noreplace,test,8,6,5.241928,-4.291914
medical_dermamnist,dermamnist_224_strict_noreplace,test,9,5,-0.311322,1.762433
medical_dermamnist,dermamnist_224_strict_noreplace,test,10,6,4.278186,-5.015879
medical_dermamnist,dermamnist_224_strict_noreplace,test,11,3,-2.462782,1.732521
medical_dermamnist,dermamnist_224_strict_noreplace,test,12,1,-2.851637,-2.191833
medical_dermamnist,dermamnist_224_strict_noreplace,test,13,3,-1.251762,5.896782
medical_dermamnist,dermamnist_224_strict_noreplace,test,14,0,4.124285,5.294447
medical_dermamnist,dermamnist_224_strict_noreplace,test,15,3,-1.117081,5.317522
medical_dermamnist,dermamnist_224_strict_noreplace,test,16,5,-0.331914,-4.430686
medical_dermamnist,dermamnist_224_strict_noreplace,test,17,1,1.559159,2.164108
medical_dermamnist,dermamnist_224_strict_noreplace,test,18,3,-4.880411,4.336581
medical_dermamnist,dermamnist_224_strict_noreplace,test,19,1,-0.060189,2.056113
medical_dermamnist,dermamnist_224_strict_noreplace,test,20,4,3.400107,4.428325
medical_dermamnist,dermamnist_224_strict_noreplace,test,21,5,2.466770,5.549826
medical_dermamnist,dermamnist_224_strict_noreplace,test,22,0,-5.895477,-1.766244
medical_dermamnist,dermamnist_224_strict_noreplace,test,23,3,-3.992698,6.166365
medical_dermamnist,dermamnist_224_strict_noreplace,test,24,5,3.916142,3.190444
medical_dermamnist,dermamnist_224_strict_noreplace,test,25,4,1.341850,2.899487
medical_dermamnist,dermamnist_224_strict_noreplace,test,26,2,-5.114578,-1.573326
medical_dermamnist,dermamnist_224_strict_noreplace,test,27,2,-4.719556,-1.074556
medical_dermamnist,dermamnist_224_strict_noreplace,test,28,2,-0.637869,2.699141
medical_dermamnist,dermamnist_224_strict_noreplace,test,29,4,3.998110,4.774818
medical_dermamnist,dermamnist_224_strict_noreplace,test,30,0,-5.159236,2.555459
medical_dermamnist,dermamnist_224_strict_noreplace,test,31,5,0.153487,5.331014
medical_dermamnist,dermamnist_224_strict_noreplace,test,32,5,3.457432,3.135644
medical_dermamnist,dermamnist_224_strict_noreplace,test,33,6,-3.905438,-6.024136
medical_dermamnist,dermamnist_224_strict_noreplace,test,34,3,-0.778249,-4.598767
medical_dermamnist,dermamnist_224_strict_noreplace,test,35,5,0.747013,7.960313
medical_dermamnist,dermamnist_224_strict_noreplace,test,36,1,4.321413,-1.318160
medical_dermamnist,dermamnist_224_strict_noreplace,test,37,4,-0.659678,3.166676
medical_dermamnist,dermamnist_224_strict_noreplace,test,38,4,-6.802635,1.166623
medical_dermamnist,dermamnist_224_strict_noreplace,test,39,0,-5.425230,1.085086
medical_dermamnist,dermamnist_224_strict_noreplace,test,40,5,0.213574,-5.515279
medical_dermamnist,dermamnist_224_strict_noreplace,test,41,6,3.801771,-4.342988
medical_dermamnist,dermamnist_224_strict_noreplace,test,42,6,1.212985,-3.616211
medical_dermamnist,dermamnist_224_strict_noreplace,test,43,4,0.845319,5.329310
medical_dermamnist,dermamnist_224_strict_noreplace,test,44,0,-4.702284,1.107990
medical_dermamnist,dermamnist_224_strict_noreplace,test,45,0,-7.302105,1.811764
medical_dermamnist,dermamnist_224_strict_noreplace,test,46,5,-1.072357,-3.199329
medical_dermamnist,dermamnist_224_strict_noreplace,test,47,0,1.070066,4.693543
medical_dermamnist,dermamnist_224_strict_noreplace,test,48,4,1.845423,5.828188
medical_dermamnist,dermamnist_224_strict_noreplace,test,49,1,-6.878669,-0.495603
medical_dermamnist,dermamnist_224_strict_noreplace,test,50,2,2.353659,2.332130
medical_dermamnist,dermamnist_224_strict_noreplace,test,51,3,-1.932771,3.315375
medical_dermamnist,dermamnist_224_strict_noreplace,test,52,2,-4.866966,-2.236154
medical_dermamnist,dermamnist_224_strict_noreplace,test,53,6,4.627024,-5.186339
